Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
10870,93.0,345.0,3.0,7630.0,1173.0
1059,0.0,345.0,3.0,7630.0,1173.0
197,0.0,345.0,3.0,7630.0,1173.0
453,0.0,345.0,3.0,7630.0,1173.0
200,0.0,345.0,3.0,7630.0,1173.0
1558,0.0,345.0,3.0,7630.0,1173.0
741,0.0,345.0,3.0,7630.0,1173.0
288,0.0,345.0,3.0,7630.0,1173.0
664,0.0,345.0,3.0,7630.0,1173.0
2076,0.0,345.0,3.0,7630.0,1173.0
185,0.0,345.0,3.0,7630.0,1173.0
540,0.0,345.0,3.0,7630.0,1173.0
541,0.0,345.0,3.0,7630.0,1173.0
185,0.0,345.0,3.0,7630.0,1173.0
371,0.0,345.0,3.0,7630.0,1173.0
