Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
192079,630.0,8927.0,13.0,176732.0,465.0
3428,15.0,165.0,1.0,176732.0,465.0
8021,46.0,212.0,1.0,176732.0,465.0
35446,37.0,1827.0,1.0,176732.0,465.0
48122,127.0,2583.0,5.0,176732.0,465.0
1653,0.0,49.0,0.0,176732.0,465.0
10666,21.0,505.0,2.0,176732.0,465.0
5175,0.0,259.0,0.0,176732.0,465.0
796,2.0,20.0,0.0,176732.0,465.0
13378,51.0,623.0,1.0,176732.0,465.0
41992,314.0,1669.0,1.0,176732.0,465.0
6940,16.0,235.0,0.0,176732.0,465.0
3140,3.0,152.0,0.0,176732.0,465.0
2801,0.0,169.0,0.0,176732.0,465.0
5438,2.0,223.0,1.0,176732.0,465.0
1858,2.0,58.0,0.0,176732.0,465.0
3225,-6.0,178.0,0.0,176732.0,465.0
