Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
15366,795.0,426.0,9.0,1546.0,85.0
367,12.0,11.0,3.0,52.0,8.0
403,17.0,6.0,4.0,39.0,19.0
117,72.0,5.0,1.0,76.0,57.0
110,3.0,5.0,1.0,9.0,4.0
79,55.0,2.0,2.0,8.0,4.0
6863,185.0,251.0,57.0,913.0,541.0
116,68.0,1.0,0.0,4.0,3.0
1506,0.0,32.0,0.0,135.0,0.0
7,-11.0,0.0,-1.0,0.0,-9.0
64,52.0,1.0,1.0,12.0,12.0
132,108.0,0.0,0.0,0.0,-2.0
65,49.0,2.0,1.0,10.0,5.0
27,1.0,1.0,1.0,5.0,3.0
59,38.0,2.0,2.0,3.0,-1.0
67,-14.0,0.0,-5.0,6.0,-3.0
232,11.0,7.0,7.0,16.0,5.0
192,-92.0,1.0,-9.0,18.0,-29.0
