Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
4123,9.0,577.0,1.0,2640.0,22.0
20,0.0,577.0,1.0,2640.0,22.0
39,0.0,577.0,1.0,2640.0,22.0
13,0.0,577.0,1.0,2640.0,22.0
62,0.0,577.0,1.0,2640.0,22.0
1948,0.0,577.0,1.0,2640.0,22.0
117,0.0,577.0,1.0,2640.0,22.0
376,0.0,577.0,1.0,2640.0,22.0
86,0.0,577.0,1.0,2640.0,22.0
27,0.0,577.0,1.0,2640.0,22.0
14,0.0,577.0,1.0,2640.0,22.0
19,0.0,577.0,1.0,2640.0,22.0
302,0.0,577.0,1.0,2640.0,22.0
51,0.0,577.0,1.0,2640.0,22.0
608,0.0,577.0,1.0,2640.0,22.0
22,0.0,577.0,1.0,2640.0,22.0
50,0.0,577.0,1.0,2640.0,22.0
13,0.0,577.0,1.0,2640.0,22.0
17,0.0,577.0,1.0,2640.0,22.0
63,0.0,577.0,1.0,2640.0,22.0
260,0.0,577.0,1.0,2640.0,22.0
