Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
215096,2595.0,10130.0,134.0,175103.0,3007.0
1177,0.0,10130.0,134.0,175103.0,3007.0
289,0.0,10130.0,134.0,175103.0,3007.0
55,0.0,10130.0,134.0,175103.0,3007.0
68,0.0,10130.0,134.0,175103.0,3007.0
813,0.0,10130.0,134.0,175103.0,3007.0
1979,0.0,10130.0,134.0,175103.0,3007.0
505,0.0,10130.0,134.0,175103.0,3007.0
1191,0.0,10130.0,134.0,175103.0,3007.0
391,0.0,10130.0,134.0,175103.0,3007.0
243,0.0,10130.0,134.0,175103.0,3007.0
148,0.0,10130.0,134.0,175103.0,3007.0
183,0.0,10130.0,134.0,175103.0,3007.0
169,0.0,10130.0,134.0,175103.0,3007.0
175,0.0,10130.0,134.0,175103.0,3007.0
444,0.0,10130.0,134.0,175103.0,3007.0
73,0.0,10130.0,134.0,175103.0,3007.0
476,0.0,10130.0,134.0,175103.0,3007.0
882,0.0,10130.0,134.0,175103.0,3007.0
1700,0.0,10130.0,134.0,175103.0,3007.0
165,0.0,10130.0,134.0,175103.0,3007.0
669,0.0,10130.0,134.0,175103.0,3007.0
1178,0.0,10130.0,134.0,175103.0,3007.0
858,0.0,10130.0,134.0,175103.0,3007.0
645,0.0,10130.0,134.0,175103.0,3007.0
134,0.0,10130.0,134.0,175103.0,3007.0
178,0.0,10130.0,134.0,175103.0,3007.0
5098,0.0,10130.0,134.0,175103.0,3007.0
395,0.0,10130.0,134.0,175103.0,3007.0
725,0.0,10130.0,134.0,175103.0,3007.0
394,0.0,10130.0,134.0,175103.0,3007.0
