Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
239706,296.0,34678.0,2.0,186725.0,148633.0
2274,0.0,240.0,0.0,224.0,0.0
320,0.0,27.0,6.0,38.0,0.0
971,0.0,71.0,0.0,81.0,0.0
3807,0.0,278.0,0.0,442.0,0.0
21029,0.0,2788.0,0.0,4664.0,0.0
2544,0.0,212.0,0.0,938.0,0.0
5232,0.0,311.0,0.0,874.0,0.0
5936,0.0,807.0,0.0,1665.0,0.0
62153,0.0,11377.0,0.0,17855.0,0.0
5503,0.0,746.0,0.0,1660.0,0.0
263,0.0,15.0,0.0,42.0,0.0
18229,0.0,2015.0,0.0,3019.0,0.0
3184,0.0,288.0,0.0,323.0,0.0
1161,0.0,83.0,0.0,208.0,0.0
2535,0.0,181.0,0.0,273.0,0.0
7666,0.0,556.0,0.0,693.0,0.0
2634,2.0,292.0,2.0,2255.0,0.0
5444,0.0,541.0,0.0,1223.0,0.0
1322,0.0,54.0,0.0,686.0,0.0
958,0.0,121.0,0.0,289.0,0.0
5,0.0,146.0,0.0,1043.0,0.0
14624,0.0,940.0,0.0,2895.0,0.0
