Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
202951,6104.0,25060.0,736.0,149318.0,4870.0
2035,59.0,119.0,21.0,149318.0,4870.0
8164,127.0,1813.0,175.0,149318.0,4870.0
1287,28.0,69.0,6.0,149318.0,4870.0
1503,59.0,169.0,19.0,149318.0,4870.0
4034,81.0,420.0,91.0,149318.0,4870.0
2730,48.0,591.0,65.0,149318.0,4870.0
3225,121.0,177.0,32.0,149318.0,4870.0
439,17.0,57.0,15.0,149318.0,4870.0
1437,45.0,125.0,29.0,149318.0,4870.0
5703,231.0,282.0,61.0,149318.0,4870.0
4768,145.0,810.0,138.0,149318.0,4870.0
3482,74.0,585.0,80.0,149318.0,4870.0
5715,177.0,528.0,102.0,149318.0,4870.0
31075,833.0,3711.0,1368.0,149318.0,4870.0
44243,704.0,5938.0,754.0,149318.0,4870.0
5020,141.0,401.0,60.0,149318.0,4870.0
2633,101.0,639.0,278.0,149318.0,4870.0
1433,44.0,162.0,25.0,149318.0,4870.0
4186,786.0,267.0,52.0,149318.0,4870.0
4426,144.0,501.0,84.0,149318.0,4870.0
8742,359.0,1024.0,145.0,149318.0,4870.0
1803,32.0,254.0,33.0,149318.0,4870.0
3143,68.0,534.0,34.0,149318.0,4870.0
2508,81.0,118.0,17.0,149318.0,4870.0
7473,220.0,1126.0,159.0,149318.0,4870.0
6303,296.0,554.0,223.0,149318.0,4870.0
9219,271.0,958.0,143.0,149318.0,4870.0
4825,182.0,303.0,60.0,149318.0,4870.0
2177,50.0,281.0,34.0,149318.0,4870.0
8840,240.0,1373.0,213.0,149318.0,4870.0
3529,111.0,355.0,50.0,149318.0,4870.0
747,23.0,80.0,11.0,149318.0,4870.0
