Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
268602,3913.0,8761.0,175.0,156074.0,4485.0
1845,46.0,34.0,14.0,156074.0,4485.0
3196,0.0,237.0,0.0,156074.0,4485.0
514,13.0,15.0,15.0,156074.0,4485.0
2787,0.0,28.0,0.0,156074.0,4485.0
1644,36.0,21.0,15.0,156074.0,4485.0
1774,39.0,43.0,40.0,156074.0,4485.0
17449,275.0,572.0,291.0,156074.0,4485.0
1680,27.0,14.0,11.0,156074.0,4485.0
847,17.0,10.0,9.0,156074.0,4485.0
1998,44.0,50.0,43.0,156074.0,4485.0
2476,0.0,219.0,0.0,156074.0,4485.0
1578,0.0,14.0,0.0,156074.0,4485.0
3523,0.0,169.0,0.0,156074.0,4485.0
12892,213.0,722.0,120.0,156074.0,4485.0
84994,0.0,1407.0,0.0,156074.0,4485.0
3816,0.0,288.0,0.0,156074.0,4485.0
1467,38.0,25.0,19.0,156074.0,4485.0
881,16.0,10.0,8.0,156074.0,4485.0
898,17.0,20.0,12.0,156074.0,4485.0
6039,0.0,481.0,0.0,156074.0,4485.0
832,18.0,16.0,10.0,156074.0,4485.0
1037,0.0,18.0,0.0,156074.0,4485.0
821,16.0,8.0,4.0,156074.0,4485.0
1115,0.0,69.0,0.0,156074.0,4485.0
3238,0.0,104.0,0.0,156074.0,4485.0
