Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
33119,298.0,1412.0,16.0,18654.0,520.0
2867,0.0,137.0,0.0,18654.0,520.0
652,0.0,49.0,0.0,18654.0,520.0
2918,0.0,145.0,0.0,18654.0,520.0
610,0.0,17.0,0.0,18654.0,520.0
145,0.0,0.0,0.0,18654.0,520.0
1624,0.0,44.0,0.0,18654.0,520.0
4799,0.0,318.0,0.0,18654.0,520.0
857,0.0,50.0,0.0,18654.0,520.0
565,0.0,48.0,0.0,18654.0,520.0
736,0.0,10.0,0.0,18654.0,520.0
636,0.0,38.0,0.0,18654.0,520.0
12084,0.0,294.0,0.0,18654.0,520.0
721,0.0,34.0,0.0,18654.0,520.0
213,0.0,1.0,0.0,18654.0,520.0
2501,0.0,170.0,0.0,18654.0,520.0
599,0.0,20.0,0.0,18654.0,520.0
