Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
613994,7113.0,8605.0,92.0,375164.0,6282.0
1647,0.0,12.0,0.0,1096.0,0.0
483,0.0,0.0,0.0,207.0,0.0
3522,0.0,29.0,0.0,2540.0,0.0
1490,0.0,7.0,0.0,597.0,0.0
4875,0.0,35.0,0.0,2178.0,0.0
3275,0.0,29.0,0.0,2203.0,0.0
5068,0.0,18.0,0.0,2574.0,0.0
4120,0.0,42.0,0.0,3103.0,0.0
404,0.0,5.0,0.0,332.0,0.0
5801,0.0,34.0,0.0,4216.0,0.0
2682,0.0,16.0,0.0,1815.0,0.0
1645,0.0,20.0,0.0,1175.0,0.0
6268,0.0,70.0,0.0,3343.0,0.0
135,0.0,1.0,0.0,122.0,0.0
4740,0.0,25.0,0.0,2717.0,0.0
7415,0.0,360.0,0.0,5465.0,0.0
2889,0.0,67.0,0.0,2353.0,0.0
5919,0.0,42.0,0.0,2059.0,0.0
4253,0.0,37.0,0.0,2630.0,0.0
4656,0.0,47.0,0.0,2847.0,0.0
2356,0.0,37.0,0.0,1340.0,0.0
1362,0.0,21.0,0.0,996.0,0.0
5744,0.0,43.0,0.0,3322.0,0.0
1927,0.0,28.0,0.0,623.0,0.0
3067,0.0,12.0,0.0,1062.0,0.0
1074,0.0,2.0,0.0,439.0,0.0
1424,0.0,8.0,0.0,622.0,0.0
3752,0.0,26.0,0.0,2011.0,0.0
1661,0.0,15.0,0.0,1255.0,0.0
7223,0.0,38.0,0.0,3618.0,0.0
2986,0.0,33.0,0.0,2236.0,0.0
2986,0.0,29.0,0.0,1305.0,0.0
1411,0.0,15.0,0.0,808.0,0.0
5624,0.0,69.0,0.0,4374.0,0.0
8029,0.0,99.0,0.0,3249.0,0.0
625,0.0,0.0,0.0,333.0,0.0
4673,0.0,30.0,0.0,2717.0,0.0
3536,0.0,13.0,0.0,2091.0,0.0
620,0.0,4.0,0.0,308.0,0.0
2783,0.0,21.0,0.0,2758.0,0.0
3143,0.0,24.0,0.0,2007.0,0.0
216906,0.0,3657.0,0.0,141268.0,0.0
4660,0.0,11.0,0.0,3217.0,0.0
95,0.0,0.0,0.0,35.0,0.0
16197,0.0,207.0,0.0,9481.0,0.0
3854,0.0,66.0,0.0,3412.0,0.0
2591,0.0,20.0,0.0,672.0,0.0
5356,0.0,78.0,0.0,3034.0,0.0
3184,0.0,27.0,0.0,1814.0,0.0
4281,0.0,51.0,0.0,2523.0,0.0
3377,0.0,15.0,0.0,2581.0,0.0
4523,0.0,36.0,0.0,4077.0,0.0
3355,0.0,72.0,0.0,2448.0,0.0
3811,0.0,39.0,0.0,2267.0,0.0
2458,0.0,19.0,0.0,785.0,0.0
8950,0.0,97.0,0.0,4651.0,0.0
4943,0.0,17.0,0.0,3281.0,0.0
3891,0.0,24.0,0.0,2689.0,0.0
628,0.0,0.0,0.0,115.0,0.0
4502,0.0,53.0,0.0,2405.0,0.0
5782,0.0,42.0,0.0,2895.0,0.0
4338,0.0,61.0,0.0,2024.0,0.0
22850,0.0,942.0,0.0,14511.0,0.0
4616,0.0,87.0,0.0,2603.0,0.0
11492,0.0,79.0,0.0,6250.0,0.0
4457,0.0,17.0,0.0,2492.0,0.0
4310,0.0,11.0,0.0,3656.0,0.0
1909,0.0,14.0,0.0,849.0,0.0
6220,0.0,89.0,0.0,5019.0,0.0
3713,579.0,3.0,-54.0,655.0,-1300.0
3311,0.0,61.0,0.0,2114.0,0.0
2717,0.0,16.0,0.0,1621.0,0.0
1294,0.0,15.0,0.0,941.0,0.0
5133,0.0,35.0,0.0,2606.0,0.0
4056,0.0,55.0,0.0,2371.0,0.0
5724,0.0,34.0,0.0,2612.0,0.0
1487,0.0,17.0,0.0,1078.0,0.0
6457,0.0,33.0,0.0,4047.0,0.0
4553,0.0,33.0,0.0,1967.0,0.0
4526,0.0,18.0,0.0,2864.0,0.0
2738,0.0,40.0,0.0,1608.0,0.0
