Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
247905,419.0,28338.0,8.0,150376.0,0.0
12547,0.0,1375.0,0.0,10611.0,0.0
5588,0.0,848.0,0.0,3727.0,0.0
2374,0.0,307.0,0.0,1061.0,0.0
2024,0.0,221.0,0.0,1523.0,0.0
13421,0.0,1483.0,0.0,1523.0,0.0
2307,0.0,155.0,0.0,1524.0,0.0
2279,0.0,209.0,0.0,1524.0,0.0
16789,0.0,2919.0,0.0,6378.0,0.0
18627,0.0,1960.0,0.0,8716.0,0.0
55888,0.0,6021.0,0.0,26172.0,0.0
119,0.0,4.0,0.0,26172.0,0.0
3042,0.0,505.0,0.0,26172.0,0.0
9077,0.0,608.0,0.0,26172.0,0.0
4033,0.0,354.0,0.0,3048.0,0.0
67049,0.0,8931.0,0.0,40698.0,0.0
121,0.0,2.0,0.0,40698.0,0.0
1570,0.0,149.0,0.0,40698.0,0.0
5195,0.0,506.0,0.0,3751.0,0.0
10987,0.0,1383.0,0.0,9907.0,0.0
