Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
64834,1085.0,5268.0,4.0,0.0,0.0
414,0.0,10.0,0.0,0.0,0.0
1457,0.0,156.0,0.0,0.0,0.0
2007,0.0,122.0,0.0,0.0,0.0
131,0.0,6.0,0.0,0.0,0.0
1190,0.0,63.0,0.0,0.0,0.0
977,0.0,44.0,0.0,0.0,0.0
3176,0.0,162.0,0.0,0.0,0.0
542,0.0,47.0,0.0,0.0,0.0
1033,0.0,87.0,0.0,0.0,0.0
919,0.0,60.0,0.0,0.0,0.0
2214,0.0,158.0,0.0,0.0,0.0
2749,0.0,219.0,0.0,0.0,0.0
2707,0.0,224.0,0.0,0.0,0.0
1884,0.0,237.0,0.0,0.0,0.0
17285,0.0,2272.0,0.0,0.0,0.0
2798,0.0,205.0,0.0,0.0,0.0
842,0.0,61.0,0.0,0.0,0.0
631,0.0,30.0,0.0,0.0,0.0
1166,0.0,103.0,0.0,0.0,0.0
1957,0.0,158.0,0.0,0.0,0.0
12853,0.0,698.0,0.0,0.0,0.0
