Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
31428,52.0,1958.0,0.0,29000.0,0.0
1149,0.0,36.0,0.0,29000.0,0.0
25,0.0,0.0,0.0,29000.0,0.0
987,0.0,3.0,0.0,29000.0,0.0
836,0.0,32.0,0.0,29000.0,0.0
970,0.0,50.0,0.0,29000.0,0.0
1835,0.0,90.0,0.0,29000.0,0.0
1126,0.0,80.0,0.0,29000.0,0.0
4976,0.0,259.0,0.0,1.0,0.0
127,-1.0,12.0,0.0,1.0,0.0
828,0.0,50.0,0.0,1.0,0.0
202,0.0,7.0,0.0,1.0,0.0
713,0.0,18.0,0.0,1.0,0.0
737,0.0,83.0,0.0,1.0,0.0
115,-9.0,3.0,0.0,1.0,0.0
79,0.0,0.0,0.0,1.0,0.0
78,0.0,6.0,0.0,1.0,0.0
307,0.0,22.0,0.0,1.0,0.0
420,0.0,15.0,0.0,1.0,0.0
798,0.0,33.0,0.0,1.0,0.0
376,-8.0,17.0,-1.0,1.0,0.0
3268,0.0,269.0,0.0,568.0,0.0
92,0.0,7.0,0.0,568.0,0.0
1905,0.0,146.0,0.0,568.0,0.0
5375,0.0,389.0,0.0,1.0,0.0
193,0.0,8.0,0.0,1.0,0.0
3558,0.0,124.0,0.0,11.0,0.0
