Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
2378764,38853.0,114722.0,644.0,763814.0,17251.0
761,0.0,12.0,0.0,29.0,0.0
150,0.0,4.0,0.0,235.0,5.0
1,0.0,0.0,0.0,3.0,0.0
79,0.0,2.0,0.0,85.0,0.0
24,0.0,0.0,0.0,85.0,0.0
17,0.0,1.0,0.0,95.0,1.0
15,0.0,0.0,0.0,21.0,3.0
1,0.0,0.0,0.0,1.0,0.0
15,0.0,1.0,0.0,39.0,1.0
1,0.0,0.0,0.0,4.0,0.0
4,0.0,0.0,0.0,1.0,0.0
4,0.0,0.0,0.0,2.0,0.0
2,0.0,1.0,0.0,3.0,0.0
2,0.0,0.0,0.0,2.0,0.0
1,0.0,0.0,0.0,4.0,0.0
1,0.0,0.0,0.0,1.0,0.0
30444,0.0,841.0,0.0,1.0,0.0
473,10.0,10.0,0.0,1.0,0.0
462,13.0,9.0,0.0,1.0,0.0
303,16.0,1.0,0.0,1.0,0.0
8,0.0,0.0,0.0,1.0,0.0
173,8.0,1.0,0.0,1.0,0.0
347,15.0,10.0,0.0,1.0,0.0
586,4.0,27.0,0.0,1.0,0.0
41,0.0,0.0,0.0,1.0,0.0
101,0.0,8.0,0.0,1.0,0.0
6,0.0,0.0,0.0,1.0,0.0
20,0.0,0.0,0.0,1.0,0.0
187,1.0,12.0,0.0,1.0,0.0
243,13.0,5.0,0.0,1.0,0.0
9,0.0,0.0,0.0,1.0,0.0
9,0.0,0.0,0.0,1.0,0.0
326,0.0,1.0,0.0,1.0,0.0
323,9.0,5.0,0.0,1.0,0.0
2,0.0,0.0,0.0,1.0,0.0
54,1.0,1.0,0.0,1.0,0.0
270,16.0,3.0,-1.0,1.0,0.0
119,1.0,3.0,0.0,1.0,0.0
348,22.0,3.0,0.0,1.0,0.0
216,7.0,0.0,0.0,1.0,0.0
7,0.0,0.0,0.0,1.0,0.0
14,0.0,0.0,0.0,1.0,0.0
484,39.0,5.0,0.0,1.0,0.0
22,0.0,0.0,0.0,1.0,0.0
190,18.0,6.0,0.0,1.0,0.0
485,7.0,13.0,1.0,1.0,0.0
62,2.0,1.0,0.0,1.0,0.0
812,13.0,11.0,1.0,1.0,0.0
55,2.0,0.0,0.0,1.0,0.0
10,0.0,0.0,0.0,1.0,0.0
267,2.0,19.0,0.0,1.0,0.0
128,5.0,4.0,0.0,1.0,0.0
25,0.0,1.0,0.0,1.0,0.0
18,0.0,1.0,0.0,1.0,0.0
3332,145.0,130.0,1.0,1.0,0.0
62,3.0,0.0,0.0,1.0,0.0
332,9.0,4.0,0.0,1.0,0.0
84,76.0,0.0,0.0,1.0,0.0
128,0.0,5.0,0.0,1.0,0.0
32,0.0,0.0,0.0,1.0,0.0
431,7.0,17.0,0.0,1.0,0.0
153,3.0,7.0,0.0,1.0,0.0
150,0.0,2.0,0.0,1.0,0.0
255,7.0,11.0,0.0,1.0,0.0
21,0.0,3.0,0.0,1.0,0.0
1265,83.0,9.0,0.0,1.0,0.0
3219,55.0,134.0,0.0,1.0,0.0
174,3.0,2.0,0.0,1.0,0.0
3467,73.0,88.0,1.0,1.0,0.0
859,41.0,2.0,0.0,1.0,0.0
102,6.0,0.0,0.0,1.0,0.0
178,4.0,6.0,0.0,1.0,0.0
378,5.0,4.0,0.0,1.0,0.0
150,3.0,9.0,0.0,1.0,0.0
407,16.0,0.0,0.0,1.0,0.0
158,0.0,5.0,0.0,1.0,0.0
30,0.0,0.0,0.0,1.0,0.0
15,0.0,0.0,0.0,1.0,0.0
20,0.0,0.0,0.0,1.0,0.0
534,10.0,69.0,0.0,1.0,0.0
77,0.0,0.0,0.0,1.0,0.0
751,20.0,12.0,0.0,1.0,0.0
7,0.0,1.0,0.0,1.0,0.0
13,0.0,0.0,0.0,1.0,0.0
208,15.0,2.0,0.0,1.0,0.0
18062,687.0,240.0,0.0,12127.0,559.0
24,2.0,0.0,0.0,12.0,2.0
59,1.0,1.0,0.0,46.0,3.0
16,1.0,0.0,0.0,14.0,0.0
2262,66.0,14.0,0.0,1504.0,73.0
19,3.0,1.0,0.0,7.0,0.0
