Updated,ConfirmedChange,DeathsChange
02/24/2020,0,0
02/25/2020,0.0,0.0
02/26/2020,0.0,0.0
02/27/2020,0.0,0.0
02/28/2020,0.0,0.0
02/29/2020,0.0,0.0
03/01/2020,0.0,0.0
03/02/2020,0.0,0.0
03/03/2020,0.0,0.0
03/04/2020,0.0,0.0
03/05/2020,0.0,0.0
03/06/2020,0.0,0.0
03/07/2020,3.0,0.0
03/08/2020,0.0,0.0
03/09/2020,0.0,0.0
03/10/2020,3.0,0.0
03/11/2020,1.0,0.0
03/12/2020,1.0,0.0
03/13/2020,1.0,0.0
03/14/2020,1.0,0.0
03/15/2020,5.0,0.0
03/16/2020,5.0,0.0
03/17/2020,1.0,0.0
03/18/2020,0.0,0.0
03/19/2020,0.0,0.0
03/20/2020,2.0,0.0
03/21/2020,0.0,0.0
03/22/2020,16.0,1.0
03/23/2020,2.0,0.0
03/24/2020,32.0,0.0
03/25/2020,10.0,1.0
03/26/2020,10.0,2.0
03/27/2020,16.0,0.0
03/28/2020,5.0,0.0
03/29/2020,5.0,0.0
03/30/2020,25.0,0.0
03/31/2020,51.0,0.0
04/01/2020,43.0,0.0
04/02/2020,34.0,2.0
04/03/2020,26.0,0.0
04/04/2020,38.0,1.0
04/05/2020,30.0,0.0
04/06/2020,56.0,4.0
04/07/2020,2.0,0.0
04/08/2020,19.0,3.0
04/09/2020,40.0,1.0
04/10/2020,71.0,3.0
04/11/2020,52.0,0.0
04/12/2020,58.0,3.0
04/13/2020,49.0,2.0
04/14/2020,70.0,2.0
04/15/2020,56.0,5.0
04/16/2020,66.0,0.0
04/17/2020,27.0,0.0
04/18/2020,63.0,3.0
04/19/2020,35.0,3.0
04/20/2020,61.0,0.0
04/21/2020,84.0,4.0
04/22/2020,106.0,2.0
04/23/2020,69.0,1.0
04/24/2020,112.0,4.0
04/25/2020,68.0,3.0
04/26/2020,172.0,7.0
04/27/2020,125.0,1.0
04/28/2020,111.0,2.0
04/29/2020,232.0,4.0
04/30/2020,164.0,4.0
05/01/2020,134.0,4.0
05/02/2020,235.0,13.0
05/03/2020,190.0,5.0
05/04/2020,330.0,5.0
05/05/2020,168.0,9.0
05/06/2020,171.0,2.0
05/07/2020,215.0,3.0
05/08/2020,255.0,6.0
05/09/2020,369.0,5.0
05/10/2020,285.0,2.0
05/11/2020,276.0,5.0
05/12/2020,263.0,5.0
05/13/2020,413.0,4.0
05/14/2020,414.0,17.0
05/15/2020,349.0,15.0
05/16/2020,262.0,1.0
05/17/2020,408.0,4.0
05/18/2020,581.0,5.0
05/19/2020,492.0,9.0
05/20/2020,531.0,6.0
05/21/2020,540.0,12.0
05/22/2020,782.0,11.0
05/23/2020,584.0,2.0
05/24/2020,591.0,1.0
05/25/2020,658.0,1.0
05/26/2020,625.0,7.0
05/27/2020,580.0,8.0
05/28/2020,623.0,11.0
05/29/2020,866.0,3.0
05/30/2020,680.0,8.0
05/31/2020,545.0,8.0
06/01/2020,759.0,5.0
06/02/2020,758.0,24.0
06/03/2020,787.0,6.0
06/04/2020,915.0,9.0
06/05/2020,586.0,18.0
06/06/2020,787.0,30.0
06/07/2020,575.0,12.0
06/08/2020,542.0,15.0
06/09/2020,684.0,21.0
06/10/2020,747.0,21.0
06/11/2020,656.0,20.0
06/12/2020,556.0,5.0
06/13/2020,664.0,20.0
06/14/2020,761.0,7.0
06/15/2020,783.0,13.0
06/16/2020,407.0,0.0
06/17/2020,407.0,0.0
06/18/2020,408.0,55.0
06/19/2020,346.0,2.0
06/20/2020,477.0,0.0
06/21/2020,478.0,33.0
06/22/2020,310.0,17.0
06/23/2020,338.0,20.0
06/24/2020,159.0,21.0
06/25/2020,535.0,36.0
