Updated,ConfirmedChange,DeathsChange
03/08/2020,0,0
03/09/2020,4,0
03/10/2020,4,0
03/11/2020,5,1
03/12/2020,8,0
03/13/2020,10,0
03/14/2020,5,0
03/15/2020,4,0
03/16/2020,9,0
03/17/2020,4,0
03/18/2020,4,1
03/19/2020,5,0
03/20/2020,6,0
03/21/2020,6,0
03/22/2020,13,1
03/23/2020,15,1
03/24/2020,19,1
03/25/2020,23,0
03/26/2020,28,1
03/27/2020,12,2
03/28/2020,11,2
03/29/2020,15,0
03/30/2020,11,1
03/31/2020,20,2
04/01/2020,16,2
04/02/2020,18,1
04/03/2020,27,1
04/04/2020,29,1
04/05/2020,28,2
04/06/2020,16,1
04/07/2020,6,1
04/08/2020,17,0
04/09/2020,9,0
04/10/2020,7,1
04/11/2020,17,0
04/12/2020,13,0
04/13/2020,21,1
04/14/2020,8,0
04/15/2020,19,1
04/16/2020,24,1
04/17/2020,21,0
04/18/2020,9,0
04/19/2020,14,0
04/20/2020,22,0
04/21/2020,25,0
04/22/2020,25,1
04/23/2020,29,0
04/24/2020,15,0
04/25/2020,34,0
04/26/2020,14,1
04/27/2020,10,0
04/28/2020,14,2
04/29/2020,16,0
04/30/2020,7,1
05/01/2020,9,0
05/02/2020,7,0
05/03/2020,6,0
05/04/2020,8,0
05/05/2020,17,0
05/06/2020,12,0
05/07/2020,10,0
05/08/2020,8,0
05/09/2020,6,0
05/10/2020,12,0
05/11/2020,4,0
05/12/2020,4,0
05/13/2020,4,0
05/14/2020,18,0
05/15/2020,18,0
05/16/2020,17,0
05/17/2020,13,0
05/18/2020,2,0
05/19/2020,1,0
05/20/2020,15,0
05/21/2020,5,0
05/22/2020,12,0
05/23/2020,8,0
05/24/2020,9,1
05/25/2020,6,0
05/26/2020,25,1
05/27/2020,21,0
05/28/2020,26,0
05/29/2020,23,0
05/30/2020,23,0
05/31/2020,15,0
06/01/2020,6,0
06/02/2020,21,0
06/03/2020,20,0
06/04/2020,13,0
06/05/2020,15,0
06/06/2020,20,1
06/07/2020,14,0
06/08/2020,17,0
06/09/2020,36,0
06/10/2020,42,0
06/11/2020,44,1
06/12/2020,31,1
06/13/2020,48,0
06/14/2020,57,0
06/15/2020,69,0
06/16/2020,82,1
06/17/2020,50,1
06/18/2020,66,1
06/19/2020,50,3
06/20/2020,53,1
06/21/2020,71,1
06/22/2020,33,0
06/23/2020,52,1
06/24/2020,67,2
06/25/2020,78,1
06/26/2020,77,3
06/27/2020,61,2
06/28/2020,72,2
06/29/2020,64,3
06/30/2020,69,4
07/01/2020,45,3
07/02/2020,86,0
07/03/2020,86,7
07/04/2020,67,2
07/05/2020,74,2
