Updated,ConfirmedChange,DeathsChange
02/25/2020,0,0
02/26/2020,0,0
02/27/2020,0,0
02/28/2020,0,0
02/29/2020,0,0
03/01/2020,0,0
03/02/2020,2,0
03/03/2020,5,0
03/04/2020,5,0
03/05/2020,2,0
03/06/2020,2,0
03/07/2020,3,0
03/08/2020,1,0
03/09/2020,1,0
03/10/2020,1,0
03/11/2020,1,0
03/12/2020,2,1
03/13/2020,1,0
03/14/2020,8,2
03/15/2020,17,1
03/16/2020,6,0
03/17/2020,2,1
03/18/2020,12,2
03/19/2020,18,1
03/20/2020,12,4
03/21/2020,37,3
03/22/2020,62,2
03/23/2020,29,0
03/24/2020,34,2
03/25/2020,38,2
03/26/2020,65,4
03/27/2020,42,1
03/28/2020,45,3
03/29/2020,57,2
03/30/2020,73,4
03/31/2020,132,9
04/01/2020,131,14
04/02/2020,139,28
04/03/2020,185,19
04/04/2020,80,25
04/05/2020,69,22
04/06/2020,103,21
04/07/2020,45,20
04/08/2020,104,12
04/09/2020,94,30
04/10/2020,95,21
04/11/2020,64,19
04/12/2020,89,18
04/13/2020,69,20
04/14/2020,87,13
04/15/2020,90,10
04/16/2020,108,12
04/17/2020,150,16
04/18/2020,116,3
04/19/2020,95,8
04/20/2020,89,9
04/21/2020,93,8
04/22/2020,99,10
04/23/2020,97,5
04/24/2020,120,8
04/25/2020,129,4
04/26/2020,126,6
04/27/2020,135,7
04/28/2020,132,5
04/29/2020,199,7
04/30/2020,158,6
05/01/2020,148,3
05/02/2020,141,6
05/03/2020,179,4
05/04/2020,174,2
05/05/2020,190,5
05/06/2020,159,6
05/07/2020,185,7
05/08/2020,187,5
05/09/2020,189,6
05/10/2020,165,8
05/11/2020,168,5
05/12/2020,176,8
05/13/2020,186,7
05/14/2020,189,7
05/15/2020,187,7
05/16/2020,192,6
05/17/2020,198,6
05/18/2020,182,7
05/19/2020,176,6
05/20/2020,165,7
05/21/2020,186,7
05/22/2020,190,7
05/23/2020,195,10
05/24/2020,193,8
05/25/2020,197,9
05/26/2020,194,8
05/27/2020,160,6
05/28/2020,140,7
05/29/2020,137,8
05/30/2020,133,8
05/31/2020,127,7
06/01/2020,119,8
06/02/2020,113,6
06/03/2020,107,6
06/04/2020,98,8
06/05/2020,104,9
06/06/2020,115,8
06/07/2020,104,9
06/08/2020,111,8
06/09/2020,117,9
06/10/2020,102,8
06/11/2020,105,9
06/12/2020,109,10
06/13/2020,112,9
06/14/2020,109,7
06/15/2020,112,10
06/16/2020,116,11
06/17/2020,121,11
06/18/2020,117,12
06/19/2020,119,14
06/20/2020,127,12
06/21/2020,140,8
06/22/2020,149,7
06/23/2020,156,9
06/24/2020,172,8
06/25/2020,197,9
06/26/2020,240,7
06/27/2020,283,7
06/28/2020,305,5
06/29/2020,298,8
06/30/2020,336,7
07/01/2020,365,8
07/02/2020,385,8
07/03/2020,413,9
07/04/2020,430,9
07/05/2020,441,6
07/06/2020,463,7
