Updated,ConfirmedChange,DeathsChange
03/01/2020,0,0
03/02/2020,0,0
03/03/2020,0,0
03/04/2020,0,0
03/05/2020,0,0
03/06/2020,0,0
03/07/2020,0,0
03/08/2020,0,0
03/09/2020,0,0
03/10/2020,0,0
03/11/2020,3,0
03/12/2020,2,0
03/13/2020,7,0
03/14/2020,7,0
03/15/2020,8,0
03/16/2020,17,0
03/17/2020,33,0
03/18/2020,32,0
03/19/2020,26,0
03/20/2020,24,0
03/21/2020,30,0
03/22/2020,4,0
03/23/2020,41,0
03/24/2020,30,0
03/25/2020,25,0
03/26/2020,39,1
03/27/2020,43,0
03/28/2020,52,2
03/29/2020,58,0
03/30/2020,50,0
03/31/2020,39,0
04/01/2020,92,1
04/02/2020,73,3
04/03/2020,34,0
04/04/2020,52,0
04/05/2020,11,1
04/06/2020,20,0
04/07/2020,28,1
04/08/2020,40,1
04/09/2020,16,1
04/10/2020,30,2
04/11/2020,46,0
04/12/2020,26,1
04/13/2020,28,2
04/14/2020,44,1
04/15/2020,48,1
04/16/2020,42,1
04/17/2020,47,1
04/18/2020,43,0
04/19/2020,48,2
04/20/2020,62,2
04/21/2020,72,0
04/22/2020,50,0
04/23/2020,73,3
04/24/2020,81,1
04/25/2020,69,0
04/26/2020,62,1
04/27/2020,59,1
04/28/2020,65,0
04/29/2020,134,2
04/30/2020,82,1
05/01/2020,125,0
05/02/2020,56,0
05/03/2020,57,2
05/04/2020,121,4
05/05/2020,112,1
05/06/2020,163,7
05/07/2020,102,0
05/08/2020,145,0
05/09/2020,284,0
05/10/2020,79,0
05/11/2020,146,0
05/12/2020,180,1
05/13/2020,142,1
05/14/2020,184,3
05/15/2020,239,3
05/16/2020,189,5
05/17/2020,351,1
05/18/2020,218,3
05/19/2020,230,3
05/20/2020,335,3
05/21/2020,322,4
05/22/2020,374,3
05/23/2020,359,4
05/24/2020,452,6
05/25/2020,289,4
05/26/2020,372,7
05/27/2020,442,15
05/28/2020,460,7
05/29/2020,251,7
05/30/2020,355,4
05/31/2020,210,8
06/01/2020,517,19
06/02/2020,515,12
06/03/2020,697,6
06/04/2020,596,7
06/05/2020,817,7
06/06/2020,496,10
06/07/2020,195,11
06/08/2020,350,6
06/09/2020,428,10
06/10/2020,283,0
06/11/2020,283,18
06/12/2020,667,0
06/13/2020,668,19
06/14/2020,663,5
06/15/2020,397,16
06/16/2020,425,8
06/17/2020,544,9
06/18/2020,665,7
06/19/2020,229,0
06/20/2020,230,10
06/21/2020,1111,31
06/22/2020,320,10
06/23/2020,418,12
06/24/2020,711,14
06/25/2020,771,11
06/26/2020,759,13
06/27/2020,662,10
06/28/2020,736,6
06/29/2020,482,7
06/30/2020,415,10
07/01/2020,523,10
07/02/2020,627,0
07/03/2020,628,16
07/04/2020,580,8
07/05/2020,706,7
