Updated,ConfirmedChange,DeathsChange
01/25/2020,0,0
01/26/2020,0,0
01/27/2020,1,0
01/28/2020,0,0
01/29/2020,2,0
01/30/2020,2,0
01/31/2020,0,0
02/01/2020,1,0
02/02/2020,2,0
02/03/2020,0,0
02/04/2020,1,0
02/05/2020,1,0
02/06/2020,1,0
02/07/2020,0,0
02/08/2020,0,0
02/09/2020,0,0
02/10/2020,0,0
02/11/2020,0,0
02/12/2020,0,0
02/13/2020,0,0
02/14/2020,0,0
02/15/2020,0,0
02/16/2020,0,0
02/17/2020,0,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,2,0
02/21/2020,4,0
02/22/2020,0,0
02/23/2020,1,0
02/24/2020,0,0
02/25/2020,0,0
02/26/2020,1,0
02/27/2020,0,0
02/28/2020,2,0
02/29/2020,1,0
03/01/2020,3,0
03/02/2020,4,1
03/03/2020,7,0
03/04/2020,11,0
03/05/2020,8,1
03/06/2020,4,0
03/07/2020,10,0
03/08/2020,5,1
03/09/2020,13,0
03/10/2020,21,0
03/11/2020,16,0
03/12/2020,28,0
03/13/2020,42,0
03/14/2020,50,0
03/15/2020,50,0
03/16/2020,78,2
03/17/2020,77,0
03/18/2020,113,1
03/19/2020,142,0
03/20/2020,167,0
03/21/2020,196,1
03/22/2020,281,0
03/23/2020,364,0
03/24/2020,430,1
03/25/2020,285,0
03/26/2020,374,5
03/27/2020,374,0
03/28/2020,460,1
03/29/2020,346,2
03/30/2020,265,2
03/31/2020,310,1
04/01/2020,304,2
04/02/2020,272,4
04/03/2020,222,3
04/04/2020,194,2
04/05/2020,135,4
04/06/2020,108,9
04/07/2020,113,5
04/08/2020,105,2
04/09/2020,90,1
04/10/2020,100,3
04/11/2020,89,2
04/12/2020,21,3
04/13/2020,46,2
04/14/2020,41,0
04/15/2020,47,2
04/16/2020,21,0
04/17/2020,55,2
04/18/2020,42,4
04/19/2020,41,2
04/20/2020,13,0
04/21/2020,26,1
04/22/2020,4,2
04/23/2020,12,2
04/24/2020,14,2
04/25/2020,20,3
04/26/2020,16,2
04/27/2020,9,0
04/28/2020,11,5
04/29/2020,15,1
04/30/2020,7,2
05/01/2020,14,2
05/02/2020,16,0
05/03/2020,18,0
05/04/2020,24,3
05/05/2020,24,0
05/06/2020,26,1
05/07/2020,21,0
05/08/2020,18,0
05/09/2020,15,0
05/10/2020,12,0
05/11/2020,7,0
05/12/2020,16,0
05/13/2020,11,1
05/14/2020,14,0
05/15/2020,30,0
05/16/2020,17,0
05/17/2020,9,0
05/18/2020,15,1
05/19/2020,8,1
05/20/2020,11,0
05/21/2020,2,0
05/22/2020,14,1
05/23/2020,11,1
05/24/2020,3,0
05/25/2020,9,0
05/26/2020,15,0
05/27/2020,6,1
05/28/2020,11,0
05/29/2020,23,0
05/30/2020,12,0
05/31/2020,10,0
06/01/2020,9,0
06/02/2020,17,0
06/03/2020,8,0
06/04/2020,11,0
06/05/2020,11,0
06/06/2020,4,0
06/07/2020,5,0
06/08/2020,5,0
06/09/2020,2,0
06/10/2020,9,0
06/11/2020,9,0
06/12/2020,5,0
06/13/2020,12,0
06/14/2020,18,0
06/15/2020,15,0
06/16/2020,12,0
06/17/2020,23,0
06/18/2020,21,0
06/19/2020,18,0
06/20/2020,27,0
06/21/2020,25,0
06/22/2020,13,0
06/23/2020,18,0
06/24/2020,29,0
06/25/2020,37,1
06/26/2020,37,0
06/27/2020,46,0
06/28/2020,45,0
06/29/2020,81,0
06/30/2020,67,0
07/01/2020,86,0
07/02/2020,81,0
07/03/2020,254,0
07/04/2020,107,0
07/05/2020,87,0
07/06/2020,137,2
