Updated,ConfirmedChange,DeathsChange
02/25/2020,0,0
02/26/2020,0,0
02/27/2020,0,0
02/28/2020,2,0
02/29/2020,1,0
03/01/2020,5,0
03/02/2020,0,0
03/03/2020,8,0
03/04/2020,11,0
03/05/2020,12,0
03/06/2020,14,0
03/07/2020,24,0
03/08/2020,20,0
03/09/2020,32,0
03/10/2020,51,0
03/11/2020,64,0
03/12/2020,115,1
03/13/2020,143,0
03/14/2020,151,0
03/15/2020,205,0
03/16/2020,156,2
03/17/2020,316,0
03/18/2020,314,1
03/19/2020,367,2
03/20/2020,375,0
03/21/2020,426,2
03/22/2020,430,8
03/23/2020,680,5
03/24/2020,952,7
03/25/2020,684,3
03/26/2020,838,18
03/27/2020,1001,9
03/28/2020,596,10
03/29/2020,541,18
03/30/2020,841,22
03/31/2020,597,20
04/01/2020,508,18
04/02/2020,485,12
04/03/2020,416,10
04/04/2020,282,18
04/05/2020,242,18
04/06/2020,299,16
04/07/2020,313,23
04/08/2020,333,30
04/09/2020,286,22
04/10/2020,354,24
04/11/2020,284,18
04/12/2020,118,13
04/13/2020,105,18
04/14/2020,160,16
04/15/2020,162,9
04/16/2020,130,17
04/17/2020,102,21
04/18/2020,84,12
04/19/2020,59,9
04/20/2020,59,18
04/21/2020,55,21
04/22/2020,79,19
04/23/2020,74,12
04/24/2020,75,8
04/25/2020,79,6
04/26/2020,58,6
04/27/2020,64,7
04/28/2020,47,20
04/29/2020,67,11
04/30/2020,71,4
05/01/2020,46,5
05/02/2020,38,7
05/03/2020,19,2
05/04/2020,24,2
05/05/2020,28,6
05/06/2020,54,2
05/07/2020,32,1
05/08/2020,49,5
05/09/2020,42,1
05/10/2020,30,3
05/11/2020,59,2
05/12/2020,49,3
05/13/2020,79,1
05/14/2020,41,2
05/15/2020,79,2
05/16/2020,53,1
05/17/2020,21,0
05/18/2020,34,0
05/19/2020,60,3
05/20/2020,34,1
05/21/2020,40,0
05/22/2020,53,2
05/23/2020,26,4
05/24/2020,26,1
05/25/2020,19,1
05/26/2020,38,2
05/27/2020,17,2
05/28/2020,30,23
05/29/2020,31,0
05/30/2020,110,0
05/31/2020,46,0
06/01/2020,2,0
06/02/2020,26,1
06/03/2020,12,1
06/04/2020,34,0
06/05/2020,38,2
06/06/2020,55,0
06/07/2020,4,0
06/08/2020,66,0
06/09/2020,11,0
06/10/2020,26,1
06/11/2020,29,1
06/12/2020,30,1
06/13/2020,14,2
06/14/2020,31,0
06/15/2020,26,1
06/16/2020,54,3
06/17/2020,14,6
06/18/2020,20,1
06/19/2020,48,0
06/20/2020,52,0
06/21/2020,18,2
06/22/2020,39,0
06/23/2020,28,3
06/24/2020,41,0
06/25/2020,28,5
06/26/2020,45,0
06/27/2020,67,0
06/28/2020,67,0
06/29/2020,67,5
06/30/2020,43,2
07/01/2020,107,0
07/02/2020,68,0
07/03/2020,109,0
07/04/2020,115,0
