Updated,ConfirmedChange,DeathsChange
02/28/2020,0,0
02/29/2020,2.0,0.0
03/01/2020,0.0,0.0
03/02/2020,0.0,0.0
03/03/2020,0.0,0.0
03/04/2020,0.0,0.0
03/05/2020,3.0,0.0
03/06/2020,3.0,0.0
03/07/2020,0.0,0.0
03/08/2020,0.0,0.0
03/09/2020,2.0,0.0
03/10/2020,2.0,0.0
03/11/2020,2.0,0.0
03/12/2020,0.0,0.0
03/13/2020,4.0,0.0
03/14/2020,0.0,0.0
03/15/2020,6.0,0.0
03/16/2020,0.0,0.0
03/17/2020,9.0,1.0
03/18/2020,0.0,0.0
03/19/2020,10.0,0.0
03/20/2020,0.0,0.0
03/21/2020,9.0,0.0
03/22/2020,12.0,0.0
03/23/2020,7.0,0.0
03/24/2020,15.0,0.0
03/25/2020,6.0,1.0
03/26/2020,29.0,1.0
03/27/2020,43.0,0.0
03/28/2020,17.0,1.0
03/29/2020,27.0,0.0
03/30/2020,64.0,0.0
03/31/2020,25.0,1.0
04/01/2020,61.0,0.0
04/02/2020,41.0,0.0
04/03/2020,43.0,0.0
04/04/2020,78.0,0.0
04/05/2020,63.0,2.0
04/06/2020,57.0,0.0
04/07/2020,76.0,1.0
04/08/2020,105.0,0.0
04/09/2020,104.0,1.0
04/10/2020,65.0,1.0
04/11/2020,67.0,1.0
04/12/2020,40.0,0.0
04/13/2020,50.0,1.0
04/14/2020,49.0,1.0
04/15/2020,56.0,0.0
04/16/2020,30.0,2.0
04/17/2020,57.0,0.0
04/18/2020,33.0,3.0
04/19/2020,25.0,1.0
04/20/2020,38.0,0.0
04/21/2020,44.0,0.0
04/22/2020,38.0,1.0
04/23/2020,30.0,0.0
04/24/2020,44.0,1.0
04/25/2020,25.0,0.0
04/26/2020,28.0,0.0
04/27/2020,33.0,1.0
04/28/2020,39.0,0.0
04/29/2020,49.0,1.0
04/30/2020,38.0,1.0
05/01/2020,50.0,1.0
05/02/2020,40.0,0.0
05/03/2020,38.0,0.0
05/04/2020,52.0,1.0
05/05/2020,76.0,0.0
05/06/2020,67.0,2.0
05/07/2020,77.0,0.0
05/08/2020,107.0,0.0
05/09/2020,107.0,3.0
05/10/2020,107.0,1.0
05/11/2020,107.0,0.0
05/12/2020,107.0,1.0
05/13/2020,107.0,2.0
05/14/2020,107.0,0.0
05/15/2020,107.0,1.0
05/16/2020,107.0,0.0
05/17/2020,107.0,3.0
05/18/2020,113.0,1.0
05/19/2020,131.0,1.0
05/20/2020,113.0,0.0
05/21/2020,118.0,3.0
05/22/2020,106.0,2.0
05/23/2020,127.0,3.0
05/24/2020,140.0,0.0
05/25/2020,149.0,2.0
05/26/2020,132.0,1.0
05/27/2020,165.0,0.0
05/28/2020,191.0,2.0
05/29/2020,230.0,4.0
05/30/2020,257.0,3.0
05/31/2020,248.0,2.0
06/01/2020,220.0,5.0
06/02/2020,221.0,3.0
06/03/2020,325.0,5.0
06/04/2020,262.0,2.0
06/05/2020,338.0,4.0
06/06/2020,379.0,2.0
06/07/2020,314.0,4.0
06/08/2020,323.0,5.0
06/09/2020,315.0,5.0
06/10/2020,339.0,4.0
06/11/2020,352.0,6.0
06/12/2020,336.0,5.0
06/13/2020,352.0,2.0
06/14/2020,387.0,4.0
06/15/2020,352.0,0.0
06/16/2020,353.0,7.0
06/17/2020,164.0,0.0
06/18/2020,165.0,7.0
06/19/2020,338.0,6.0
06/20/2020,438.0,4.0
06/21/2020,962.0,11.0
06/22/2020,478.0,7.0
06/23/2020,508.0,6.0
06/24/2020,590.0,7.0
06/25/2020,547.0,6.0
