Updated,ConfirmedChange,DeathsChange
03/08/2020,0,0
03/09/2020,0,0
03/10/2020,0,0
03/11/2020,0,0
03/12/2020,0,0
03/13/2020,0,0
03/14/2020,0,0
03/15/2020,2,0
03/16/2020,3,0
03/17/2020,2,0
03/18/2020,4,1
03/19/2020,3,0
03/20/2020,3,0
03/21/2020,4,1
03/22/2020,3,0
03/23/2020,6,1
03/24/2020,6,1
03/25/2020,0,1
03/26/2020,5,0
03/27/2020,4,0
03/28/2020,0,0
03/29/2020,0,0
03/30/2020,1,0
03/31/2020,2,0
04/01/2020,3,1
04/02/2020,2,0
04/03/2020,5,0
04/04/2020,9,2
04/05/2020,18,1
04/06/2020,35,3
04/07/2020,41,5
04/08/2020,54,3
04/09/2020,112,1
04/10/2020,94,6
04/11/2020,58,3
04/12/2020,139,4
04/13/2020,182,5
04/14/2020,209,7
04/15/2020,268,4
04/16/2020,292,10
04/17/2020,266,15
04/18/2020,306,9
04/19/2020,312,7
04/20/2020,492,10
04/21/2020,434,9
04/22/2020,390,10
04/23/2020,414,7
04/24/2020,503,4
04/25/2020,309,9
04/26/2020,418,5
04/27/2020,497,7
04/28/2020,549,3
04/29/2020,641,8
04/30/2020,564,5
05/01/2020,571,2
05/02/2020,552,5
05/03/2020,665,2
05/04/2020,688,5
05/05/2020,786,1
05/06/2020,790,3
05/07/2020,706,13
05/08/2020,709,7
05/09/2020,636,8
05/10/2020,887,14
05/11/2020,1034,11
05/12/2020,969,11
05/13/2020,1162,19
05/14/2020,1041,14
05/15/2020,1202,15
05/16/2020,930,16
05/17/2020,1273,14
05/18/2020,1602,21
05/19/2020,1251,21
05/20/2020,1617,16
05/21/2020,1773,22
05/22/2020,1694,24
05/23/2020,1873,20
05/24/2020,1532,28
05/25/2020,1975,21
05/26/2020,1166,21
05/27/2020,1541,22
05/28/2020,2029,15
05/29/2020,2523,23
05/30/2020,1764,28
05/31/2020,2545,40
06/01/2020,2381,22
06/02/2020,2911,37
06/03/2020,2695,37
06/04/2020,2423,35
06/05/2020,2828,30
06/06/2020,2635,35
06/07/2020,2743,42
06/08/2020,2735,42
06/09/2020,3171,45
06/10/2020,3190,37
06/11/2020,3187,37
06/12/2020,3471,46
06/13/2020,2856,44
06/14/2020,3141,32
06/15/2020,3099,38
06/16/2020,3862,53
06/17/2020,4008,43
06/18/2020,3803,38
06/19/2020,3243,45
06/20/2020,3240,37
06/21/2020,3531,39
06/22/2020,3480,38
06/23/2020,3412,43
06/24/2020,3462,37
06/25/2020,3946,39
06/26/2020,3868,40
06/27/2020,3504,34
06/28/2020,3809,43
06/29/2020,4014,45
06/30/2020,3682,64
07/01/2020,3775,41
07/02/2020,4019,38
07/03/2020,3114,42
07/04/2020,3288,29
07/05/2020,2738,55
07/06/2020,3201,44
