Updated,ConfirmedChange,DeathsChange
02/28/2020,0,0
02/29/2020,0.0,0.0
03/01/2020,0.0,0.0
03/02/2020,0.0,0.0
03/03/2020,3.0,0.0
03/04/2020,6.0,0.0
03/05/2020,1.0,0.0
03/06/2020,1.0,0.0
03/07/2020,1.0,0.0
03/08/2020,1.0,0.0
03/09/2020,1.0,0.0
03/10/2020,2.0,0.0
03/11/2020,2.0,0.0
03/12/2020,2.0,0.0
03/13/2020,6.0,0.0
03/14/2020,3.0,0.0
03/15/2020,3.0,0.0
03/16/2020,3.0,0.0
03/17/2020,0.0,0.0
03/18/2020,15.0,0.0
03/19/2020,9.0,0.0
03/20/2020,9.0,0.0
03/21/2020,7.0,0.0
03/22/2020,2.0,0.0
03/23/2020,3.0,0.0
03/24/2020,2.0,0.0
03/25/2020,3.0,0.0
03/26/2020,4.0,0.0
03/27/2020,4.0,0.0
03/28/2020,19.0,0.0
03/29/2020,19.0,0.0
03/30/2020,20.0,0.0
03/31/2020,5.0,1.0
04/01/2020,6.0,1.0
04/02/2020,141.0,2.0
04/03/2020,47.0,0.0
04/04/2020,89.0,1.0
04/05/2020,122.0,3.0
04/06/2020,138.0,5.0
04/07/2020,161.0,0.0
04/08/2020,205.0,0.0
04/09/2020,420.0,3.0
04/10/2020,495.0,3.0
04/11/2020,245.0,4.0
04/12/2020,352.0,3.0
04/13/2020,341.0,3.0
04/14/2020,362.0,4.0
04/15/2020,447.0,3.0
04/16/2020,476.0,4.0
04/17/2020,575.0,2.0
04/18/2020,518.0,3.0
04/19/2020,510.0,2.0
04/20/2020,457.0,4.0
04/21/2020,459.0,4.0
04/22/2020,558.0,3.0
04/23/2020,741.0,2.0
04/24/2020,751.0,3.0
04/25/2020,817.0,4.0
04/26/2020,873.0,5.0
04/27/2020,826.0,3.0
04/28/2020,919.0,4.0
04/29/2020,973.0,5.0
04/30/2020,846.0,5.0
05/01/2020,890.0,4.0
05/02/2020,911.0,4.0
05/03/2020,877.0,2.0
05/04/2020,784.0,4.0
05/05/2020,861.0,4.0
05/06/2020,905.0,5.0
05/07/2020,913.0,4.0
05/08/2020,933.0,5.0
05/09/2020,951.0,5.0
05/10/2020,921.0,5.0
05/11/2020,933.0,4.0
05/12/2020,967.0,7.0
05/13/2020,952.0,4.0
05/14/2020,947.0,5.0
05/15/2020,958.0,5.0
05/16/2020,951.0,4.0
05/17/2020,969.0,5.0
05/18/2020,922.0,6.0
05/19/2020,936.0,4.0
05/20/2020,918.0,4.0
05/21/2020,945.0,6.0
05/22/2020,932.0,5.0
05/23/2020,941.0,4.0
05/24/2020,954.0,5.0
05/25/2020,946.0,5.0
05/26/2020,915.0,4.0
05/27/2020,897.0,6.0
05/28/2020,902.0,5.0
05/29/2020,906.0,5.0
05/30/2020,894.0,5.0
05/31/2020,898.0,6.0
06/01/2020,847.0,5.0
06/02/2020,852.0,3.0
06/03/2020,861.0,5.0
06/04/2020,865.0,5.0
06/05/2020,887.0,6.0
06/06/2020,883.0,4.0
06/07/2020,879.0,6.0
06/08/2020,823.0,7.0
06/09/2020,812.0,6.0
06/10/2020,801.0,6.0
06/11/2020,750.0,5.0
06/12/2020,704.0,5.0
06/13/2020,721.0,5.0
06/14/2020,732.0,5.0
06/15/2020,707.0,4.0
06/16/2020,689.0,6.0
06/17/2020,663.0,6.0
06/18/2020,625.0,7.0
06/19/2020,676.0,6.0
06/20/2020,603.0,6.0
06/21/2020,569.0,3.0
06/22/2020,518.0,5.0
06/23/2020,464.0,6.0
06/24/2020,458.0,5.0
06/25/2020,437.0,5.0
06/26/2020,331.0,6.0
