Updated,ConfirmedChange,DeathsChange
02/04/2020,0,0
02/05/2020,0.0,0.0
02/06/2020,0.0,0.0
02/07/2020,0.0,0.0
02/08/2020,0.0,0.0
02/09/2020,0.0,0.0
02/10/2020,0.0,0.0
02/11/2020,0.0,0.0
02/12/2020,0.0,0.0
02/13/2020,0.0,0.0
02/14/2020,0.0,0.0
02/15/2020,0.0,0.0
02/16/2020,0.0,0.0
02/17/2020,0.0,0.0
02/18/2020,0.0,0.0
02/19/2020,0.0,0.0
02/20/2020,0.0,0.0
02/21/2020,0.0,0.0
02/22/2020,0.0,0.0
02/23/2020,0.0,0.0
02/24/2020,0.0,0.0
02/25/2020,0.0,0.0
02/26/2020,0.0,0.0
02/27/2020,0.0,0.0
02/28/2020,0.0,0.0
02/29/2020,0.0,0.0
03/01/2020,1.0,0.0
03/02/2020,6.0,0.0
03/03/2020,5.0,0.0
03/04/2020,10.0,0.0
03/05/2020,27.0,0.0
03/06/2020,59.0,0.0
03/07/2020,60.0,0.0
03/08/2020,31.0,0.0
03/09/2020,39.0,0.0
03/10/2020,28.0,1.0
03/11/2020,47.0,2.0
03/12/2020,85.0,0.0
03/13/2020,160.0,0.0
03/14/2020,130.0,1.0
03/15/2020,197.0,0.0
03/16/2020,172.0,1.0
03/17/2020,185.0,0.0
03/18/2020,243.0,9.0
03/19/2020,309.0,7.0
03/20/2020,462.0,16.0
03/21/2020,558.0,30.0
03/22/2020,586.0,8.0
03/23/2020,342.0,13.0
03/24/2020,526.0,34.0
03/25/2020,668.0,56.0
03/26/2020,1298.0,42.0
03/27/2020,1049.0,69.0
03/28/2020,1850.0,64.0
03/29/2020,1702.0,78.0
03/30/2020,1063.0,82.0
03/31/2020,876.0,192.0
04/01/2020,1189.0,123.0
04/02/2020,1384.0,183.0
04/03/2020,1422.0,132.0
04/04/2020,1661.0,140.0
04/05/2020,1260.0,164.0
04/06/2020,1123.0,185.0
04/07/2020,1380.0,403.0
04/08/2020,1209.0,205.0
04/09/2020,1580.0,283.0
04/10/2020,1684.0,496.0
04/11/2020,1351.0,327.0
04/12/2020,1629.0,254.0
04/13/2020,942.0,303.0
04/14/2020,530.0,254.0
04/15/2020,2454.0,283.0
04/16/2020,1236.0,417.0
04/17/2020,1329.0,306.0
04/18/2020,1045.0,290.0
04/19/2020,1313.0,230.0
04/20/2020,1487.0,145.0
04/21/2020,973.0,170.0
04/22/2020,933.0,264.0
04/23/2020,908.0,228.0
04/24/2020,1496.0,189.0
04/25/2020,1032.0,238.0
04/26/2020,809.0,177.0
04/27/2020,553.0,113.0
04/28/2020,647.0,124.0
04/29/2020,525.0,170.0
04/30/2020,660.0,93.0
05/01/2020,513.0,109.0
05/02/2020,485.0,62.0
05/03/2020,389.0,79.0
05/04/2020,361.0,80.0
05/05/2020,242.0,92.0
05/06/2020,272.0,323.0
05/07/2020,639.0,76.0
05/08/2020,591.0,106.0
05/09/2020,585.0,60.0
05/10/2020,485.0,75.0
05/11/2020,368.0,51.0
05/12/2020,330.0,55.0
05/13/2020,202.0,81.0
05/14/2020,307.0,81.0
05/15/2020,356.0,35.0
05/16/2020,345.0,46.0
05/17/2020,291.0,47.0
05/18/2020,279.0,28.0
05/19/2020,232.0,28.0
05/20/2020,192.0,42.0
05/21/2020,252.0,36.0
05/22/2020,276.0,26.0
05/23/2020,299.0,25.0
05/24/2020,282.0,43.0
05/25/2020,250.0,32.0
05/26/2020,113.0,22.0
05/27/2020,137.0,30.0
05/28/2020,257.0,24.0
05/29/2020,212.0,42.0
05/30/2020,125.0,23.0
05/31/2020,195.0,14.0
06/01/2020,136.0,19.0
06/02/2020,98.0,19.0
06/03/2020,70.0,17.0
06/04/2020,82.0,26.0
06/05/2020,140.0,18.0
06/06/2020,165.0,14.0
06/07/2020,154.0,15.0
06/08/2020,122.0,11.0
06/09/2020,89.0,13.0
06/10/2020,132.0,10.0
06/11/2020,142.0,7.0
06/12/2020,108.0,10.0
06/13/2020,99.0,4.0
06/14/2020,111.0,5.0
06/15/2020,71.0,6.0
06/16/2020,55.0,2.0
06/17/2020,89.0,12.0
06/18/2020,104.0,8.0
06/19/2020,128.0,12.0
06/20/2020,74.0,1.0
06/21/2020,86.0,0.0
06/22/2020,87.0,0.0
06/23/2020,87.0,17.0
06/24/2020,88.0,9.0
06/25/2020,109.0,4.0
