Updated,ConfirmedChange,DeathsChange
02/26/2020,0,0
02/27/2020,0.0,0.0
02/28/2020,0.0,0.0
02/29/2020,1.0,0.0
03/01/2020,0.0,0.0
03/02/2020,0.0,0.0
03/03/2020,0.0,0.0
03/04/2020,2.0,0.0
03/05/2020,4.0,0.0
03/06/2020,6.0,0.0
03/07/2020,5.0,0.0
03/08/2020,6.0,0.0
03/09/2020,5.0,0.0
03/10/2020,4.0,0.0
03/11/2020,18.0,0.0
03/12/2020,24.0,0.0
03/13/2020,22.0,0.0
03/14/2020,23.0,0.0
03/15/2020,79.0,0.0
03/16/2020,34.0,0.0
03/17/2020,57.0,1.0
03/18/2020,137.0,3.0
03/19/2020,193.0,3.0
03/20/2020,343.0,4.0
03/21/2020,214.0,7.0
03/22/2020,368.0,7.0
03/23/2020,345.0,9.0
03/24/2020,310.0,12.0
03/25/2020,232.0,11.0
03/26/2020,482.0,20.0
03/27/2020,502.0,15.0
03/28/2020,487.0,22.0
03/29/2020,352.0,22.0
03/30/2020,323.0,23.0
03/31/2020,1138.0,42.0
04/01/2020,1119.0,39.0
04/02/2020,1074.0,59.0
04/03/2020,1146.0,60.0
04/04/2020,1222.0,72.0
04/05/2020,852.0,55.0
04/06/2020,926.0,67.0
04/07/2020,1661.0,114.0
04/08/2020,2210.0,133.0
04/09/2020,1930.0,141.0
04/10/2020,1781.0,115.0
04/11/2020,1089.0,68.0
04/12/2020,1442.0,99.0
04/13/2020,1261.0,105.0
04/14/2020,1832.0,204.0
04/15/2020,3058.0,204.0
04/16/2020,2105.0,188.0
04/17/2020,3257.0,217.0
04/18/2020,2917.0,206.0
04/19/2020,2055.0,115.0
04/20/2020,1927.0,113.0
04/21/2020,2498.0,166.0
04/22/2020,2678.0,165.0
04/23/2020,3735.0,407.0
04/24/2020,3503.0,357.0
04/25/2020,5514.0,346.0
04/26/2020,3379.0,189.0
04/27/2020,4613.0,338.0
04/28/2020,5385.0,474.0
04/29/2020,6276.0,449.0
04/30/2020,7218.0,435.0
05/01/2020,6209.0,428.0
05/02/2020,4970.0,421.0
05/03/2020,4588.0,275.0
05/04/2020,6633.0,296.0
05/05/2020,6935.0,600.0
05/06/2020,10503.0,615.0
05/07/2020,9888.0,610.0
05/08/2020,10222.0,751.0
05/09/2020,10611.0,730.0
05/10/2020,6760.0,496.0
05/11/2020,5632.0,396.0
05/12/2020,9883.0,942.0
05/13/2020,10760.0,688.0
05/14/2020,13944.0,844.0
05/15/2020,15305.0,824.0
05/16/2020,14919.0,816.0
05/17/2020,7938.0,485.0
05/18/2020,13140.0,674.0
05/19/2020,17408.0,1179.0
05/20/2020,19951.0,888.0
05/21/2020,18508.0,1188.0
05/22/2020,20803.0,1001.0
05/23/2020,16508.0,965.0
05/24/2020,15813.0,653.0
05/25/2020,11687.0,807.0
05/26/2020,16324.0,1039.0
05/27/2020,20599.0,1086.0
05/28/2020,26417.0,1156.0
05/29/2020,26928.0,1124.0
05/30/2020,33274.0,956.0
05/31/2020,16409.0,480.0
06/01/2020,11598.0,623.0
06/02/2020,28936.0,1262.0
06/03/2020,28633.0,1349.0
06/04/2020,30925.0,1473.0
06/05/2020,30830.0,1005.0
06/06/2020,27075.0,904.0
06/07/2020,18912.0,525.0
06/08/2020,15654.0,679.0
06/09/2020,32091.0,1272.0
06/10/2020,32913.0,1274.0
06/11/2020,30412.0,1239.0
06/12/2020,25982.0,909.0
06/13/2020,21704.0,892.0
06/14/2020,17110.0,612.0
06/15/2020,20647.0,627.0
06/16/2020,34918.0,1282.0
06/17/2020,32188.0,1269.0
06/18/2020,22765.0,1238.0
06/19/2020,54771.0,1206.0
06/20/2020,34666.0,1022.0
06/21/2020,17459.0,641.0
06/22/2020,21432.0,654.0
06/23/2020,39436.0,1374.0
06/24/2020,42725.0,1185.0
06/25/2020,39483.0,1141.0
06/26/2020,46860.0,990.0
04/08/2020,46860.0,990.0
04/14/2020,40.0,2.0
04/15/2020,9.0,0.0
04/16/2020,11.0,2.0
04/17/2020,25.0,0.0
04/18/2020,7.0,0.0
04/19/2020,21.0,1.0
04/20/2020,13.0,2.0
04/21/2020,19.0,0.0
04/22/2020,19.0,0.0
04/23/2020,13.0,2.0
04/24/2020,7.0,1.0
04/26/2020,45.0,0.0
04/27/2020,16.0,3.0
04/28/2020,16.0,2.0
04/29/2020,43.0,1.0
04/30/2020,50.0,2.0
05/01/2020,82.0,0.0
05/02/2020,67.0,3.0
05/03/2020,104.0,2.0
05/04/2020,76.0,4.0
05/05/2020,84.0,1.0
05/06/2020,126.0,4.0
05/07/2020,71.0,3.0
05/08/2020,163.0,2.0
05/09/2020,158.0,1.0
05/10/2020,112.0,2.0
05/11/2020,13.0,4.0
05/12/2020,130.0,6.0
05/13/2020,104.0,1.0
05/14/2020,45.0,0.0
05/15/2020,46.0,5.0
05/16/2020,82.0,2.0
05/17/2020,130.0,1.0
05/18/2020,237.0,7.0
05/19/2020,248.0,5.0
05/20/2020,335.0,4.0
05/21/2020,286.0,2.0
05/22/2020,240.0,2.0
05/23/2020,524.0,7.0
05/24/2020,293.0,5.0
05/25/2020,341.0,5.0
05/26/2020,280.0,8.0
05/27/2020,470.0,8.0
05/28/2020,349.0,9.0
05/29/2020,241.0,13.0
05/30/2020,231.0,7.0
05/31/2020,147.0,6.0
06/01/2020,107.0,13.0
06/02/2020,139.0,4.0
06/03/2020,185.0,0.0
06/04/2020,185.0,0.0
06/05/2020,186.0,16.0
06/06/2020,263.0,9.0
06/07/2020,241.0,11.0
06/08/2020,466.0,0.0
06/09/2020,466.0,22.0
06/10/2020,289.0,14.0
06/11/2020,274.0,0.0
06/12/2020,275.0,17.0
06/13/2020,239.0,2.0
06/14/2020,108.0,3.0
06/15/2020,129.0,6.0
06/16/2020,232.0,6.0
06/17/2020,336.0,10.0
06/18/2020,325.0,6.0
06/19/2020,323.0,5.0
06/20/2020,138.0,0.0
06/21/2020,138.0,5.0
06/22/2020,276.0,8.0
06/23/2020,271.0,16.0
06/24/2020,212.0,5.0
06/25/2020,282.0,9.0
04/08/2020,282.0,9.0
04/14/2020,18.0,1.0
04/15/2020,22.0,1.0
04/16/2020,17.0,1.0
04/17/2020,21.0,2.0
04/18/2020,22.0,5.0
04/19/2020,27.0,3.0
04/20/2020,12.0,3.0
04/21/2020,39.0,1.0
04/22/2020,33.0,1.0
04/23/2020,81.0,2.0
04/24/2020,89.0,5.0
04/26/2020,141.0,5.0
04/27/2020,89.0,2.0
04/28/2020,134.0,2.0
04/29/2020,180.0,5.0
04/30/2020,87.0,6.0
05/01/2020,182.0,6.0
05/02/2020,146.0,5.0
05/03/2020,69.0,6.0
05/04/2020,97.0,8.0
05/05/2020,68.0,8.0
05/06/2020,97.0,9.0
05/07/2020,164.0,9.0
05/08/2020,166.0,10.0
05/09/2020,139.0,6.0
05/10/2020,86.0,12.0
05/11/2020,85.0,12.0
05/12/2020,237.0,12.0
05/13/2020,181.0,14.0
05/14/2020,225.0,0.0
05/15/2020,226.0,23.0
05/16/2020,381.0,12.0
05/17/2020,223.0,11.0
05/18/2020,215.0,11.0
