Updated,ConfirmedChange,DeathsChange
01/21/2020,0,0
01/22/2020,131,0
01/23/2020,259,0
01/24/2020,457,0
01/25/2020,688,0
01/26/2020,769,0
01/27/2020,1771,0
01/28/2020,1459,0
01/29/2020,1737,0
01/30/2020,1981,0
01/31/2020,2099,0
02/01/2020,2589,0
02/02/2020,2825,0
02/03/2020,3233,361
02/04/2020,3886,64
02/05/2020,3694,66
02/06/2020,3143,73
02/07/2020,3385,73
02/08/2020,2652,86
02/09/2020,2973,89
02/10/2020,2467,97
02/11/2020,2015,108
02/12/2020,1819,97
02/13/2020,1995,254
02/14/2020,1503,13
02/15/2020,1121,143
02/16/2020,17493,142
02/17/2020,2051,106
02/18/2020,1793,98
02/19/2020,1852,136
02/20/2020,395,115
02/21/2020,894,118
02/22/2020,823,109
02/23/2020,650,97
02/24/2020,220,150
02/25/2020,518,71
02/26/2020,411,52
02/27/2020,439,29
02/28/2020,331,44
02/29/2020,433,47
03/01/2020,574,35
03/02/2020,206,42
03/03/2020,130,31
03/04/2020,118,38
03/05/2020,143,31
03/06/2020,146,30
03/07/2020,38,28
03/08/2020,30,27
03/09/2020,16,23
03/10/2020,5,17
03/11/2020,13,22
03/12/2020,13,11
03/13/2020,20,7
03/14/2020,4,14
03/15/2020,33,10
03/16/2020,18,9
03/17/2020,9,13
03/18/2020,9,11
03/19/2020,9,8
03/20/2020,39,3
03/21/2020,41,7
03/22/2020,46,6
03/23/2020,39,9
03/24/2020,78,7
03/25/2020,47,4
03/26/2020,67,6
03/27/2020,55,5
03/28/2020,54,3
03/29/2020,45,5
03/30/2020,31,4
03/31/2020,48,1
04/01/2020,36,7
04/02/2020,35,6
04/03/2020,31,4
04/04/2020,19,4
04/05/2020,30,3
04/06/2020,39,2
04/07/2020,32,0
04/08/2020,62,2
04/09/2020,63,2
04/10/2020,42,1
04/11/2020,46,3
04/12/2020,99,0
04/13/2020,108,2
04/14/2020,89,0
04/15/2020,46,1
04/16/2020,46,0
04/17/2020,26,0
04/18/2020,352,1290
04/19/2020,16,0
04/20/2020,12,0
04/21/2020,11,0
04/22/2020,30,0
04/23/2020,10,0
04/24/2020,6,0
04/25/2020,12,0
04/26/2020,11,0
04/27/2020,3,1
04/28/2020,6,0
04/29/2020,22,0
04/30/2020,4,0
05/01/2020,12,0
05/02/2020,1,0
05/03/2020,2,0
05/04/2020,3,0
05/05/2020,1,0
05/06/2020,2,0
05/07/2020,2,0
05/08/2020,1,0
05/09/2020,1,0
05/10/2020,14,0
05/11/2020,17,0
05/12/2020,1,0
05/13/2020,7,0
05/14/2020,3,0
05/15/2020,4,0
05/16/2020,8,0
05/17/2020,6,1
05/18/2020,7,0
05/19/2020,6,0
05/20/2020,5,0
05/21/2020,2,0
05/22/2020,4,0
05/23/2020,1,0
05/24/2020,2,0
05/25/2020,11,0
05/26/2020,7,0
05/27/2020,1,0
05/28/2020,2,0
05/29/2020,2,0
05/30/2020,2,0
05/31/2020,2,0
06/01/2020,16,0
06/02/2020,5,0
06/03/2020,1,0
06/04/2020,2,0
06/05/2020,2,0
06/06/2020,3,0
06/07/2020,6,0
06/08/2020,4,0
06/09/2020,3,0
06/10/2020,3,0
06/11/2020,11,0
06/12/2020,7,0
06/13/2020,11,0
06/14/2020,57,0
06/15/2020,49,0
06/16/2020,40,0
06/17/2020,44,0
06/18/2020,28,0
06/19/2020,32,0
06/20/2020,27,0
06/21/2020,26,0
06/22/2020,18,0
06/23/2020,22,0
06/24/2020,12,0
06/25/2020,19,0
06/26/2020,13,0
06/27/2020,21,0
06/28/2020,17,0
06/29/2020,12,0
06/30/2020,19,0
07/01/2020,3,0
07/02/2020,3,0
07/03/2020,5,0
07/04/2020,3,0
07/05/2020,8,0
