Updated,ConfirmedChange,DeathsChange
03/06/2020,0,0
03/07/2020,0.0,0.0
03/08/2020,0.0,0.0
03/09/2020,2.0,0.0
03/10/2020,0.0,0.0
03/11/2020,6.0,0.0
03/12/2020,4.0,0.0
03/13/2020,3.0,0.0
03/14/2020,8.0,0.0
03/15/2020,21.0,0.0
03/16/2020,12.0,1.0
03/17/2020,18.0,0.0
03/18/2020,27.0,0.0
03/19/2020,26.0,0.0
03/20/2020,47.0,0.0
03/21/2020,35.0,0.0
03/22/2020,25.0,1.0
03/23/2020,71.0,1.0
03/24/2020,72.0,0.0
03/25/2020,92.0,1.0
03/26/2020,21.0,2.0
03/27/2020,48.0,0.0
03/28/2020,69.0,0.0
03/29/2020,94.0,4.0
03/30/2020,96.0,4.0
03/31/2020,108.0,2.0
04/01/2020,159.0,1.0
04/02/2020,96.0,2.0
04/03/2020,106.0,6.0
04/04/2020,139.0,7.0
04/05/2020,79.0,3.0
04/06/2020,94.0,11.0
04/07/2020,201.0,4.0
04/08/2020,274.0,5.0
04/09/2020,169.0,14.0
04/10/2020,250.0,11.0
04/11/2020,236.0,20.0
04/12/2020,67.0,9.0
04/13/2020,76.0,3.0
04/14/2020,127.0,15.0
04/15/2020,126.0,4.0
04/16/2020,128.0,13.0
04/17/2020,206.0,9.0
04/18/2020,182.0,13.0
04/19/2020,171.0,13.0
04/20/2020,185.0,10.0
04/21/2020,172.0,7.0
04/22/2020,207.0,10.0
04/23/2020,205.0,9.0
04/24/2020,320.0,10.0
04/25/2020,261.0,8.0
04/26/2020,237.0,11.0
04/27/2020,218.0,9.0
04/28/2020,352.0,16.0
04/29/2020,262.0,9.0
04/30/2020,296.0,15.0
05/01/2020,499.0,21.0
05/02/2020,279.0,10.0
05/03/2020,383.0,16.0
05/04/2020,305.0,18.0
05/05/2020,640.0,20.0
05/06/2020,346.0,19.0
05/07/2020,497.0,10.0
05/08/2020,595.0,21.0
05/09/2020,444.0,17.0
05/10/2020,568.0,18.0
05/11/2020,550.0,16.0
05/12/2020,659.0,14.0
05/13/2020,658.0,16.0
05/14/2020,680.0,16.0
05/15/2020,606.0,21.0
05/16/2020,723.0,16.0
05/17/2020,635.0,12.0
05/18/2020,721.0,18.0
05/19/2020,640.0,21.0
05/20/2020,752.0,17.0
05/21/2020,643.0,22.0
05/22/2020,801.0,30.0
05/23/2020,1046.0,23.0
05/24/2020,998.0,22.0
05/25/2020,806.0,23.0
05/26/2020,1022.0,26.0
05/27/2020,1101.0,27.0
05/28/2020,1262.0,19.0
05/29/2020,1322.0,31.0
05/30/2020,1548.0,37.0
05/31/2020,1147.0,49.0
06/01/2020,1110.0,30.0
06/02/2020,1340.0,40.0
06/03/2020,1521.0,36.0
06/04/2020,1766.0,42.0
06/05/2020,1515.0,58.0
06/06/2020,1392.0,60.0
06/07/2020,1209.0,54.0
06/08/2020,1483.0,49.0
06/09/2020,1359.0,64.0
06/10/2020,1604.0,61.0
06/11/2020,1530.0,55.0
06/12/2020,1646.0,57.0
06/13/2020,1888.0,47.0
06/14/2020,2193.0,75.0
06/15/2020,2124.0,59.0
06/16/2020,1868.0,75.0
06/17/2020,2115.0,63.0
06/18/2020,3171.0,86.0
06/19/2020,3059.0,95.0
06/20/2020,2357.0,81.0
06/21/2020,3019.0,111.0
06/22/2020,2531.0,73.0
06/23/2020,2389.0,94.0
06/24/2020,3541.0,87.0
06/25/2020,3486.0,163.0
06/26/2020,3843.0,157.0
04/21/2020,3843.0,157.0
04/23/2020,2.0,0.0
04/24/2020,6.0,1.0
04/26/2020,0.0,0.0
04/27/2020,28.0,1.0
04/29/2020,37.0,0.0
04/30/2020,27.0,0.0
05/01/2020,25.0,0.0
05/02/2020,25.0,0.0
05/03/2020,25.0,0.0
05/04/2020,25.0,0.0
05/05/2020,25.0,10.0
05/06/2020,0.0,0.0
05/07/2020,1.0,2.0
05/08/2020,188.0,0.0
05/09/2020,12.0,3.0
05/10/2020,48.0,0.0
05/11/2020,49.0,6.0
05/12/2020,191.0,3.0
05/13/2020,25.0,0.0
05/14/2020,128.0,3.0
05/15/2020,53.0,1.0
05/16/2020,79.0,5.0
