Updated,ConfirmedChange,DeathsChange
03/10/2020,0,0
03/13/2020,1,0
03/15/2020,0,0
03/16/2020,0,0
03/17/2020,1,0
03/18/2020,4,0
03/19/2020,7,0
03/20/2020,4,0
03/21/2020,5,1
03/22/2020,7,0
03/23/2020,0,1
03/24/2020,15,0
03/25/2020,3,0
03/26/2020,3,2
03/27/2020,3,0
03/28/2020,4,4
03/29/2020,7,0
03/30/2020,16,0
03/31/2020,17,0
04/01/2020,11,1
04/02/2020,14,2
04/03/2020,11,2
04/04/2020,14,3
04/05/2020,6,2
04/06/2020,7,0
04/07/2020,19,0
04/08/2020,11,0
04/09/2020,12,0
04/10/2020,12,2
04/11/2020,8,0
04/12/2020,11,0
04/13/2020,1,0
04/14/2020,6,0
04/15/2020,13,1
04/16/2020,13,1
04/17/2020,20,1
04/18/2020,20,2
04/19/2020,20,0
04/20/2020,5,0
04/21/2020,18,0
04/22/2020,9,0
04/23/2020,18,0
04/24/2020,17,0
04/25/2020,22,3
04/26/2020,38,0
04/27/2020,38,0
04/28/2020,38,0
04/29/2020,38,1
04/30/2020,38,1
05/01/2020,38,1
05/02/2020,38,1
05/03/2020,38,1
05/04/2020,38,1
05/05/2020,38,1
05/06/2020,38,1
05/07/2020,38,1
05/08/2020,38,1
05/09/2020,38,1
05/10/2020,38,1
05/11/2020,38,1
05/12/2020,78,3
05/13/2020,67,6
05/14/2020,73,0
05/15/2020,56,0
05/16/2020,71,11
05/17/2020,85,0
05/18/2020,83,0
05/19/2020,91,0
05/20/2020,102,0
05/21/2020,104,0
05/22/2020,110,1
05/23/2020,80,0
05/24/2020,116,0
05/25/2020,156,5
05/26/2020,124,0
05/27/2020,125,1
05/28/2020,114,1
05/29/2020,173,2
05/30/2020,133,0
05/31/2020,81,1
06/01/2020,148,0
06/02/2020,131,0
06/03/2020,159,0
06/04/2020,159,5
06/05/2020,120,4
06/06/2020,115,1
06/07/2020,137,3
06/08/2020,122,0
06/09/2020,122,5
06/10/2020,131,6
06/11/2020,125,2
06/12/2020,122,3
06/13/2020,87,5
06/14/2020,54,1
06/15/2020,59,5
06/16/2020,137,0
06/17/2020,63,0
06/18/2020,63,3
06/19/2020,183,2
06/20/2020,194,5
06/21/2020,349,8
06/22/2020,98,5
06/23/2020,103,0
06/24/2020,186,7
06/25/2020,198,0
