Updated,ConfirmedChange,DeathsChange
03/12/2020,0,0
03/13/2020,0,0
03/14/2020,1,0
03/15/2020,0,0
03/16/2020,0,0
03/17/2020,1,0
03/18/2020,5,0
03/19/2020,1,1
03/20/2020,5,0
03/21/2020,5,0
03/22/2020,14,0
03/23/2020,5,0
03/24/2020,8,0
03/25/2020,9,0
03/26/2020,10,0
03/27/2020,13,1
03/28/2020,39,1
03/29/2020,20,0
03/30/2020,31,1
03/31/2020,16,2
04/01/2020,26,0
04/02/2020,21,0
04/03/2020,27,0
04/04/2020,28,0
04/05/2020,32,2
04/06/2020,30,1
04/07/2020,53,1
04/08/2020,54,2
04/09/2020,53,1
04/10/2020,53,1
04/11/2020,53,2
04/12/2020,53,2
04/13/2020,57,3
04/14/2020,40,0
04/15/2020,48,3
04/16/2020,48,3
04/17/2020,61,4
04/18/2020,63,1
04/19/2020,49,2
04/20/2020,52,2
04/21/2020,25,0
04/22/2020,25,2
04/23/2020,98,5
04/24/2020,50,6
04/25/2020,52,2
04/26/2020,32,3
04/27/2020,20,2
04/28/2020,48,2
04/29/2020,30,0
04/30/2020,34,3
05/01/2020,36,3
05/02/2020,74,2
05/03/2020,38,1
05/04/2020,19,2
05/05/2020,17,0
05/06/2020,18,0
05/07/2020,26,4
05/08/2020,12,1
05/09/2020,13,0
05/10/2020,12,3
05/11/2020,17,0
05/12/2020,21,1
05/13/2020,6,1
05/14/2020,20,0
05/15/2020,10,0
05/16/2020,22,0
05/17/2020,10,0
05/18/2020,9,0
05/19/2020,6,0
05/20/2020,13,0
05/21/2020,8,1
05/22/2020,8,1
05/23/2020,15,0
05/24/2020,10,1
05/25/2020,6,0
05/26/2020,16,0
05/27/2020,11,0
05/28/2020,9,0
05/29/2020,22,0
05/30/2020,20,1
05/31/2020,20,0
06/01/2020,38,0
06/02/2020,9,0
06/03/2020,13,0
06/04/2020,14,0
06/05/2020,14,0
06/06/2020,40,0
06/07/2020,18,0
06/08/2020,9,0
06/09/2020,5,0
06/10/2020,6,0
06/11/2020,8,1
06/12/2020,14,0
06/13/2020,5,0
06/14/2020,10,0
06/15/2020,7,0
06/16/2020,7,0
06/17/2020,11,0
06/18/2020,7,0
06/19/2020,15,1
06/20/2020,10,0
06/21/2020,4,0
06/22/2020,6,0
06/23/2020,3,0
06/24/2020,1,0
06/25/2020,2,0
06/26/2020,4,0
06/27/2020,3,0
06/28/2020,4,1
06/29/2020,8,0
06/30/2020,4,0
07/01/2020,4,0
07/02/2020,6,0
07/03/2020,7,0
07/04/2020,8,0
07/05/2020,3,0
