Updated,ConfirmedChange,DeathsChange
03/01/2020,0,0
03/02/2020,0,0
03/03/2020,2,0
03/04/2020,0,0
03/05/2020,3,0
03/06/2020,11,0
03/07/2020,7,0
03/08/2020,6,0
03/09/2020,6,0
03/10/2020,25,0
03/11/2020,31,0
03/12/2020,22,0
03/13/2020,25,0
03/14/2020,48,0
03/15/2020,109,0
03/16/2020,85,0
03/17/2020,67,0
03/18/2020,110,0
03/19/2020,205,0
03/20/2020,124,0
03/21/2020,158,0
03/22/2020,114,1
03/23/2020,126,0
03/24/2020,185,2
03/25/2020,291,6
03/26/2020,259,1
03/27/2020,373,2
03/28/2020,262,5
03/29/2020,160,6
03/30/2020,184,6
03/31/2020,307,7
04/01/2020,281,8
04/02/2020,269,5
04/03/2020,332,9
04/04/2020,282,8
04/05/2020,115,12
04/06/2020,235,7
04/07/2020,195,9
04/08/2020,295,14
04/09/2020,257,11
04/10/2020,163,9
04/11/2020,170,10
04/12/2020,89,10
04/13/2020,68,11
04/14/2020,82,8
04/15/2020,160,0
04/16/2020,132,2
04/17/2020,116,7
04/18/2020,105,4
04/19/2020,92,9
04/20/2020,154,6
04/21/2020,133,9
04/22/2020,99,2
04/23/2020,55,3
04/24/2020,86,6
04/25/2020,79,4
04/26/2020,52,3
04/27/2020,41,2
04/28/2020,59,6
04/29/2020,75,3
04/30/2020,103,7
05/01/2020,55,5
05/02/2020,18,2
05/03/2020,26,1
05/04/2020,38,11
05/05/2020,77,3
05/06/2020,78,5
05/07/2020,57,5
05/08/2020,46,4
05/09/2020,18,4
05/10/2020,28,3
05/11/2020,53,2
05/12/2020,45,3
05/13/2020,48,3
05/14/2020,82,1
05/15/2020,55,3
05/16/2020,49,1
05/17/2020,20,2
05/18/2020,111,4
05/19/2020,61,1
05/20/2020,74,5
05/21/2020,33,3
05/22/2020,59,2
05/23/2020,77,2
05/24/2020,65,2
05/25/2020,47,1
05/26/2020,48,0
05/27/2020,36,0
05/28/2020,54,2
05/29/2020,56,0
05/30/2020,34,0
05/31/2020,38,0
06/01/2020,34,2
06/02/2020,62,1
06/03/2020,74,1
06/04/2020,56,3
06/05/2020,35,0
06/06/2020,38,0
06/07/2020,61,0
06/08/2020,69,0
06/09/2020,54,0
06/10/2020,73,0
06/11/2020,62,1
06/12/2020,52,0
06/13/2020,53,0
06/14/2020,8,1
06/15/2020,56,1
06/16/2020,56,2
06/17/2020,51,1
06/18/2020,118,2
06/19/2020,126,0
06/20/2020,42,0
06/21/2020,50,1
06/22/2020,93,1
06/23/2020,93,2
06/24/2020,93,3
06/25/2020,93,3
04/15/2020,93,3
04/16/2020,42,3
04/17/2020,16,3
04/18/2020,8,3
04/19/2020,9,3
04/20/2020,3,3
04/21/2020,13,3
04/22/2020,15,3
04/23/2020,1,3
04/24/2020,7,3
04/25/2020,12,3
04/26/2020,4,3
04/27/2020,6,3
04/28/2020,4,3
04/29/2020,6,3
04/30/2020,5,3
05/01/2020,5,3
05/02/2020,5,3
05/03/2020,5,3
05/04/2020,5,3
05/05/2020,9,3
05/06/2020,3,3
05/07/2020,11,3
05/08/2020,3,3
05/09/2020,4,3
05/10/2020,5,3
05/11/2020,8,3
05/12/2020,5,3
05/13/2020,11,3
05/14/2020,30,3
05/15/2020,11,3
05/16/2020,2,3
05/17/2020,2,3
05/18/2020,3,3
05/19/2020,9,3
05/20/2020,10,3
05/21/2020,3,3
05/22/2020,3,3
05/23/2020,4,3
05/24/2020,2,3
05/25/2020,2,3
05/26/2020,3,3
05/27/2020,2,3
05/28/2020,3,3
05/29/2020,3,3
