Updated,ConfirmedChange,DeathsChange
02/14/2020,0,0
02/15/2020,0.0,0.0
02/16/2020,0.0,0.0
02/17/2020,0.0,0.0
02/18/2020,0.0,0.0
02/19/2020,0.0,0.0
02/20/2020,0.0,0.0
02/21/2020,0.0,0.0
02/22/2020,0.0,0.0
02/23/2020,0.0,0.0
02/24/2020,0.0,0.0
02/25/2020,0.0,0.0
02/26/2020,0.0,0.0
02/27/2020,0.0,0.0
02/28/2020,0.0,0.0
02/29/2020,0.0,0.0
03/01/2020,1.0,0.0
03/02/2020,18.0,0.0
03/03/2020,5.0,0.0
03/04/2020,5.0,0.0
03/05/2020,5.0,0.0
03/06/2020,6.0,0.0
03/07/2020,6.0,0.0
03/08/2020,6.0,0.0
03/09/2020,6.0,1.0
03/10/2020,7.0,0.0
03/11/2020,7.0,0.0
03/12/2020,7.0,0.0
03/13/2020,14.0,0.0
03/14/2020,10.0,1.0
03/15/2020,11.0,0.0
03/16/2020,11.0,0.0
03/17/2020,70.0,4.0
03/18/2020,14.0,0.0
03/19/2020,46.0,1.0
03/20/2020,29.0,0.0
03/21/2020,9.0,1.0
03/22/2020,33.0,6.0
03/23/2020,39.0,5.0
03/24/2020,36.0,1.0
03/25/2020,54.0,1.0
03/26/2020,39.0,3.0
03/27/2020,41.0,0.0
03/28/2020,40.0,6.0
03/29/2020,33.0,10.0
03/30/2020,47.0,1.0
03/31/2020,54.0,0.0
04/01/2020,69.0,11.0
04/02/2020,86.0,0.0
04/03/2020,120.0,14.0
04/04/2020,85.0,5.0
04/05/2020,103.0,7.0
04/06/2020,149.0,7.0
04/07/2020,128.0,0.0
04/08/2020,110.0,18.0
04/09/2020,139.0,15.0
04/10/2020,95.0,17.0
04/11/2020,145.0,11.0
04/12/2020,126.0,13.0
04/13/2020,125.0,5.0
04/14/2020,160.0,14.0
04/15/2020,155.0,5.0
04/16/2020,168.0,11.0
04/17/2020,171.0,11.0
04/18/2020,188.0,17.0
04/19/2020,112.0,17.0
04/20/2020,173.0,12.0
04/21/2020,173.0,13.0
04/22/2020,169.0,12.0
04/23/2020,232.0,11.0
04/24/2020,201.0,7.0
04/25/2020,227.0,13.0
04/26/2020,215.0,10.0
04/27/2020,248.0,20.0
04/28/2020,260.0,22.0
04/29/2020,244.0,21.0
04/30/2020,251.0,12.0
05/01/2020,358.0,14.0
05/02/2020,298.0,9.0
05/03/2020,272.0,14.0
05/04/2020,348.0,7.0
05/05/2020,388.0,16.0
05/06/2020,387.0,17.0
05/07/2020,393.0,13.0
05/08/2020,495.0,21.0
05/09/2020,488.0,11.0
05/10/2020,436.0,11.0
05/11/2020,346.0,8.0
05/12/2020,347.0,0.0
05/13/2020,338.0,23.0
05/14/2020,398.0,15.0
05/15/2020,399.0,21.0
05/16/2020,491.0,20.0
05/17/2020,510.0,18.0
05/18/2020,535.0,15.0
05/19/2020,720.0,14.0
05/20/2020,745.0,21.0
05/21/2020,774.0,16.0
05/22/2020,783.0,11.0
05/23/2020,727.0,28.0
05/24/2020,752.0,29.0
05/25/2020,702.0,19.0
05/26/2020,789.0,14.0
05/27/2020,910.0,19.0
05/28/2020,1127.0,29.0
05/29/2020,1289.0,34.0
05/30/2020,1367.0,34.0
05/31/2020,1536.0,46.0
06/01/2020,1399.0,46.0
06/02/2020,1152.0,47.0
06/03/2020,1079.0,36.0
06/04/2020,1152.0,38.0
06/05/2020,1348.0,40.0
06/06/2020,1497.0,32.0
06/07/2020,1467.0,39.0
06/08/2020,1365.0,34.0
06/09/2020,1385.0,35.0
06/10/2020,1455.0,36.0
06/11/2020,1442.0,35.0
06/12/2020,1577.0,45.0
06/13/2020,1677.0,62.0
06/14/2020,1618.0,91.0
06/15/2020,1691.0,97.0
06/16/2020,1567.0,94.0
06/17/2020,1363.0,84.0
06/18/2020,1218.0,88.0
06/19/2020,1774.0,79.0
06/20/2020,1547.0,89.0
06/21/2020,1475.0,87.0
06/22/2020,1576.0,85.0
06/23/2020,1332.0,87.0
06/24/2020,1420.0,85.0
06/25/2020,1569.0,83.0
06/26/2020,1625.0,87.0
