Updated,ConfirmedChange,DeathsChange
03/18/2020,0,0
03/19/2020,0,0
03/20/2020,2,0
03/21/2020,0,0
03/22/2020,0,0
03/23/2020,2,0
03/24/2020,4,0
03/25/2020,4,0
03/26/2020,0,0
03/27/2020,6,0
03/28/2020,5,0
03/29/2020,6,0
03/30/2020,2,0
03/31/2020,0,1
04/01/2020,9,1
04/02/2020,5,0
04/03/2020,10,1
04/04/2020,6,0
04/05/2020,7,0
04/06/2020,9,1
04/07/2020,15,1
04/08/2020,10,0
04/09/2020,14,1
04/10/2020,1,0
04/11/2020,7,0
04/12/2020,12,0
04/13/2020,12,0
04/14/2020,10,0
04/15/2020,5,0
04/16/2020,13,1
04/17/2020,13,0
04/18/2020,11,0
04/19/2020,17,0
04/20/2020,7,0
04/21/2020,12,0
04/22/2020,13,1
04/23/2020,11,0
04/24/2020,6,0
04/25/2020,7,0
04/26/2020,24,0
04/27/2020,47,0
04/28/2020,32,1
04/29/2020,18,0
04/30/2020,29,1
05/01/2020,22,0
05/02/2020,44,1
05/03/2020,65,1
05/04/2020,32,1
05/05/2020,46,1
05/06/2020,62,1
05/07/2020,47,0
05/08/2020,42,1
05/09/2020,105,1
05/10/2020,69,0
05/11/2020,40,1
05/12/2020,39,2
05/13/2020,75,0
05/14/2020,98,3
05/15/2020,55,2
05/16/2020,73,2
05/17/2020,75,3
05/18/2020,85,0
05/19/2020,73,1
05/20/2020,69,1
05/21/2020,85,1
05/22/2020,94,0
05/23/2020,96,2
05/24/2020,68,0
05/25/2020,59,1
05/26/2020,67,1
05/27/2020,85,2
05/28/2020,84,3
05/29/2020,117,2
05/30/2020,122,2
05/31/2020,65,0
06/01/2020,71,0
06/02/2020,52,3
06/03/2020,76,2
06/04/2020,68,2
06/05/2020,85,0
06/06/2020,81,0
06/07/2020,89,2
06/08/2020,87,3
06/09/2020,83,2
06/10/2020,99,4
06/11/2020,108,4
06/12/2020,122,4
06/13/2020,117,0
06/14/2020,106,2
06/15/2020,115,2
06/16/2020,125,2
06/17/2020,134,4
06/18/2020,129,4
06/19/2020,146,7
06/20/2020,151,5
06/21/2020,182,9
06/22/2020,165,6
06/23/2020,177,6
06/24/2020,186,7
06/25/2020,181,7
06/26/2020,210,10
06/27/2020,207,9
06/28/2020,239,12
06/29/2020,265,10
06/30/2020,298,8
07/01/2020,264,9
07/02/2020,267,11
07/03/2020,240,8
07/04/2020,270,7
07/05/2020,250,6
07/06/2020,280,6
04/16/2020,280,6
04/18/2020,0,6
04/20/2020,3,6
04/22/2020,0,6
04/24/2020,2,6
04/26/2020,0,6
04/27/2020,6,6
04/28/2020,1,6
04/29/2020,0,6
04/30/2020,0,6
05/01/2020,4,6
05/02/2020,0,6
05/03/2020,0,6
05/04/2020,0,6
05/05/2020,1,6
05/06/2020,0,6
05/12/2020,19,6
05/13/2020,0,6
05/14/2020,0,6
05/15/2020,0,6
05/16/2020,0,6
05/17/2020,0,6
05/18/2020,23,6
05/19/2020,6,6
05/20/2020,6,6
05/21/2020,6,6
05/22/2020,7,6
05/23/2020,7,6
05/24/2020,7,6
05/25/2020,7,6
05/26/2020,5,6
05/27/2020,5,6
05/28/2020,5,6
05/29/2020,5,6
05/30/2020,5,6
05/31/2020,6,6
06/01/2020,6,6
06/02/2020,6,6
06/03/2020,3,6
06/04/2020,3,6
06/05/2020,4,6
06/06/2020,3,6
06/07/2020,3,6
06/08/2020,3,6
06/09/2020,3,6
06/10/2020,0,6
06/11/2020,0,6
06/12/2020,0,6
06/13/2020,0,6
06/14/2020,0,6
06/15/2020,0,6
06/16/2020,0,6
06/17/2020,0,6
06/18/2020,0,6
06/19/2020,0,6
06/20/2020,0,6
06/21/2020,0,6
06/22/2020,0,6
06/23/2020,0,6
06/24/2020,0,6
06/25/2020,0,6
04/20/2020,0,6
04/22/2020,0,6
04/24/2020,1,6
04/26/2020,0,6
04/28/2020,0,6
04/29/2020,0,6
04/30/2020,0,6
05/01/2020,1,6
05/02/2020,0,6
05/03/2020,0,6
05/04/2020,0,6
05/05/2020,0,6
05/06/2020,0,6
05/12/2020,11,6
05/13/2020,0,6
05/14/2020,0,6
05/15/2020,0,6
05/16/2020,0,6
05/17/2020,0,6
05/18/2020,6,6
05/19/2020,0,6
05/20/2020,0,6
05/21/2020,0,6
05/22/2020,0,6
05/23/2020,0,6
05/24/2020,0,6
05/25/2020,6,6
05/26/2020,0,6
05/27/2020,0,6
05/28/2020,0,6
05/29/2020,1,6
05/30/2020,0,6
05/31/2020,0,6
06/01/2020,0,6
06/02/2020,4,6
06/03/2020,0,6
06/04/2020,0,6
06/05/2020,3,6
06/06/2020,0,6
06/07/2020,0,6
06/08/2020,0,6
06/09/2020,1,6
06/10/2020,0,6
