Updated,ConfirmedChange,DeathsChange
01/29/2020,0,0
01/30/2020,0,0
01/31/2020,0,0
02/01/2020,0,0
02/02/2020,0,0
02/03/2020,0,0
02/04/2020,0,0
02/05/2020,0,0
02/06/2020,0,0
02/07/2020,0,0
02/08/2020,0,0
02/09/2020,0,0
02/10/2020,0,0
02/11/2020,0,0
02/12/2020,0,0
02/13/2020,0,0
02/14/2020,0,0
02/15/2020,0,0
02/16/2020,0,0
02/17/2020,0,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,0,0
02/21/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,0,0
02/25/2020,1,0
02/26/2020,0,0
02/27/2020,1,0
02/28/2020,2,0
02/29/2020,1,0
03/01/2020,1,0
03/02/2020,0,0
03/03/2020,4,0
03/04/2020,5,0
03/05/2020,1,0
03/06/2020,5,0
03/07/2020,7,0
03/08/2020,9,0
03/09/2020,16,0
03/10/2020,54,0
03/11/2020,73,0
03/12/2020,57,0
03/13/2020,28,0
03/14/2020,26,0
03/15/2020,47,0
03/16/2020,45,0
03/17/2020,41,0
03/18/2020,86,0
03/19/2020,92,0
03/20/2020,82,0
03/21/2020,82,1
03/22/2020,78,0
03/23/2020,82,0
03/24/2020,100,0
03/25/2020,98,2
03/26/2020,103,1
03/27/2020,89,3
03/28/2020,75,2
03/29/2020,58,2
03/30/2020,116,2
03/31/2020,117,4
04/01/2020,145,0
04/02/2020,154,2
04/03/2020,198,1
04/04/2020,74,5
04/05/2020,106,3
04/06/2020,207,3
04/07/2020,197,3
04/08/2020,127,6
04/09/2020,146,2
04/10/2020,64,6
04/11/2020,75,1
04/12/2020,78,7
04/13/2020,115,3
04/14/2020,170,5
04/15/2020,126,8
04/16/2020,120,3
04/17/2020,123,7
04/18/2020,55,8
04/19/2020,63,4
04/20/2020,146,4
04/21/2020,112,43
04/22/2020,122,8
04/23/2020,107,23
04/24/2020,96,5
04/25/2020,77,9
04/26/2020,73,4
04/27/2020,128,3
04/28/2020,105,6
04/29/2020,94,7
04/30/2020,75,5
05/01/2020,44,7
05/02/2020,48,2
05/03/2020,151,10
05/04/2020,127,10
05/05/2020,119,6
05/06/2020,99,6
05/07/2020,112,3
05/08/2020,83,5
05/09/2020,42,5
05/10/2020,19,2
05/11/2020,42,4
05/12/2020,7,13
05/13/2020,91,3
05/14/2020,172,0
05/15/2020,57,6
05/16/2020,23,4
05/17/2020,23,1
05/18/2020,47,2
05/19/2020,45,1
05/20/2020,43,3
05/21/2020,24,2
05/22/2020,33,0
05/23/2020,16,0
05/24/2020,31,1
05/25/2020,54,1
05/26/2020,40,4
05/27/2020,16,1
05/28/2020,43,0
05/29/2020,44,1
05/30/2020,13,2
05/31/2020,11,1
06/01/2020,18,1
06/02/2020,23,2
06/03/2020,29,1
06/04/2020,19,1
06/05/2020,19,0
06/06/2020,18,0
06/07/2020,20,1
06/08/2020,18,0
06/09/2020,22,1
06/10/2020,12,0
06/11/2020,11,1
06/12/2020,15,0
06/13/2020,4,0
06/14/2020,3,1
06/15/2020,12,0
06/16/2020,8,0
06/17/2020,3,0
06/18/2020,9,0
06/19/2020,1,0
06/20/2020,1,0
06/21/2020,13,0
06/22/2020,7,1
06/23/2020,8,0
06/24/2020,20,0
06/25/2020,14,0
06/26/2020,3,1
06/27/2020,1,0
06/28/2020,8,0
06/29/2020,14,0
06/30/2020,9,0
07/01/2020,1,0
07/02/2020,7,0
07/03/2020,6,1
07/04/2020,1,0
07/05/2020,-4,0
