Updated,ConfirmedChange,DeathsChange
01/25/2020,0,0
01/26/2020,0.0,0.0
01/27/2020,0.0,0.0
01/28/2020,0.0,0.0
01/29/2020,1.0,0.0
01/30/2020,1.0,0.0
01/31/2020,1.0,0.0
02/01/2020,0.0,0.0
02/02/2020,0.0,0.0
02/03/2020,0.0,0.0
02/04/2020,0.0,0.0
02/05/2020,0.0,0.0
02/06/2020,0.0,0.0
02/07/2020,0.0,0.0
02/08/2020,0.0,0.0
02/09/2020,5.0,0.0
02/10/2020,0.0,0.0
02/11/2020,0.0,0.0
02/12/2020,0.0,0.0
02/13/2020,0.0,0.0
02/14/2020,0.0,0.0
02/15/2020,0.0,0.0
02/16/2020,1.0,1.0
02/17/2020,0.0,0.0
02/18/2020,0.0,0.0
02/19/2020,0.0,0.0
02/20/2020,0.0,0.0
02/21/2020,0.0,0.0
02/22/2020,0.0,0.0
02/23/2020,0.0,0.0
02/24/2020,0.0,0.0
02/25/2020,1.0,0.0
02/26/2020,5.0,0.0
02/27/2020,20.0,0.0
02/28/2020,19.0,0.0
02/29/2020,43.0,0.0
03/01/2020,30.0,1.0
03/02/2020,61.0,0.0
03/03/2020,21.0,2.0
03/04/2020,73.0,0.0
03/05/2020,138.0,3.0
03/06/2020,190.0,2.0
03/07/2020,336.0,7.0
03/08/2020,177.0,5.0
03/09/2020,286.0,4.0
03/10/2020,372.0,8.0
03/11/2020,497.0,15.0
03/12/2020,595.0,13.0
03/13/2020,785.0,14.0
03/14/2020,838.0,16.0
03/15/2020,924.0,36.0
03/16/2020,1210.0,21.0
03/17/2020,1097.0,27.0
03/18/2020,1404.0,69.0
03/19/2020,1861.0,128.0
03/20/2020,1617.0,78.0
03/21/2020,1847.0,112.0
03/22/2020,2230.0,112.0
03/23/2020,3167.0,186.0
03/24/2020,2446.0,240.0
03/25/2020,2931.0,231.0
03/26/2020,3922.0,365.0
03/27/2020,3809.0,299.0
03/28/2020,4611.0,319.0
03/29/2020,2599.0,292.0
03/30/2020,4376.0,418.0
03/31/2020,7578.0,499.0
04/01/2020,4861.0,509.0
04/02/2020,2116.0,1355.0
04/03/2020,5233.0,1120.0
04/04/2020,4267.0,1053.0
04/05/2020,1873.0,518.0
04/06/2020,3912.0,833.0
04/07/2020,3777.0,1417.0
04/08/2020,3881.0,541.0
04/09/2020,4286.0,1341.0
04/10/2020,4342.0,987.0
04/11/2020,3114.0,635.0
04/12/2020,1613.0,561.0
04/13/2020,2673.0,574.0
04/14/2020,5497.0,762.0
04/15/2020,2633.0,1438.0
04/16/2020,2641.0,753.0
04/17/2020,405.0,761.0
04/18/2020,2569.0,642.0
04/19/2020,785.0,395.0
04/20/2020,2051.0,547.0
04/21/2020,2667.0,531.0
04/22/2020,1827.0,544.0
04/23/2020,1653.0,516.0
04/24/2020,1773.0,389.0
04/25/2020,1537.0,369.0
04/26/2020,461.0,242.0
04/27/2020,1195.0,437.0
04/28/2020,1065.0,367.0
04/29/2020,1607.0,427.0
04/30/2020,1139.0,289.0
05/01/2020,604.0,218.0
05/02/2020,794.0,166.0
05/03/2020,308.0,135.0
05/04/2020,576.0,306.0
05/05/2020,1104.0,330.0
05/06/2020,4183.0,278.0
05/07/2020,629.0,178.0
05/08/2020,642.0,243.0
05/09/2020,433.0,80.0
05/10/2020,209.0,70.0
05/11/2020,456.0,263.0
05/12/2020,708.0,348.0
05/13/2020,507.0,83.0
05/14/2020,622.0,351.0
05/15/2020,563.0,104.0
05/16/2020,372.0,96.0
05/17/2020,120.0,483.0
05/18/2020,492.0,131.0
05/19/2020,524.0,12.0
05/20/2020,418.0,12.0
05/21/2020,318.0,13.0
05/22/2020,403.0,13.0
05/23/2020,240.0,43.0
05/24/2020,115.0,35.0
05/25/2020,358.0,65.0
05/26/2020,276.0,98.0
05/27/2020,191.0,66.0
05/28/2020,3325.0,66.0
05/29/2020,597.0,52.0
05/30/2020,1828.0,57.0
05/31/2020,257.0,31.0
06/01/2020,338.0,31.0
06/02/2020,117.0,107.0
06/03/2020,118.0,81.0
06/04/2020,118.0,44.0
06/05/2020,611.0,46.0
06/06/2020,579.0,31.0
06/07/2020,343.0,13.0
06/08/2020,211.0,54.0
06/09/2020,403.0,87.0
06/10/2020,545.0,23.0
06/11/2020,425.0,27.0
06/12/2020,726.0,28.0
06/13/2020,526.0,24.0
06/14/2020,407.0,9.0
06/15/2020,152.0,29.0
06/16/2020,344.0,111.0
06/17/2020,458.0,28.0
06/18/2020,467.0,28.0
06/19/2020,811.0,14.0
06/20/2020,641.0,16.0
06/21/2020,284.0,7.0
06/22/2020,373.0,23.0
06/23/2020,517.0,57.0
06/24/2020,81.0,11.0
06/25/2020,794.0,21.0
06/26/2020,794.0,26.0
04/11/2020,794.0,26.0
04/15/2020,618.0,0.0
04/17/2020,272.0,0.0
04/19/2020,141.0,0.0
04/21/2020,0.0,0.0
