Updated,ConfirmedChange,DeathsChange
03/12/2020,0,0
03/13/2020,0,0
03/14/2020,2,0
03/15/2020,2,0
03/16/2020,0,0
03/17/2020,1,0
03/18/2020,2,0
03/19/2020,2,0
03/20/2020,5,0
03/21/2020,5,0
03/22/2020,3,1
03/23/2020,0,0
03/24/2020,28,1
03/25/2020,16,0
03/26/2020,64,2
03/27/2020,5,0
03/28/2020,4,1
03/29/2020,11,0
03/30/2020,4,0
03/31/2020,5,0
04/01/2020,34,0
04/02/2020,9,0
04/03/2020,1,0
04/04/2020,4,0
04/05/2020,5,0
04/06/2020,36,0
04/07/2020,37,0
04/08/2020,26,1
04/09/2020,32,0
04/10/2020,33,0
04/11/2020,30,2
04/12/2020,158,0
04/14/2020,70,0
04/15/2020,5,0
04/16/2020,96,0
04/18/2020,97,1
04/19/2020,208,0
04/20/2020,37,0
04/21/2020,37,0
04/22/2020,38,0
04/23/2020,62,0
04/24/2020,63,1
04/25/2020,135,0
04/26/2020,136,1
04/27/2020,60,0
04/28/2020,61,5
04/29/2020,202,0
04/30/2020,203,1
05/01/2020,46,0
05/02/2020,47,1
05/03/2020,275,0
05/04/2020,275,0
05/05/2020,124,0
05/06/2020,124,0
05/07/2020,124,0
05/08/2020,921,0
05/09/2020,251,4
05/10/2020,218,0
05/11/2020,219,0
05/12/2020,427,0
05/13/2020,281,2
05/14/2020,122,0
05/15/2020,108,0
05/16/2020,97,5
05/17/2020,120,0
05/18/2020,120,0
05/19/2020,121,2
05/20/2020,173,0
05/21/2020,108,0
05/22/2020,109,0
05/23/2020,131,0
05/24/2020,66,1
05/25/2020,125,0
05/26/2020,309,0
05/27/2020,186,2
05/28/2020,156,0
05/29/2020,157,0
05/30/2020,152,1
05/31/2020,113,1
06/01/2020,189,0
06/02/2020,227,2
06/03/2020,251,0
06/04/2020,337,0
06/05/2020,283,4
06/06/2020,294,2
06/07/2020,176,0
06/08/2020,272,4
06/09/2020,291,0
06/10/2020,78,0
06/11/2020,79,0
06/12/2020,498,0
06/13/2020,262,0
06/14/2020,304,3
06/15/2020,542,3
06/16/2020,313,0
06/17/2020,313,12
06/18/2020,339,0
06/19/2020,274,4
06/20/2020,514,15
06/21/2020,290,0
06/22/2020,147,0
06/23/2020,414,10
06/24/2020,445,0
06/25/2020,460,0
06/26/2020,361,8
06/27/2020,597,0
06/28/2020,311,9
06/29/2020,609,0
06/30/2020,390,0
07/01/2020,393,5
07/02/2020,418,0
07/03/2020,418,0
07/04/2020,418,0
07/05/2020,697,5
