Updated,ConfirmedChange,DeathsChange
02/26/2020,0,0
02/27/2020,2,0
02/28/2020,1,0
02/29/2020,3,0
03/01/2020,0,0
03/02/2020,0,0
03/03/2020,0,0
03/04/2020,2,0
03/05/2020,22,0
03/06/2020,14,0
03/07/2020,21,0
03/08/2020,7,0
03/09/2020,11,0
03/10/2020,5,0
03/11/2020,10,0
03/12/2020,18,1
03/13/2020,73,0
03/14/2020,38,2
03/15/2020,103,1
03/16/2020,21,0
03/17/2020,35,1
03/18/2020,31,0
03/19/2020,46,1
03/20/2020,31,4
03/21/2020,35,3
03/22/2020,94,2
03/23/2020,71,2
03/24/2020,48,3
03/25/2020,78,2
03/26/2020,71,4
03/27/2020,74,2
03/28/2020,95,4
03/29/2020,95,6
03/30/2020,56,5
03/31/2020,102,6
04/01/2020,101,1
04/02/2020,129,3
04/03/2020,69,6
04/04/2020,60,9
04/05/2020,62,5
04/06/2020,20,6
04/07/2020,77,2
04/08/2020,52,2
04/09/2020,71,3
04/10/2020,54,4
04/11/2020,72,3
04/12/2020,33,5
04/13/2020,31,1
04/14/2020,25,2
04/15/2020,22,1
04/16/2020,15,3
04/17/2020,17,3
04/18/2020,11,2
04/19/2020,5,3
04/20/2020,5,3
04/21/2020,156,5
04/22/2020,7,0
04/23/2020,55,4
04/24/2020,27,5
04/25/2020,16,0
04/26/2020,11,4
04/27/2020,17,2
04/28/2020,32,2
04/29/2020,10,1
04/30/2020,15,1
05/01/2020,21,0
05/02/2020,8,3
05/03/2020,6,1
05/04/2020,6,2
05/05/2020,10,0
05/06/2020,21,1
05/07/2020,15,1
05/08/2020,13,2
05/09/2020,19,1
05/10/2020,6,0
05/11/2020,10,0
05/12/2020,18,1
05/13/2020,16,3
05/14/2020,10,1
05/15/2020,40,4
05/16/2020,9,2
05/17/2020,15,1
05/18/2020,2,2
05/19/2020,4,0
05/20/2020,10,1
05/21/2020,3,2
05/22/2020,21,1
05/23/2020,3,2
05/24/2020,2,0
05/25/2020,4,1
05/26/2020,7,1
05/27/2020,13,0
05/28/2020,3,2
05/29/2020,3,0
05/30/2020,6,0
05/31/2020,2,0
06/01/2020,1,4
06/02/2020,19,0
06/03/2020,6,0
06/04/2020,9,1
06/05/2020,15,0
06/06/2020,13,1
06/07/2020,17,1
06/08/2020,52,0
06/09/2020,9,1
06/10/2020,15,0
06/11/2020,15,0
06/12/2020,20,0
06/13/2020,4,0
06/14/2020,12,0
06/15/2020,12,0
06/16/2020,12,1
06/17/2020,39,0
06/18/2020,40,4
06/19/2020,10,1
06/20/2020,19,1
06/21/2020,10,0
06/22/2020,21,0
06/23/2020,15,0
06/24/2020,9,0
06/25/2020,10,1
06/26/2020,22,0
06/27/2020,15,0
06/28/2020,16,0
06/29/2020,16,0
06/30/2020,21,0
07/01/2020,21,1
07/02/2020,27,0
07/03/2020,27,0
07/04/2020,25,0
07/05/2020,8,0
03/30/2020,8,0
04/02/2020,3,0
04/07/2020,1,0
04/11/2020,1,0
04/17/2020,1,0
04/12/2020,1,0
04/14/2020,0,0
04/16/2020,0,0
