Updated,ConfirmedChange,DeathsChange
03/10/2020,0,0
03/11/2020,0,0
03/12/2020,0,0
03/13/2020,1,0
03/14/2020,0,0
03/15/2020,3,0
03/16/2020,2,0
03/17/2020,1,0
03/18/2020,3,0
03/19/2020,12,0
03/20/2020,0,0
03/21/2020,2,0
03/22/2020,1,0
03/23/2020,3,0
03/24/2020,6,0
03/25/2020,16,0
03/26/2020,16,1
03/27/2020,27,0
03/28/2020,15,3
03/29/2020,29,0
03/30/2020,2,3
03/31/2020,31,3
04/01/2020,47,4
04/02/2020,3,1
04/03/2020,42,0
04/04/2020,4,7
04/05/2020,30,0
04/06/2020,7,0
04/07/2020,7,0
04/08/2020,31,1
04/09/2020,39,0
04/10/2020,10,1
04/11/2020,1,1
04/12/2020,4,0
04/13/2020,10,1
04/14/2020,12,5
04/15/2020,7,4
04/16/2020,16,6
04/17/2020,15,5
04/18/2020,15,0
04/19/2020,5,0
04/20/2020,17,0
04/21/2020,16,0
04/22/2020,9,1
04/23/2020,43,0
04/24/2020,14,0
04/25/2020,15,8
04/26/2020,36,4
04/27/2020,34,2
04/28/2020,41,3
04/29/2020,36,2
04/30/2020,33,5
05/01/2020,33,4
05/02/2020,95,0
05/03/2020,111,1
05/04/2020,45,6
05/05/2020,123,1
05/06/2020,92,10
05/07/2020,191,6
05/08/2020,224,6
05/09/2020,86,2
05/10/2020,59,1
05/11/2020,142,0
05/12/2020,128,8
05/13/2020,77,5
05/14/2020,78,2
05/15/2020,63,10
05/16/2020,142,1
05/17/2020,105,4
05/18/2020,81,4
05/19/2020,152,4
05/20/2020,157,1
05/21/2020,145,4
05/22/2020,104,5
05/23/2020,273,11
05/24/2020,266,7
05/25/2020,207,6
05/26/2020,239,2
05/27/2020,212,6
05/28/2020,239,6
05/29/2020,112,2
05/30/2020,134,3
05/31/2020,208,2
06/01/2020,108,11
06/02/2020,160,5
06/03/2020,165,8
06/04/2020,163,9
06/05/2020,190,9
06/06/2020,275,7
06/07/2020,172,8
06/08/2020,123,4
06/09/2020,485,9
06/10/2020,425,19
06/11/2020,309,4
06/12/2020,463,12
06/13/2020,323,4
06/14/2020,403,2
06/15/2020,320,10
06/16/2020,478,8
06/17/2020,643,6
06/18/2020,440,7
06/19/2020,519,6
06/20/2020,992,9
06/21/2020,519,5
06/22/2020,587,32
06/23/2020,587,10
06/24/2020,628,12
06/25/2020,795,9
06/26/2020,628,45
06/27/2020,1013,8
06/28/2020,1811,6
06/29/2020,370,0
06/30/2020,370,12
07/01/2020,704,45
07/02/2020,858,49
07/03/2020,996,14
07/04/2020,805,24
07/05/2020,1022,10
07/06/2020,722,17
04/15/2020,722,17
04/16/2020,4,0
04/18/2020,0,0
04/20/2020,0,1
04/22/2020,0,0
04/24/2020,0,0
04/26/2020,0,0
04/27/2020,1,0
04/29/2020,1,0
04/30/2020,0,0
05/01/2020,12,0
05/02/2020,0,0
05/03/2020,0,0
05/04/2020,0,1
05/05/2020,0,0
05/06/2020,3,0
05/07/2020,9,0
05/08/2020,0,0
05/09/2020,0,0
05/10/2020,0,0
05/11/2020,0,0
05/12/2020,5,0
05/13/2020,5,0
05/14/2020,5,0
05/15/2020,5,0
05/16/2020,6,0
05/17/2020,6,0
05/18/2020,6,0
05/19/2020,3,0
05/20/2020,3,0
05/21/2020,3,0
05/22/2020,4,0
05/23/2020,4,0
05/24/2020,4,0
05/25/2020,4,0
05/26/2020,5,0
05/27/2020,6,0
05/28/2020,6,0
05/29/2020,6,0
05/30/2020,10,0
05/31/2020,10,0
06/01/2020,10,0
06/02/2020,11,0
06/03/2020,3,0
06/04/2020,4,0
06/05/2020,4,4
06/06/2020,0,0
06/07/2020,0,0
06/08/2020,1,0
06/09/2020,1,0
06/10/2020,11,0
06/11/2020,11,0
06/12/2020,11,0
06/13/2020,11,0
06/14/2020,11,0
06/15/2020,11,0
06/16/2020,11,0
06/17/2020,11,0
06/18/2020,11,0
06/19/2020,11,0
06/20/2020,11,0
06/21/2020,12,0
06/22/2020,12,0
06/23/2020,12,0
06/24/2020,12,0
06/25/2020,12,3
06/26/2020,0,0
06/27/2020,0,0
06/28/2020,0,0
06/29/2020,0,0
06/30/2020,0,0
04/15/2020,0,0
04/17/2020,0,0
04/19/2020,0,0
04/21/2020,0,0
04/23/2020,0,0
04/24/2020,2,0
04/26/2020,0,0
04/27/2020,2,0
04/29/2020,0,0
04/30/2020,0,0
05/01/2020,0,0
05/02/2020,0,0
05/03/2020,0,0
05/04/2020,1,0
05/05/2020,0,0
05/06/2020,1,0
05/07/2020,0,0
05/08/2020,0,0
05/09/2020,0,0
05/10/2020,0,0
05/11/2020,0,0
05/12/2020,17,0
05/13/2020,0,0
05/14/2020,0,0
