Updated,ConfirmedChange,DeathsChange
01/30/2020,0,0
01/31/2020,0,0
02/01/2020,0,0
02/02/2020,1,0
02/03/2020,1,0
02/04/2020,0,0
02/05/2020,0,0
02/06/2020,0,0
02/07/2020,0,0
02/08/2020,0,0
02/09/2020,0,0
02/10/2020,0,0
02/11/2020,0,0
02/12/2020,0,0
02/13/2020,0,0
02/14/2020,0,0
02/15/2020,0,0
02/16/2020,0,0
02/17/2020,0,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,0,0
02/21/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,0,0
02/25/2020,0,0
02/26/2020,0,0
02/27/2020,0,0
02/28/2020,0,0
02/29/2020,0,0
03/01/2020,0,0
03/02/2020,2,0
03/03/2020,1,0
03/04/2020,22,0
03/05/2020,2,0
03/06/2020,1,0
03/07/2020,3,0
03/08/2020,5,0
03/09/2020,5,0
03/10/2020,6,0
03/11/2020,10,0
03/12/2020,14,1
03/13/2020,7,1
03/14/2020,3,0
03/15/2020,26,0
03/16/2020,4,0
03/17/2020,23,1
03/18/2020,14,0
03/19/2020,22,1
03/20/2020,50,0
03/21/2020,92,0
03/22/2020,45,3
03/23/2020,108,2
03/24/2020,51,1
03/25/2020,87,0
03/26/2020,88,6
03/27/2020,140,3
03/28/2020,84,0
03/29/2020,106,8
03/30/2020,227,5
03/31/2020,146,3
04/01/2020,437,6
04/02/2020,235,12
04/03/2020,478,9
04/04/2020,525,13
04/05/2020,505,8
04/06/2020,704,28
04/07/2020,508,13
04/08/2020,485,25
04/09/2020,591,20
04/10/2020,896,37
04/11/2020,768,36
04/12/2020,918,31
04/13/2020,905,51
04/14/2020,1463,29
04/15/2020,1118,39
04/16/2020,826,28
04/17/2020,1076,32
04/18/2020,957,36
04/19/2020,1324,31
04/20/2020,1540,40
04/21/2020,1329,44
04/22/2020,1486,49
04/23/2020,1229,34
04/24/2020,1752,37
04/25/2020,1490,56
04/26/2020,1975,47
04/27/2020,1463,60
04/28/2020,1594,51
04/29/2020,1813,71
04/30/2020,1823,67
05/01/2020,1755,77
05/02/2020,2411,71
05/03/2020,2487,83
05/04/2020,2573,83
05/05/2020,3875,194
05/06/2020,2680,111
05/07/2020,3561,89
05/08/2020,3390,103
05/09/2020,3320,95
05/10/2020,3277,128
05/11/2020,4213,97
05/12/2020,3604,87
05/13/2020,3525,122
05/14/2020,3722,134
05/15/2020,3967,100
05/16/2020,3970,103
05/17/2020,4987,120
05/18/2020,5242,157
05/19/2020,4970,134
05/20/2020,5611,140
05/21/2020,5609,132
05/22/2020,6088,148
05/23/2020,6654,137
05/24/2020,6767,147
05/25/2020,6977,154
05/26/2020,6535,146
05/27/2020,6387,170
05/28/2020,6566,194
05/29/2020,7466,175
05/30/2020,7964,265
05/31/2020,8380,193
06/01/2020,8392,230
06/02/2020,8171,204
06/03/2020,8909,217
06/04/2020,9304,260
06/05/2020,9851,273
06/06/2020,9887,294
06/07/2020,9971,287
06/08/2020,9983,271
06/09/2020,9987,271
06/10/2020,9985,274
06/11/2020,9996,357
06/12/2020,10956,396
06/13/2020,11458,386
06/14/2020,11929,311
06/15/2020,11502,325
06/16/2020,10667,380
06/17/2020,10974,2003
06/18/2020,12881,334
06/19/2020,13586,336
06/20/2020,14516,375
06/21/2020,15413,306
06/22/2020,14821,445
06/23/2020,14933,312
06/24/2020,15968,465
06/25/2020,16922,418
06/26/2020,17296,407
06/27/2020,18552,384
06/28/2020,19906,410
06/29/2020,19459,380
06/30/2020,18522,418
07/01/2020,18653,507
07/02/2020,19148,434
07/03/2020,20903,379
07/04/2020,24122,466
07/05/2020,23499,589
03/26/2020,23499,589
03/27/2020,0,0
03/28/2020,5,0
03/29/2020,3,0
04/08/2020,2,0
04/09/2020,0,0
04/10/2020,0,0
04/11/2020,0,0
04/12/2020,0,0
04/13/2020,0,0
04/14/2020,0,0
04/15/2020,0,0
04/16/2020,0,0
04/17/2020,0,0
04/18/2020,1,0
04/19/2020,2,0
04/20/2020,1,0
04/21/2020,1,0
04/22/2020,1,0
04/23/2020,0,0
04/24/2020,5,0
04/25/2020,5,0
04/26/2020,6,0
04/27/2020,0,0
04/28/2020,0,0
04/29/2020,0,0
04/30/2020,0,0
05/01/2020,0,0
05/02/2020,0,0
05/03/2020,0,0
05/04/2020,0,0
05/05/2020,0,0
05/06/2020,0,0
05/07/2020,0,0
05/08/2020,0,0
05/09/2020,0,0
05/10/2020,0,0
05/11/2020,0,0
05/12/2020,0,0
05/13/2020,0,0
05/14/2020,0,0
05/15/2020,0,0
05/16/2020,0,0
05/17/2020,0,0
05/18/2020,0,0
05/19/2020,0,0
05/20/2020,0,0
05/21/2020,0,0
05/22/2020,0,0
05/23/2020,0,0
05/24/2020,0,0
05/25/2020,0,0
05/26/2020,0,0
05/27/2020,0,0
05/28/2020,0,0
05/29/2020,0,0
05/30/2020,0,0
05/31/2020,0,0
06/01/2020,0,0
06/02/2020,0,0
06/03/2020,0,0
06/04/2020,0,0
06/05/2020,0,0
06/06/2020,0,0
06/07/2020,0,0
06/08/2020,0,0
06/09/2020,1,0
06/10/2020,1,0
06/11/2020,3,0
06/12/2020,0,0
06/13/2020,0,0
06/14/2020,2,0
06/15/2020,1,0
06/16/2020,3,0
06/17/2020,0,0
06/18/2020,1,0
06/19/2020,2,0
06/20/2020,0,0
06/21/2020,1,0
06/22/2020,0,0
06/23/2020,2,0
06/24/2020,6,0
06/25/2020,2,0
06/26/2020,14,0
06/27/2020,5,0
06/28/2020,6,0
06/29/2020,7,0
06/30/2020,7,0
07/01/2020,3,0
07/02/2020,9,0
07/04/2020,10,0
07/05/2020,6,0
05/26/2020,6,0
05/27/2020,0,0
05/28/2020,0,0
05/29/2020,0,0
05/30/2020,0,0
05/31/2020,0,0
06/01/2020,0,0
06/02/2020,0,0
06/03/2020,0,0
06/04/2020,0,0
06/05/2020,0,0
06/06/2020,0,0
06/07/2020,0,0
06/08/2020,0,0
06/09/2020,0,0
06/10/2020,0,0
06/11/2020,0,0
06/12/2020,0,0
06/13/2020,0,0
06/14/2020,0,0
06/15/2020,0,0
06/16/2020,0,0
06/17/2020,0,0
06/18/2020,0,0
06/19/2020,0,0
06/20/2020,0,0
06/21/2020,0,0
06/22/2020,0,0
06/23/2020,0,0
06/24/2020,0,0
06/25/2020,0,0
06/26/2020,0,0
06/27/2020,0,0
06/28/2020,0,0
06/29/2020,0,0
06/30/2020,0,0
07/01/2020,0,0
07/02/2020,0,0
07/04/2020,0,0
07/05/2020,0,0
05/26/2020,0,0
05/27/2020,0,0
05/28/2020,0,0
05/29/2020,0,0
05/30/2020,0,0
05/31/2020,0,0
06/01/2020,0,0
06/02/2020,0,0
06/03/2020,0,0
06/04/2020,0,0
06/05/2020,0,0
06/06/2020,0,0
06/07/2020,0,0
06/08/2020,0,0
06/09/2020,0,0
06/10/2020,0,0
06/11/2020,0,0
06/12/2020,0,0
06/13/2020,0,0
06/14/2020,0,0
06/15/2020,0,0
06/16/2020,0,0
06/17/2020,0,0
06/18/2020,0,0
06/19/2020,0,0
06/20/2020,0,0
06/21/2020,0,0
06/22/2020,0,0
06/23/2020,0,0
06/24/2020,0,0
