Updated,ConfirmedChange,DeathsChange
02/03/2020,0,0
02/04/2020,1788,170
03/02/2020,65,3
03/03/2020,65,4
03/04/2020,66,4
03/05/2020,3,0
03/06/2020,3,0
03/07/2020,3,0
03/08/2020,3,0
03/09/2020,3,0
03/10/2020,3,0
03/11/2020,3,0
03/12/2020,3,0
03/13/2020,3,0
03/14/2020,3,0
03/15/2020,3,0
03/16/2020,3,0
03/17/2020,3,0
03/18/2020,3,0
03/19/2020,3,0
03/20/2020,3,0
03/21/2020,3,0
03/22/2020,3,0
03/23/2020,4,0
03/24/2020,4,0
03/25/2020,4,0
03/26/2020,4,0
03/27/2020,4,0
03/28/2020,4,0
03/29/2020,4,0
03/30/2020,4,0
03/31/2020,4,0
04/01/2020,4,0
04/02/2020,4,0
04/03/2020,4,0
04/04/2020,4,10
04/05/2020,181,7
04/06/2020,218,11
04/07/2020,247,12
04/08/2020,218,19
04/09/2020,337,40
04/10/2020,219,26
04/11/2020,330,21
04/12/2020,399,46
04/13/2020,316,26
04/14/2020,282,60
04/15/2020,297,10
04/16/2020,380,27
04/17/2020,407,24
04/18/2020,325,15
04/19/2020,327,47
04/20/2020,185,8
04/21/2020,375,26
04/22/2020,283,19
04/23/2020,357,12
04/24/2020,436,42
04/25/2020,396,31
04/26/2020,275,23
04/27/2020,214,22
04/28/2020,415,8
04/29/2020,260,11
04/30/2020,347,8
05/01/2020,433,8
05/02/2020,292,31
05/03/2020,349,14
05/04/2020,439,13
05/05/2020,440,14
05/06/2020,367,23
05/07/2020,338,35
05/08/2020,336,13
05/09/2020,533,16
05/10/2020,387,14
05/11/2020,233,18
05/12/2020,484,16
05/13/2020,689,21
05/14/2020,568,15
05/15/2020,490,33
05/16/2020,529,13
05/17/2020,489,59
05/18/2020,496,43
05/19/2020,486,30
05/20/2020,693,21
05/21/2020,973,36
05/22/2020,634,48
05/23/2020,949,25
05/24/2020,526,21
05/25/2020,479,19
05/26/2020,415,27
05/27/2020,686,55
05/28/2020,687,23
05/29/2020,678,24
05/30/2020,557,53
05/31/2020,700,40
06/01/2020,467,28
06/02/2020,609,22
06/03/2020,684,35
06/04/2020,585,23
06/05/2020,703,49
06/06/2020,993,31
06/07/2020,672,50
06/08/2020,847,32
06/09/2020,1042,40
06/10/2020,1241,36
06/11/2020,979,41
06/12/2020,1111,48
06/13/2020,1014,43
06/14/2020,857,43
06/15/2020,1017,64
06/16/2020,1106,33
06/17/2020,1031,45
06/18/2020,1331,63
06/19/2020,1041,34
06/20/2020,1226,56
06/21/2020,862,36
06/22/2020,954,35
06/23/2020,1051,35
06/24/2020,1113,38
06/25/2020,1178,47
06/26/2020,1240,63
06/27/2020,1385,37
06/28/2020,1198,34
06/29/2020,1082,51
06/30/2020,1293,71
07/01/2020,1385,58
07/02/2020,1624,53
07/03/2020,1301,49
07/04/2020,1447,53
07/05/2020,1607,82
07/06/2020,1209,70
