Updated,ConfirmedChange,DeathsChange
02/29/2020,0,0
03/01/2020,0,0
03/02/2020,0,0
03/03/2020,1,0
03/04/2020,4,0
03/05/2020,7,0
03/06/2020,5,0
03/07/2020,1,0
03/08/2020,2,0
03/09/2020,3,0
03/10/2020,10,0
03/11/2020,9,1
03/12/2020,27,0
03/13/2020,20,0
03/14/2020,39,1
03/15/2020,40,0
03/16/2020,54,0
03/17/2020,69,0
03/18/2020,74,0
03/19/2020,191,1
03/20/2020,126,0
03/21/2020,102,0
03/22/2020,121,1
03/23/2020,219,2
03/24/2020,204,1
03/25/2020,235,2
03/26/2020,255,10
03/27/2020,302,3
03/28/2020,294,14
03/29/2020,200,10
03/30/2020,295,8
03/31/2020,325,17
04/01/2020,212,14
04/02/2020,402,13
04/03/2020,424,22
04/04/2020,331,17
04/05/2020,507,21
04/06/2020,748,16
04/07/2020,365,36
04/08/2020,464,25
04/09/2020,705,28
04/10/2020,696,25
04/11/2020,839,32
04/12/2020,727,14
04/13/2020,992,31
04/14/2020,832,41
04/15/2020,1068,38
04/16/2020,724,42
04/17/2020,709,44
04/18/2020,778,41
04/19/2020,493,39
04/20/2020,401,77
04/21/2020,388,43
04/22/2020,631,39
04/23/2020,936,25
04/24/2020,577,220
04/25/2020,377,49
04/26/2020,701,24
04/27/2020,386,15
04/28/2020,229,57
04/29/2020,376,31
04/30/2020,359,42
05/01/2020,221,33
05/02/2020,343,21
05/03/2020,330,17
05/04/2020,266,16
05/05/2020,211,20
05/06/2020,265,36
05/07/2020,137,28
05/08/2020,156,26
05/09/2020,219,17
05/10/2020,236,12
05/11/2020,139,9
05/12/2020,107,21
05/13/2020,159,9
05/14/2020,426,9
05/15/2020,129,12
05/16/2020,92,15
05/17/2020,64,10
05/18/2020,88,4
05/19/2020,51,14
05/20/2020,64,10
05/21/2020,76,12
05/22/2020,115,9
05/23/2020,76,12
05/24/2020,57,2
05/25/2020,59,0
05/26/2020,37,9
05/27/2020,68,16
05/28/2020,38,8
05/29/2020,35,6
05/30/2020,53,3
05/31/2020,61,1
06/01/2020,72,1
06/02/2020,4,8
06/03/2020,45,1
06/04/2020,31,5
06/05/2020,21,6
06/06/2020,20,8
06/07/2020,18,1
06/08/2020,6,4
06/09/2020,8,8
06/10/2020,16,4
06/11/2020,7,8
06/12/2020,12,2
06/13/2020,45,0
06/14/2020,8,1
06/15/2020,18,0
06/16/2020,13,3
06/17/2020,7,1
06/18/2020,14,4
06/19/2020,13,0
06/20/2020,6,1
06/21/2020,5,0
06/22/2020,4,2
06/23/2020,8,3
06/24/2020,5,6
06/25/2020,9,1
06/26/2020,9,3
06/27/2020,23,4
06/28/2020,2,1
06/29/2020,23,0
06/30/2020,11,1
07/01/2020,4,2
07/02/2020,12,0
07/03/2020,9,2
07/04/2020,11,1
07/05/2020,18,0
07/06/2020,4,0
