Updated,ConfirmedChange,DeathsChange
02/21/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,0,0
02/25/2020,16,0
02/26/2020,0,0
02/27/2020,1,0
02/28/2020,3,0
02/29/2020,0,0
03/01/2020,1,0
03/02/2020,5,0
03/03/2020,3,0
03/04/2020,0,0
03/05/2020,2,0
03/06/2020,4,0
03/07/2020,4,0
03/08/2020,9,0
03/09/2020,4,0
03/10/2020,33,0
03/11/2020,20,0
03/12/2020,20,0
03/13/2020,35,0
03/14/2020,29,0
03/15/2020,38,0
03/16/2020,72,0
03/17/2020,93,0
03/18/2020,118,0
03/19/2020,136,0
03/20/2020,169,1
03/21/2020,206,0
03/22/2020,249,0
03/23/2020,348,0
03/24/2020,422,2
03/25/2020,423,2
03/26/2020,528,3
03/27/2020,434,4
03/28/2020,480,0
03/29/2020,532,0
03/30/2020,546,3
03/31/2020,729,5
04/01/2020,695,1
04/02/2020,719,8
04/03/2020,599,7
04/04/2020,429,6
04/05/2020,579,4
04/06/2020,452,5
04/07/2020,379,8
04/08/2020,338,12
04/09/2020,345,8
04/10/2020,362,13
04/11/2020,346,4
04/12/2020,558,7
04/13/2020,444,7
04/14/2020,407,7
04/15/2020,313,9
04/16/2020,302,14
04/17/2020,302,8
04/18/2020,311,10
04/19/2020,290,13
04/20/2020,303,2
04/21/2020,293,8
04/22/2020,230,6
04/23/2020,283,4
04/24/2020,233,2
04/25/2020,159,5
04/26/2020,48,1
04/27/2020,122,5
04/28/2020,173,6
04/29/2020,106,5
04/30/2020,112,7
05/01/2020,155,3
05/02/2020,84,4
05/03/2020,23,3
05/04/2020,38,3
05/05/2020,43,3
05/06/2020,21,1
05/07/2020,71,1
05/08/2020,55,5
05/09/2020,18,2
05/10/2020,23,5
05/11/2020,29,6
05/12/2020,23,2
05/13/2020,19,4
05/14/2020,31,1
05/15/2020,10,1
05/16/2020,19,2
05/17/2020,9,4
05/18/2020,26,4
05/19/2020,16,2
05/20/2020,6,1
05/21/2020,18,0
05/22/2020,15,0
05/23/2020,14,0
05/24/2020,5,0
05/25/2020,17,2
05/26/2020,23,0
05/27/2020,36,0
05/28/2020,79,3
05/29/2020,115,0
05/30/2020,25,0
05/31/2020,59,1
06/01/2020,98,0
06/02/2020,116,5
06/03/2020,92,1
06/04/2020,118,0
06/05/2020,97,1
06/06/2020,160,3
06/07/2020,111,3
06/08/2020,169,0
06/09/2020,148,1
06/10/2020,175,0
06/11/2020,214,1
06/12/2020,226,0
06/13/2020,177,0
06/14/2020,83,0
06/15/2020,182,2
06/16/2020,258,0
06/17/2020,288,1
06/18/2020,215,0
06/19/2020,341,1
06/20/2020,294,1
06/21/2020,145,1
06/22/2020,230,1
06/23/2020,504,1
06/24/2020,532,0
06/25/2020,576,4
06/26/2020,462,3
06/27/2020,398,3
06/28/2020,380,1
06/29/2020,751,0
06/30/2020,781,1
07/01/2020,967,3
07/02/2020,1138,1
07/03/2020,936,2
07/04/2020,803,4
07/05/2020,926,2
07/06/2020,587,2
