Updated,ConfirmedChange,DeathsChange
01/30/2020,0,0
01/31/2020,0,0
02/01/2020,0,0
02/02/2020,0,0
02/03/2020,0,0
02/04/2020,0,0
02/05/2020,0,0
02/06/2020,1,0
02/07/2020,0,0
02/08/2020,0,0
02/09/2020,0,0
02/10/2020,0,0
02/11/2020,0,0
02/12/2020,0,0
02/13/2020,0,0
02/14/2020,0,0
02/15/2020,0,0
02/16/2020,0,0
02/17/2020,0,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,0,0
02/21/2020,17,1
02/22/2020,59,1
02/23/2020,71,1
02/24/2020,79,3
02/25/2020,93,4
02/26/2020,123,2
02/27/2020,205,5
02/28/2020,238,4
02/29/2020,240,8
03/01/2020,566,5
03/02/2020,342,18
03/03/2020,466,27
03/04/2020,587,28
03/05/2020,769,41
03/06/2020,778,49
03/07/2020,1247,36
03/08/2020,1492,133
03/09/2020,1797,97
03/10/2020,977,168
03/11/2020,2313,196
03/12/2020,2651,189
03/13/2020,2547,250
03/14/2020,3497,175
03/15/2020,3590,368
03/16/2020,3233,349
03/17/2020,3526,345
03/18/2020,4207,475
03/19/2020,5322,427
03/20/2020,5986,627
03/21/2020,6557,793
03/22/2020,5560,650
03/23/2020,4789,602
03/24/2020,5249,743
03/25/2020,5210,683
03/26/2020,6153,712
03/27/2020,5959,919
03/28/2020,5974,889
03/29/2020,5217,756
03/30/2020,4050,812
03/31/2020,4053,837
04/01/2020,4782,727
04/02/2020,4668,760
04/03/2020,4585,766
04/04/2020,4805,681
04/05/2020,4316,525
04/06/2020,3599,636
04/07/2020,3039,604
04/08/2020,3836,542
04/09/2020,4204,610
04/10/2020,3951,570
04/11/2020,4694,619
04/12/2020,4092,431
04/13/2020,3153,566
04/14/2020,2972,602
04/15/2020,2667,578
04/16/2020,3786,525
04/17/2020,3493,575
04/18/2020,3491,482
04/19/2020,3047,433
04/20/2020,2256,454
04/21/2020,2729,534
04/22/2020,3370,437
04/23/2020,2646,464
04/24/2020,3021,420
04/25/2020,2357,415
04/26/2020,2324,260
04/27/2020,1739,333
04/28/2020,2091,382
04/29/2020,2086,323
04/30/2020,1872,285
05/01/2020,1965,269
05/02/2020,1900,474
05/03/2020,1389,174
05/04/2020,1221,195
05/05/2020,1075,236
05/06/2020,1444,369
05/07/2020,1401,274
05/08/2020,1327,243
05/09/2020,1083,194
05/10/2020,802,165
05/11/2020,744,179
05/12/2020,1402,172
05/13/2020,888,195
05/14/2020,992,262
05/15/2020,789,242
05/16/2020,875,153
05/17/2020,675,145
05/18/2020,451,99
05/19/2020,813,162
05/20/2020,665,161
05/21/2020,642,156
05/22/2020,652,130
05/23/2020,669,119
05/24/2020,531,50
05/25/2020,300,92
05/26/2020,397,78
05/27/2020,584,117
05/28/2020,593,70
05/29/2020,516,87
05/30/2020,416,111
05/31/2020,333,75
06/01/2020,200,60
06/02/2020,318,55
06/03/2020,321,71
06/04/2020,177,88
06/05/2020,518,85
06/06/2020,270,72
06/07/2020,197,53
06/08/2020,280,65
06/09/2020,283,79
06/10/2020,202,71
06/11/2020,379,53
06/12/2020,163,56
06/13/2020,346,78
06/14/2020,338,44
06/15/2020,301,26
06/16/2020,210,34
06/17/2020,328,43
06/18/2020,331,66
06/19/2020,58,47
06/20/2020,58,49
06/21/2020,224,33
06/22/2020,221,14
06/23/2020,113,18
06/24/2020,577,1
06/25/2020,296,2
06/26/2020,255,30
06/27/2020,175,8
06/28/2020,174,22
06/29/2020,126,6
06/30/2020,142,23
07/01/2020,182,21
07/02/2020,201,30
07/03/2020,223,15
07/04/2020,235,21
07/05/2020,192,7
07/06/2020,208,8
