Updated,ConfirmedChange,DeathsChange
01/21/2020,0,0
01/22/2020,0.0,0.0
01/23/2020,0.0,0.0
01/24/2020,2.0,0.0
01/25/2020,0.0,0.0
01/26/2020,1.0,0.0
01/27/2020,2.0,0.0
01/28/2020,1.0,0.0
01/29/2020,4.0,0.0
01/30/2020,3.0,0.0
01/31/2020,3.0,0.0
02/01/2020,3.0,0.0
02/02/2020,0.0,0.0
02/03/2020,0.0,0.0
02/04/2020,3.0,0.0
02/05/2020,2.0,0.0
02/06/2020,0.0,0.0
02/07/2020,0.0,0.0
02/08/2020,1.0,0.0
02/09/2020,0.0,0.0
02/10/2020,0.0,0.0
02/11/2020,0.0,0.0
02/12/2020,2.0,0.0
02/13/2020,5.0,1.0
02/14/2020,8.0,0.0
02/15/2020,12.0,0.0
02/16/2020,6.0,0.0
02/17/2020,6.0,0.0
02/18/2020,8.0,0.0
02/19/2020,12.0,0.0
02/20/2020,8.0,0.0
02/21/2020,12.0,0.0
02/22/2020,27.0,0.0
02/23/2020,12.0,0.0
02/24/2020,13.0,0.0
02/25/2020,7.0,0.0
02/26/2020,22.0,2.0
02/27/2020,24.0,1.0
02/28/2020,20.0,1.0
02/29/2020,9.0,0.0
03/01/2020,15.0,1.0
03/02/2020,14.0,0.0
03/03/2020,16.0,0.0
03/04/2020,33.0,0.0
03/05/2020,32.0,0.0
03/06/2020,59.0,0.0
03/07/2020,47.0,0.0
03/08/2020,33.0,1.0
03/09/2020,26.0,2.0
03/10/2020,54.0,3.0
03/11/2020,52.0,3.0
03/12/2020,55.0,4.0
03/13/2020,41.0,2.0
03/14/2020,64.0,1.0
03/15/2020,34.0,2.0
03/16/2020,15.0,4.0
03/17/2020,44.0,1.0
03/18/2020,41.0,2.0
03/19/2020,36.0,2.0
03/20/2020,57.0,2.0
03/21/2020,47.0,1.0
03/22/2020,32.0,5.0
03/23/2020,42.0,1.0
03/24/2020,65.0,1.0
03/25/2020,98.0,2.0
03/26/2020,96.0,1.0
03/27/2020,112.0,3.0
03/28/2020,194.0,3.0
03/29/2020,173.0,0.0
03/30/2020,87.0,4.0
03/31/2020,225.0,1.0
04/01/2020,206.0,0.0
04/02/2020,233.0,8.0
04/03/2020,303.0,4.0
04/04/2020,351.0,1.0
04/05/2020,383.0,3.0
04/06/2020,252.0,7.0
04/07/2020,351.0,1.0
04/08/2020,511.0,4.0
04/09/2020,579.0,3.0
04/10/2020,658.0,6.0
04/11/2020,743.0,4.0
04/12/2020,507.0,4.0
04/13/2020,390.0,7.0
04/14/2020,455.0,10.0
04/15/2020,482.0,17.0
04/16/2020,585.0,12.0
04/17/2020,628.0,6.0
04/18/2020,566.0,7.0
04/19/2020,390.0,10.0
04/20/2020,368.0,15.0
04/21/2020,377.0,91.0
04/22/2020,423.0,10.0
04/23/2020,469.0,30.0
04/24/2020,441.0,17.0
