Updated,ConfirmedChange,DeathsChange
03/13/2020,0,0
03/14/2020,2,0
03/15/2020,3,0
03/16/2020,1,0
03/17/2020,23,0
03/18/2020,3,0
03/19/2020,8,0
03/20/2020,8,0
03/21/2020,2,0
03/22/2020,6,0
03/23/2020,2,0
03/24/2020,10,0
03/25/2020,8,0
03/26/2020,33,1
03/27/2020,37,0
03/28/2020,78,0
03/29/2020,56,0
03/30/2020,24,0
03/31/2020,32,1
04/01/2020,46,1
04/02/2020,49,0
04/03/2020,29,0
04/04/2020,67,2
04/05/2020,53,1
04/06/2020,78,0
04/07/2020,35,0
04/08/2020,30,1
04/09/2020,54,1
04/10/2020,31,2
04/11/2020,53,0
04/12/2020,86,0
04/13/2020,140,2
04/14/2020,141,2
04/15/2020,63,2
04/16/2020,107,1
04/17/2020,144,0
04/18/2020,84,0
04/19/2020,81,2
04/20/2020,141,0
04/21/2020,143,0
04/22/2020,140,0
04/23/2020,154,1
04/24/2020,127,5
04/25/2020,185,0
04/26/2020,116,0
04/27/2020,143,0
04/28/2020,167,0
04/29/2020,111,0
04/30/2020,264,0
05/01/2020,195,0
05/02/2020,260,0
05/03/2020,63,2
05/04/2020,129,2
05/05/2020,156,0
05/06/2020,217,1
05/07/2020,156,0
05/08/2020,256,1
05/09/2020,141,0
05/10/2020,115,0
05/11/2020,117,1
05/12/2020,72,0
05/13/2020,138,0
05/14/2020,154,0
05/15/2020,118,2
05/16/2020,161,0
05/17/2020,307,0
05/18/2020,283,1
05/19/2020,311,0
05/20/2020,218,0
05/21/2020,265,0
05/22/2020,363,0
05/23/2020,322,0
05/24/2020,403,0
05/25/2020,209,0
05/26/2020,438,2
05/27/2020,335,0
05/28/2020,272,0
05/29/2020,356,0
05/30/2020,450,0
05/31/2020,476,1
06/01/2020,450,3
06/02/2020,263,0
06/03/2020,225,3
06/04/2020,271,8
06/05/2020,245,0
06/06/2020,199,1
06/07/2020,183,0
06/08/2020,165,3
06/09/2020,215,5
06/10/2020,245,6
06/11/2020,269,0
06/12/2020,284,1
06/13/2020,366,5
06/14/2020,258,3
06/15/2020,313,5
06/16/2020,383,7
06/17/2020,350,9
06/18/2020,335,3
06/19/2020,474,13
06/20/2020,437,0
06/21/2020,437,7
06/22/2020,507,7
06/23/2020,499,7
06/24/2020,534,2
06/25/2020,520,4
06/26/2020,465,10
06/27/2020,515,0
06/28/2020,515,23
06/29/2020,547,10
06/30/2020,492,5
07/01/2020,489,0
07/02/2020,20266,0
07/03/2020,1501,0
07/04/2020,1644,0
07/05/2020,1452,0
07/06/2020,1403,0
