Updated,ConfirmedChange,DeathsChange
03/18/2020,0,0
03/19/2020,0,0
03/20/2020,3,0
03/21/2020,6,0
03/22/2020,2,0
03/23/2020,2,0
03/24/2020,26,0
03/25/2020,2,0
03/26/2020,0,0
03/27/2020,14,0
03/28/2020,13,0
03/29/2020,13,0
03/30/2020,10,0
03/31/2020,13,0
04/01/2020,4,0
04/02/2020,5,1
04/03/2020,14,0
04/04/2020,14,1
04/05/2020,3,0
04/06/2020,69,2
04/07/2020,12,0
04/08/2020,42,0
04/09/2020,10,0
04/10/2020,18,1
04/11/2020,41,0
04/12/2020,38,0
04/13/2020,42,0
04/14/2020,11,0
04/15/2020,19,0
04/16/2020,17,0
04/17/2020,23,0
04/18/2020,17,0
04/19/2020,48,0
04/20/2020,14,2
04/21/2020,22,0
04/22/2020,22,0
04/23/2020,19,1
04/24/2020,25,0
04/25/2020,9,0
04/26/2020,17,0
04/27/2020,13,0
04/28/2020,13,0
04/29/2020,21,0
04/30/2020,17,0
05/01/2020,10,0
05/02/2020,13,0
05/03/2020,26,2
05/04/2020,35,0
05/05/2020,13,1
05/06/2020,28,1
05/07/2020,24,0
05/08/2020,11,0
05/09/2020,25,0
05/10/2020,71,0
05/11/2020,14,0
05/12/2020,21,0
05/13/2020,7,0
05/14/2020,38,0
05/15/2020,29,2
05/16/2020,6,0
05/17/2020,21,0
05/18/2020,78,0
05/19/2020,27,0
05/20/2020,27,0
05/21/2020,43,0
05/22/2020,37,0
05/23/2020,15,0
05/24/2020,38,0
05/25/2020,30,2
05/26/2020,35,0
05/27/2020,52,0
05/28/2020,74,0
05/29/2020,68,0
05/30/2020,60,0
05/31/2020,26,0
06/01/2020,69,0
06/02/2020,28,1
06/03/2020,26,3
06/04/2020,28,0
06/05/2020,37,2
06/06/2020,38,0
06/07/2020,33,0
06/08/2020,25,1
06/09/2020,23,1
06/10/2020,38,2
06/11/2020,36,0
06/12/2020,37,0
06/13/2020,41,1
06/14/2020,78,0
06/15/2020,87,0
06/16/2020,100,1
06/17/2020,90,2
06/18/2020,95,1
06/19/2020,132,1
06/20/2020,192,3
06/21/2020,170,2
06/22/2020,205,3
06/23/2020,163,1
06/24/2020,207,1
06/25/2020,228,1
06/26/2020,250,0
06/27/2020,309,3
06/28/2020,235,1
06/29/2020,269,3
06/30/2020,279,7
07/01/2020,439,5
07/02/2020,526,4
07/03/2020,506,10
07/04/2020,327,2
07/05/2020,283,10
07/06/2020,314,4
