Updated,ConfirmedChange,DeathsChange
01/24/2020,0,0
01/25/2020,1,0
01/26/2020,0,0
01/27/2020,2,0
01/28/2020,2,0
01/29/2020,0,0
01/30/2020,0,0
01/31/2020,0,0
02/01/2020,0,0
02/02/2020,0,0
02/03/2020,1,0
02/04/2020,3,0
02/05/2020,2,0
02/06/2020,0,0
02/07/2020,1,0
02/08/2020,1,0
02/09/2020,2,0
02/10/2020,0,0
02/11/2020,0,0
02/12/2020,1,0
02/13/2020,0,0
02/14/2020,2,0
02/15/2020,0,0
02/16/2020,1,0
02/17/2020,0,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,0,0
02/21/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,0,0
02/25/2020,0,0
02/26/2020,0,0
02/27/2020,2,0
02/28/2020,1,0
02/29/2020,4,0
03/01/2020,0,0
03/02/2020,4,0
03/03/2020,3,0
03/04/2020,14,0
03/05/2020,5,0
03/06/2020,28,0
03/07/2020,10,0
03/08/2020,6,0
03/09/2020,19,0
03/10/2020,12,0
03/11/2020,19,0
03/12/2020,9,0
03/13/2020,42,0
03/14/2020,42,0
03/15/2020,186,0
03/16/2020,125,0
03/17/2020,120,2
03/18/2020,117,0
03/19/2020,110,0
03/20/2020,130,1
03/21/2020,153,5
03/22/2020,123,2
03/23/2020,212,4
03/24/2020,106,2
03/25/2020,172,3
03/26/2020,235,4
03/27/2020,130,3
03/28/2020,159,1
03/29/2020,150,7
03/30/2020,156,3
03/31/2020,140,6
04/01/2020,142,2
04/02/2020,208,5
04/03/2020,217,3
04/04/2020,150,4
04/05/2020,179,4
04/06/2020,131,1
04/07/2020,170,1
04/08/2020,156,2
04/09/2020,109,2
04/10/2020,118,3
04/11/2020,184,3
04/12/2020,153,3
04/13/2020,134,1
04/14/2020,170,5
04/15/2020,85,1
04/16/2020,110,1
04/17/2020,69,2
04/18/2020,54,2
04/19/2020,84,1
04/20/2020,36,0
04/21/2020,57,0
04/22/2020,50,4
04/23/2020,71,2
04/24/2020,88,1
04/25/2020,51,2
04/26/2020,38,0
04/27/2020,40,1
04/28/2020,31,1
04/29/2020,94,0
04/30/2020,57,2
05/01/2020,69,1
05/02/2020,105,0
05/03/2020,122,2
05/04/2020,55,0
05/05/2020,30,1
05/06/2020,45,1
05/07/2020,39,0
05/08/2020,68,0
05/09/2020,54,1
05/10/2020,67,0
05/11/2020,70,1
05/12/2020,16,0
05/13/2020,37,2
05/14/2020,40,1
05/15/2020,36,0
05/16/2020,17,1
05/17/2020,22,0
05/18/2020,47,0
05/19/2020,37,1
05/20/2020,31,0
05/21/2020,50,0
05/22/2020,78,1
05/23/2020,48,0
05/24/2020,60,0
05/25/2020,172,0
05/26/2020,187,0
05/27/2020,15,0
05/28/2020,10,0
05/29/2020,103,0
05/30/2020,30,0
05/31/2020,57,0
06/01/2020,38,0
06/02/2020,20,0
06/03/2020,93,0
06/04/2020,277,0
06/05/2020,19,1
06/06/2020,37,1
06/07/2020,19,0
06/08/2020,7,0
06/09/2020,7,0
06/10/2020,2,1
06/11/2020,31,0
06/12/2020,33,1
06/13/2020,43,1
06/14/2020,8,1
06/15/2020,41,0
06/16/2020,11,0
06/17/2020,10,0
06/18/2020,14,0
06/19/2020,6,0
06/20/2020,21,0
06/21/2020,16,0
06/22/2020,15,0
06/23/2020,3,0
06/24/2020,6,0
06/25/2020,4,0
06/26/2020,6,0
06/27/2020,10,0
06/28/2020,18,0
06/29/2020,3,0
06/30/2020,2,0
07/01/2020,1,0
07/02/2020,3,0
07/03/2020,5,0
07/04/2020,10,0
07/05/2020,5,0
07/06/2020,5,0
