Updated,ConfirmedChange,DeathsChange
02/28/2020,0,0
02/29/2020,1,0
03/01/2020,1,0
03/02/2020,0,0
03/03/2020,0,0
03/04/2020,0,0
03/05/2020,0,0
03/06/2020,1,0
03/07/2020,1,0
03/08/2020,0,0
03/09/2020,0,0
03/10/2020,0,0
03/11/2020,4,0
03/12/2020,4,0
03/13/2020,11,0
03/14/2020,15,0
03/15/2020,12,0
03/16/2020,29,0
03/17/2020,11,0
03/18/2020,25,0
03/19/2020,46,1
03/20/2020,39,1
03/21/2020,48,0
03/22/2020,65,0
03/23/2020,51,2
03/24/2020,38,1
03/25/2020,70,1
03/26/2020,110,2
03/27/2020,132,4
03/28/2020,131,4
03/29/2020,145,4
03/30/2020,101,8
03/31/2020,121,1
04/01/2020,163,8
04/02/2020,132,13
04/03/2020,178,10
04/04/2020,202,19
04/05/2020,253,15
04/06/2020,296,31
04/07/2020,346,16
04/08/2020,396,33
04/09/2020,260,20
04/10/2020,403,39
04/11/2020,375,40
04/12/2020,442,23
04/13/2020,353,36
04/14/2020,385,74
04/15/2020,448,43
04/16/2020,450,37
04/17/2020,578,60
04/18/2020,622,104
04/19/2020,764,36
04/20/2020,511,26
04/21/2020,729,145
04/22/2020,1043,113
04/23/2020,1089,99
04/24/2020,1239,152
04/25/2020,970,84
04/26/2020,835,46
04/27/2020,852,83
04/28/2020,1223,135
04/29/2020,1047,163
04/30/2020,1425,127
05/01/2020,1515,113
05/02/2020,1349,89
05/03/2020,1383,93
05/04/2020,1434,117
05/05/2020,1120,236
05/06/2020,1609,197
05/07/2020,1982,257
05/08/2020,1906,199
05/09/2020,1938,193
05/10/2020,1562,112
05/11/2020,1305,108
05/12/2020,1997,353
05/13/2020,1862,294
05/14/2020,2409,257
05/15/2020,2437,290
05/16/2020,2112,278
05/17/2020,2075,132
05/18/2020,2414,155
05/19/2020,2713,334
05/20/2020,2248,424
05/21/2020,2973,420
05/22/2020,2960,479
05/23/2020,3329,190
05/24/2020,2764,215
05/25/2020,2485,239
05/26/2020,3455,501
05/27/2020,3463,463
05/28/2020,3377,447
05/29/2020,3227,371
05/30/2020,2885,364
05/31/2020,3152,151
06/01/2020,2771,237
06/02/2020,3891,470
06/03/2020,3912,1092
06/04/2020,4442,816
06/05/2020,4346,625
06/06/2020,3593,341
06/07/2020,3484,188
06/08/2020,2999,354
06/09/2020,4199,596
06/10/2020,4883,708
06/11/2020,4790,587
06/12/2020,5222,504
06/13/2020,3494,424
06/14/2020,4147,269
06/15/2020,3427,439
06/16/2020,4599,730
06/17/2020,4930,770
06/18/2020,5662,667
06/19/2020,5030,647
06/20/2020,4717,387
06/21/2020,5343,1044
06/22/2020,4577,759
06/23/2020,6288,793
06/24/2020,5437,947
06/25/2020,6104,736
06/26/2020,5441,719
06/27/2020,4410,602
06/28/2020,4050,267
06/29/2020,3805,473
06/30/2020,5432,648
07/01/2020,5681,741
07/02/2020,6741,679
07/03/2020,6740,654
07/04/2020,6914,523
07/05/2020,4683,273
07/06/2020,4902,480
04/15/2020,4902,480
04/17/2020,6,1
04/18/2020,6,0
04/20/2020,1,0
04/21/2020,2,0
04/23/2020,10,0
04/24/2020,10,0
04/25/2020,6,0
04/27/2020,27,0
04/28/2020,28,0
04/29/2020,6,0
04/30/2020,18,0
05/01/2020,20,0
05/02/2020,20,0
05/03/2020,20,0
05/04/2020,20,0
05/05/2020,21,7
05/06/2020,3,1
05/07/2020,3,0
05/08/2020,4,1
05/09/2020,5,1
05/10/2020,17,0
05/11/2020,17,0
05/12/2020,17,2
05/13/2020,30,0
05/14/2020,16,1
05/15/2020,9,1
05/16/2020,36,2
05/17/2020,11,0
05/18/2020,11,0
05/19/2020,12,2
05/20/2020,38,0
05/21/2020,43,1
05/22/2020,28,0
05/23/2020,15,0
05/24/2020,16,0
05/25/2020,16,0
05/26/2020,16,5
05/27/2020,27,4
05/28/2020,40,2
05/29/2020,53,1
05/30/2020,24,0
05/31/2020,24,0
06/01/2020,24,0
06/02/2020,24,0
06/03/2020,25,2
06/04/2020,49,1
06/05/2020,96,2
06/06/2020,37,10
06/07/2020,29,0
06/08/2020,29,0
06/09/2020,30,5
06/10/2020,45,0
06/11/2020,46,6
06/12/2020,69,8
06/13/2020,81,2
06/14/2020,22,0
06/15/2020,22,0
06/16/2020,22,2
06/17/2020,94,13
06/18/2020,58,9
06/19/2020,65,5
06/20/2020,58,0
06/21/2020,58,0
06/22/2020,58,0
06/23/2020,59,0
06/24/2020,59,0
06/25/2020,59,21
06/26/2020,30,0
06/27/2020,30,0
06/28/2020,31,0
06/29/2020,31,0
06/30/2020,31,0
07/02/2020,31,15
07/03/2020,0,0
07/04/2020,0,0
07/05/2020,0,0
04/15/2020,0,0
04/16/2020,52,0
04/17/2020,41,3
04/18/2020,31,2
04/20/2020,72,0
04/21/2020,72,42
04/23/2020,235,43
04/24/2020,70,8
04/25/2020,90,20
04/27/2020,113,0
04/28/2020,113,21
04/29/2020,90,19
04/30/2020,104,29
05/01/2020,62,0
05/02/2020,62,0
05/03/2020,63,0
05/04/2020,63,0
05/05/2020,63,36
05/06/2020,181,38
05/07/2020,108,37
05/08/2020,79,18
05/09/2020,100,21
05/10/2020,57,0
05/11/2020,57,0
05/12/2020,58,54
05/13/2020,128,24
05/14/2020,188,21
05/15/2020,92,31
05/16/2020,184,23
05/17/2020,96,0
05/18/2020,97,0
05/19/2020,97,48
05/20/2020,157,16
05/21/2020,116,24
05/22/2020,177,31
05/23/2020,117,0
05/24/2020,117,0
05/25/2020,118,0
05/26/2020,118,68
05/27/2020,171,35
05/28/2020,169,33
05/29/2020,187,35
05/30/2020,90,0
05/31/2020,91,0
06/01/2020,91,0
06/02/2020,91,0
06/03/2020,91,71
06/04/2020,229,134
06/05/2020,144,124
06/06/2020,180,63
06/07/2020,118,0
06/08/2020,118,0
06/09/2020,118,57
06/10/2020,149,0
06/11/2020,149,130
06/12/2020,184,31
06/13/2020,146,21
06/14/2020,91,0
06/15/2020,91,0
06/16/2020,91,97
06/17/2020,81,58
06/18/2020,122,23
06/19/2020,161,21
06/20/2020,126,0
06/21/2020,127,0
06/22/2020,127,0
06/23/2020,127,0
06/24/2020,127,0
06/25/2020,127,175
06/26/2020,93,0
06/27/2020,93,0
06/28/2020,93,0
06/29/2020,93,0
06/30/2020,93,0
07/02/2020,93,70
07/03/2020,0,0
07/04/2020,0,0
07/05/2020,0,0
04/15/2020,0,0
04/16/2020,1,1
04/17/2020,1,0
04/18/2020,3,0
04/20/2020,12,0
04/21/2020,12,1
04/23/2020,35,3
04/24/2020,12,1
04/25/2020,1,0
04/27/2020,22,0
04/28/2020,22,2
04/29/2020,7,1
04/30/2020,9,2
05/01/2020,7,0
05/02/2020,9,0
05/03/2020,9,0
05/04/2020,9,0
05/05/2020,9,2
05/06/2020,7,0
05/07/2020,7,0
05/08/2020,10,2
05/09/2020,5,2
05/10/2020,8,0
05/11/2020,8,0
05/12/2020,9,0
05/13/2020,3,2
05/14/2020,8,0
05/15/2020,11,1
05/16/2020,19,1
05/17/2020,7,0
05/18/2020,8,0
05/19/2020,8,0
05/20/2020,7,1
05/21/2020,7,1
05/22/2020,26,1
05/23/2020,9,0
05/24/2020,10,0
05/25/2020,10,0
05/26/2020,10,3
05/27/2020,8,0
05/28/2020,8,0
05/29/2020,17,0
05/30/2020,17,0
05/31/2020,17,0
06/01/2020,17,0
06/02/2020,17,0
06/03/2020,18,3
06/04/2020,38,0
06/05/2020,16,3
06/06/2020,21,3
06/07/2020,17,0
06/08/2020,17,0
06/09/2020,17,4
06/10/2020,41,0
06/11/2020,42,2
06/12/2020,49,1
06/13/2020,5,0
06/14/2020,26,0
06/15/2020,26,0
06/16/2020,27,3
06/17/2020,38,5
06/18/2020,15,5
06/19/2020,67,2
06/20/2020,27,0
06/21/2020,27,0
06/22/2020,27,0
06/23/2020,28,0
06/24/2020,28,0
06/25/2020,28,6
06/26/2020,25,0
06/27/2020,25,0
06/28/2020,25,0
06/29/2020,25,0
06/30/2020,25,0
07/02/2020,25,1
07/03/2020,0,0
07/04/2020,0,0
07/05/2020,0,0
04/15/2020,0,0
04/16/2020,10,0
04/17/2020,2,1
04/18/2020,2,0
04/20/2020,0,0
04/21/2020,10,1
