Updated,ConfirmedChange,DeathsChange
03/07/2020,0,0
03/08/2020,0.0,0.0
03/09/2020,0.0,0.0
03/10/2020,2.0,0.0
03/11/2020,1.0,0.0
03/12/2020,2.0,0.0
03/13/2020,2.0,0.0
03/14/2020,4.0,0.0
03/15/2020,11.0,0.0
03/16/2020,6.0,0.0
03/17/2020,1.0,0.0
03/18/2020,6.0,1.0
03/19/2020,13.0,0.0
03/20/2020,17.0,0.0
03/21/2020,14.0,0.0
03/22/2020,14.0,0.0
03/23/2020,15.0,0.0
03/24/2020,16.0,0.0
03/25/2020,24.0,0.0
03/26/2020,28.0,0.0
03/27/2020,22.0,1.0
03/28/2020,32.0,0.0
03/29/2020,32.0,0.0
03/30/2020,35.0,0.0
03/31/2020,55.0,2.0
04/01/2020,70.0,1.0
04/02/2020,82.0,1.0
04/03/2020,86.0,2.0
04/04/2020,161.0,4.0
04/05/2020,112.0,3.0
04/06/2020,101.0,4.0
04/07/2020,91.0,3.0
04/08/2020,118.0,5.0
04/09/2020,115.0,2.0
04/10/2020,149.0,0.0
04/11/2020,122.0,1.0
04/12/2020,102.0,2.0
04/13/2020,50.0,3.0
04/14/2020,87.0,5.0
04/15/2020,115.0,6.0
04/16/2020,105.0,8.0
04/17/2020,110.0,2.0
04/18/2020,153.0,4.0
04/19/2020,190.0,7.0
04/20/2020,76.0,3.0
04/21/2020,66.0,3.0
04/22/2020,164.0,3.0
04/23/2020,148.0,4.0
04/24/2020,184.0,7.0
04/25/2020,194.0,7.0
04/26/2020,104.0,2.0
04/27/2020,73.0,6.0
04/28/2020,157.0,5.0
04/29/2020,133.0,4.0
04/30/2020,126.0,8.0
05/01/2020,83.0,3.0
05/02/2020,72.0,2.0
05/03/2020,69.0,1.0
05/04/2020,127.0,7.0
05/05/2020,115.0,4.0
05/06/2020,113.0,7.0
05/07/2020,129.0,2.0
05/08/2020,123.0,7.0
05/09/2020,139.0,9.0
05/10/2020,60.0,8.0
05/11/2020,68.0,7.0
05/12/2020,159.0,6.0
05/13/2020,252.0,3.0
05/14/2020,147.0,9.0
05/15/2020,192.0,8.0
05/16/2020,189.0,5.0
05/17/2020,126.0,4.0
05/18/2020,78.0,6.0
05/19/2020,202.0,4.0
05/20/2020,213.0,7.0
05/21/2020,151.0,5.0
05/22/2020,143.0,4.0
05/23/2020,147.0,5.0
05/24/2020,99.0,8.0
05/25/2020,54.0,11.0
05/26/2020,158.0,7.0
05/27/2020,232.0,6.0
05/28/2020,188.0,8.0
05/29/2020,171.0,6.0
05/30/2020,202.0,3.0
05/31/2020,153.0,4.0
06/01/2020,109.0,10.0
06/02/2020,188.0,2.0
06/03/2020,247.0,3.0
06/04/2020,223.0,5.0
06/05/2020,229.0,8.0
06/06/2020,264.0,8.0
06/07/2020,189.0,10.0
06/08/2020,107.0,12.0
06/09/2020,218.0,12.0
06/10/2020,296.0,6.0
06/11/2020,406.0,4.0
06/12/2020,366.0,10.0
06/13/2020,366.0,13.0
06/14/2020,281.0,8.0
06/15/2020,139.0,5.0
06/16/2020,375.0,12.0
06/17/2020,478.0,10.0
06/18/2020,374.0,11.0
06/19/2020,450.0,6.0
06/20/2020,397.0,14.0
06/21/2020,247.0,9.0
06/22/2020,163.0,7.0
06/23/2020,351.0,10.0
06/24/2020,364.0,5.0
06/25/2020,375.0,7.0
