Updated,ConfirmedChange,DeathsChange
03/02/2020,0,0
03/03/2020,0,0
03/04/2020,0,0
03/05/2020,1,0
03/06/2020,0,0
03/07/2020,0,0
03/08/2020,0,0
03/09/2020,0,0
03/10/2020,1,1
03/11/2020,3,0
03/12/2020,0,0
03/13/2020,2,0
03/14/2020,10,0
03/15/2020,10,0
03/16/2020,9,0
03/17/2020,7,1
03/18/2020,10,0
03/19/2020,9,0
03/20/2020,16,1
03/21/2020,17,0
03/22/2020,19,1
03/23/2020,28,0
03/24/2020,27,1
03/25/2020,55,1
03/26/2020,50,4
03/27/2020,70,13
03/28/2020,57,2
03/29/2020,77,1
03/30/2020,77,7
03/31/2020,61,3
04/01/2020,37,3
04/02/2020,54,5
04/03/2020,83,4
04/04/2020,128,11
04/05/2020,102,11
04/06/2020,99,10
04/07/2020,64,10
04/08/2020,91,3
04/09/2020,99,4
04/10/2020,74,10
04/11/2020,97,4
04/12/2020,116,7
04/13/2020,102,8
04/14/2020,125,0
04/15/2020,136,1
04/16/2020,259,3
04/17/2020,281,5
04/18/2020,121,2
04/19/2020,170,4
04/20/2020,191,2
04/21/2020,163,2
04/22/2020,237,4
04/23/2020,122,6
04/24/2020,190,3
04/25/2020,139,1
04/26/2020,168,2
04/27/2020,55,1
04/28/2020,132,3
04/29/2020,69,3
04/30/2020,102,2
05/01/2020,146,1
05/02/2020,160,2
05/03/2020,174,1
05/04/2020,150,5
05/05/2020,166,2
05/06/2020,189,2
05/07/2020,140,0
05/08/2020,163,3
05/09/2020,199,0
05/10/2020,153,2
05/11/2020,218,0
05/12/2020,137,0
05/13/2020,98,0
05/14/2020,91,2
05/15/2020,45,0
05/16/2020,89,2
05/17/2020,129,0
05/18/2020,82,0
05/19/2020,71,1
05/20/2020,110,1
05/21/2020,78,2
05/22/2020,121,1
05/23/2020,74,1
05/24/2020,27,1
05/25/2020,99,1
05/26/2020,45,2
05/27/2020,24,0
05/28/2020,42,0
05/29/2020,71,0
05/30/2020,66,2
05/31/2020,27,1
06/01/2020,26,0
06/02/2020,33,1
06/03/2020,56,0
06/04/2020,81,2
06/05/2020,68,0
06/06/2020,80,0
06/07/2020,73,0
06/08/2020,78,0
06/09/2020,135,2
06/10/2020,71,1
06/11/2020,29,0
06/12/2020,73,1
06/13/2020,82,0
06/14/2020,101,0
06/15/2020,92,0
06/16/2020,46,0
06/17/2020,66,1
06/18/2020,77,0
06/19/2020,539,0
06/20/2020,226,0
06/21/2020,138,1
06/22/2020,195,0
06/23/2020,172,0
06/24/2020,563,2
06/25/2020,431,1
06/26/2020,295,1
06/27/2020,221,0
06/28/2020,198,3
06/29/2020,238,4
06/30/2020,243,3
07/01/2020,103,0
07/02/2020,333,1
07/03/2020,319,1
07/04/2020,534,2
07/05/2020,310,2
