Updated,ConfirmedChange,DeathsChange
02/27/2020,0,0
02/28/2020,1.0,0.0
02/29/2020,4.0,0.0
03/01/2020,3.0,0.0
03/02/2020,10.0,0.0
03/03/2020,5.0,0.0
03/04/2020,14.0,0.0
03/05/2020,44.0,0.0
03/06/2020,46.0,1.0
03/07/2020,60.0,0.0
03/08/2020,76.0,2.0
03/09/2020,57.0,1.0
03/10/2020,61.0,0.0
03/11/2020,121.0,1.0
03/12/2020,111.0,0.0
03/13/2020,190.0,5.0
03/14/2020,155.0,2.0
03/15/2020,176.0,8.0
03/16/2020,278.0,4.0
03/17/2020,292.0,19.0
03/18/2020,346.0,15.0
03/19/2020,409.0,18.0
03/20/2020,534.0,30.0
03/21/2020,637.0,30.0
03/22/2020,573.0,43.0
03/23/2020,545.0,34.0
03/24/2020,811.0,63.0
03/25/2020,852.0,80.0
03/26/2020,1019.0,78.0
03/27/2020,1172.0,112.0
03/28/2020,1159.0,93.0
03/29/2020,1104.0,132.0
03/30/2020,884.0,93.0
03/31/2020,845.0,175.0
04/01/2020,1019.0,134.0
04/02/2020,1083.0,166.0
04/03/2020,1026.0,148.0
04/04/2020,904.0,164.0
04/05/2020,1224.0,115.0
04/06/2020,952.0,101.0
04/07/2020,777.0,234.0
04/08/2020,969.0,147.0
04/09/2020,1213.0,148.0
04/10/2020,1335.0,115.0
04/11/2020,1316.0,132.0
04/12/2020,1174.0,94.0
04/13/2020,964.0,86.0
04/14/2020,868.0,122.0
04/15/2020,734.0,189.0
04/16/2020,1061.0,181.0
04/17/2020,1235.0,144.0
04/18/2020,1140.0,142.0
04/19/2020,1066.0,83.0
04/20/2020,750.0,67.0
04/21/2020,729.0,165.0
04/22/2020,708.0,138.0
04/23/2020,887.0,123.0
04/24/2020,806.0,112.0
04/25/2020,655.0,120.0
04/26/2020,655.0,66.0
04/27/2020,400.0,43.0
04/28/2020,171.0,48.0
04/29/2020,386.0,145.0
04/30/2020,514.0,84.0
05/01/2020,475.0,98.0
05/02/2020,445.0,94.0
05/03/2020,335.0,69.0
05/04/2020,199.0,26.0
05/05/2020,317.0,86.0
05/06/2020,232.0,36.0
05/07/2020,455.0,84.0
05/08/2020,319.0,71.0
05/09/2020,289.0,63.0
05/10/2020,245.0,18.0
05/11/2020,161.0,16.0
05/12/2020,196.0,54.0
05/13/2020,227.0,52.0
05/14/2020,270.0,28.0
05/15/2020,200.0,53.0
05/16/2020,189.0,27.0
05/17/2020,125.0,10.0
05/18/2020,146.0,14.0
05/19/2020,108.0,21.0
05/20/2020,198.0,33.0
05/21/2020,253.0,27.0
05/22/2020,188.0,13.0
05/23/2020,176.0,23.0
05/24/2020,172.0,11.0
05/25/2020,209.0,8.0
05/26/2020,133.0,26.0
05/27/2020,190.0,15.0
05/28/2020,182.0,32.0
05/29/2020,176.0,28.0
05/30/2020,131.0,20.0
05/31/2020,185.0,5.0
06/01/2020,103.0,6.0
06/02/2020,102.0,5.0
06/03/2020,86.0,10.0
06/04/2020,209.0,13.0
06/05/2020,210.0,15.0
06/06/2020,183.0,6.0
06/07/2020,239.0,2.0
06/08/2020,165.0,3.0
06/09/2020,164.0,15.0
06/10/2020,184.0,11.0
06/11/2020,164.0,2.0
06/12/2020,210.0,9.0
06/13/2020,179.0,4.0
06/14/2020,143.0,2.0
06/15/2020,165.0,6.0
06/16/2020,139.0,5.0
06/17/2020,117.0,4.0
06/18/2020,115.0,4.0
06/19/2020,107.0,3.0
06/20/2020,76.0,8.0
06/21/2020,91.0,1.0
06/22/2020,65.0,0.0
06/23/2020,64.0,5.0
06/24/2020,82.0,2.0
06/25/2020,110.0,3.0
06/26/2020,91.0,3.0
04/08/2020,91.0,3.0
04/10/2020,34.0,3.0
04/12/2020,35.0,3.0
04/14/2020,35.0,3.0
04/16/2020,35.0,3.0
04/18/2020,35.0,3.0
04/20/2020,35.0,3.0
04/22/2020,35.0,3.0
04/24/2020,35.0,3.0
04/26/2020,35.0,3.0
04/28/2020,35.0,3.0
04/29/2020,35.0,3.0
04/30/2020,1.0,3.0
05/01/2020,1.0,3.0
05/02/2020,1.0,3.0
05/03/2020,2.0,3.0
05/04/2020,2.0,3.0
05/05/2020,2.0,3.0
05/06/2020,2.0,3.0
05/07/2020,2.0,3.0
05/08/2020,2.0,3.0
05/09/2020,2.0,3.0
05/10/2020,2.0,3.0
05/11/2020,2.0,3.0
05/12/2020,2.0,3.0
05/13/2020,2.0,3.0
05/14/2020,2.0,3.0
05/15/2020,2.0,3.0
05/16/2020,2.0,3.0
05/17/2020,2.0,3.0
05/18/2020,2.0,3.0
05/19/2020,2.0,3.0
05/20/2020,0.0,3.0
05/21/2020,0.0,3.0
05/22/2020,0.0,3.0
