Updated,ConfirmedChange,DeathsChange
03/19/2020,0,0
03/20/2020,0,0
03/21/2020,0,0
03/22/2020,1,0
03/23/2020,0,0
03/24/2020,1,0
03/25/2020,4,1
03/26/2020,3,0
03/27/2020,0,0
03/28/2020,0,0
03/29/2020,8,0
03/30/2020,9,2
03/31/2020,0,0
04/01/2020,47,2
04/02/2020,23,0
04/03/2020,23,0
04/04/2020,24,3
04/05/2020,40,2
04/06/2020,69,0
04/07/2020,25,1
04/08/2020,64,0
04/09/2020,34,0
04/10/2020,34,0
04/11/2020,28,0
04/12/2020,91,1
04/13/2020,19,1
04/14/2020,22,1
04/15/2020,14,0
04/16/2020,12,0
04/17/2020,13,1
04/18/2020,30,4
04/19/2020,9,1
04/20/2020,7,0
04/21/2020,2,0
04/22/2020,5,2
04/23/2020,9,2
04/24/2020,10,0
04/25/2020,3,3
04/26/2020,12,2
04/27/2020,5,0
04/28/2020,8,2
04/29/2020,4,1
04/30/2020,6,0
05/01/2020,9,1
05/02/2020,8,2
05/03/2020,14,1
05/04/2020,5,1
05/05/2020,8,1
05/06/2020,7,0
05/07/2020,11,4
05/08/2020,14,2
05/09/2020,20,1
05/10/2020,6,1
05/11/2020,11,0
05/12/2020,22,1
05/13/2020,6,2
05/14/2020,16,1
05/15/2020,9,1
05/16/2020,4,0
05/17/2020,15,3
05/18/2020,5,1
05/19/2020,5,0
05/20/2020,6,3
05/21/2020,4,2
05/22/2020,13,0
05/23/2020,6,1
05/24/2020,2,0
05/25/2020,6,1
05/26/2020,1,1
05/27/2020,1,0
05/28/2020,2,1
05/29/2020,0,0
05/30/2020,1,0
05/31/2020,2,0
06/01/2020,1,1
06/02/2020,1,0
06/03/2020,1,0
06/04/2020,2,0
06/05/2020,3,0
06/06/2020,4,0
06/07/2020,3,0
06/08/2020,0,0
06/09/2020,1,0
06/10/2020,1,0
06/11/2020,1,0
06/12/2020,2,0
06/13/2020,2,1
06/14/2020,9,0
06/15/2020,9,0
06/16/2020,9,0
06/17/2020,9,0
06/18/2020,4,1
06/19/2020,5,0
06/20/2020,5,0
06/21/2020,5,0
06/22/2020,11,0
06/23/2020,5,0
06/24/2020,2,0
06/25/2020,3,0
06/26/2020,3,0
06/27/2020,7,0
06/28/2020,8,0
06/29/2020,1,0
06/30/2020,1,0
07/01/2020,1,0
07/02/2020,1,0
07/03/2020,2,0
07/04/2020,2,1
07/05/2020,6,0
