Updated,ConfirmedChange,DeathsChange
02/27/2020,0,0
02/28/2020,0.0,0
02/29/2020,0.0,0.0
03/01/2020,0.0,0.0
03/02/2020,0.0,0.0
03/03/2020,0.0,0.0
03/04/2020,0.0,0.0
03/05/2020,0.0,0.0
03/06/2020,0.0,0.0
03/07/2020,0.0,0.0
03/08/2020,0.0,0.0
03/09/2020,1.0,0.0
03/10/2020,0.0,0.0
03/11/2020,0.0,0.0
03/12/2020,0.0,0.0
03/13/2020,0.0,0.0
03/14/2020,0.0,0.0
03/15/2020,0.0,0.0
03/16/2020,0.0,0.0
03/17/2020,0.0,0.0
03/18/2020,5.0,0.0
03/19/2020,4.0,0.0
03/20/2020,1.0,0.0
03/21/2020,10.0,0.0
03/22/2020,8.0,0.0
03/23/2020,6.0,1.0
03/24/2020,8.0,0.0
03/25/2020,7.0,0.0
03/26/2020,14.0,0.0
03/27/2020,16.0,0.0
03/28/2020,16.0,0.0
03/29/2020,14.0,0.0
03/30/2020,20.0,1.0
03/31/2020,20.0,0.0
04/01/2020,23.0,0.0
04/02/2020,10.0,0.0
04/03/2020,25.0,0.0
04/04/2020,5.0,2.0
04/05/2020,18.0,1.0
04/06/2020,6.0,0.0
04/07/2020,16.0,1.0
04/08/2020,20.0,0.0
04/09/2020,14.0,1.0
04/10/2020,17.0,0.0
04/11/2020,13.0,3.0
04/12/2020,5.0,0.0
04/13/2020,20.0,0.0
04/14/2020,30.0,1.0
04/15/2020,34.0,1.0
04/16/2020,35.0,1.0
04/17/2020,51.0,4.0
04/18/2020,48.0,2.0
04/19/2020,86.0,2.0
04/20/2020,38.0,1.0
04/21/2020,117.0,0.0
04/22/2020,91.0,6.0
04/23/2020,108.0,3.0
04/24/2020,114.0,1.0
04/25/2020,87.0,4.0
04/26/2020,91.0,4.0
04/27/2020,64.0,2.0
04/28/2020,195.0,2.0
04/29/2020,196.0,7.0
04/30/2020,204.0,7.0
05/01/2020,238.0,10.0
05/02/2020,218.0,17.0
05/03/2020,170.0,2.0
05/04/2020,244.0,6.0
05/05/2020,146.0,5.0
05/06/2020,197.0,5.0
05/07/2020,381.0,4.0
05/08/2020,386.0,10.0
05/09/2020,239.0,11.0
05/10/2020,248.0,15.0
05/11/2020,242.0,8.0
05/12/2020,146.0,7.0
05/13/2020,184.0,6.0
05/14/2020,191.0,3.0
05/15/2020,288.0,4.0
05/16/2020,171.0,5.0
05/17/2020,338.0,6.0
05/18/2020,216.0,10.0
05/19/2020,226.0,0.0
05/20/2020,276.0,8.0
05/21/2020,339.0,11.0
05/22/2020,245.0,10.0
05/23/2020,265.0,0.0
05/24/2020,313.0,5.0
05/25/2020,247.0,7.0
05/26/2020,258.0,16.0
05/27/2020,389.0,5.0
05/28/2020,182.0,5.0
05/29/2020,387.0,2.0
05/30/2020,553.0,12.0
05/31/2020,307.0,14.0
06/01/2020,416.0,12.0
06/02/2020,241.0,15.0
06/03/2020,348.0,0.0
06/04/2020,349.0,9.0
06/05/2020,328.0,10.0
06/06/2020,389.0,9.0
06/07/2020,253.0,12.0
06/08/2020,315.0,7.0
06/09/2020,663.0,4.0
06/10/2020,409.0,17.0
06/11/2020,681.0,5.0
06/12/2020,627.0,12.0
06/13/2020,501.0,8.0
06/14/2020,325.0,0.0
06/15/2020,325.0,0.0
06/16/2020,326.0,17.0
06/17/2020,1077.0,45.0
06/18/2020,745.0,6.0
06/19/2020,667.0,12.0
06/20/2020,661.0,19.0
06/21/2020,436.0,12.0
06/22/2020,675.0,7.0
06/23/2020,452.0,8.0
06/24/2020,649.0,9.0
06/25/2020,594.0,7.0
06/26/2020,684.0,5.0
