Updated,ConfirmedChange,DeathsChange
02/24/2020,0,0
02/25/2020,2.0,0.0
02/26/2020,0.0,0.0
02/27/2020,2.0,0.0
02/28/2020,0.0,0.0
02/29/2020,0.0,0.0
03/01/2020,0.0,0.0
03/02/2020,0.0,0.0
03/03/2020,6.0,0.0
03/04/2020,3.0,0.0
03/05/2020,1.0,0.0
03/06/2020,0.0,0.0
03/07/2020,0.0,0.0
03/08/2020,0.0,0.0
03/09/2020,2.0,0.0
03/10/2020,0.0,0.0
03/11/2020,0.0,0.0
03/12/2020,0.0,0.0
03/13/2020,2.0,0.0
03/14/2020,1.0,0.0
03/15/2020,1.0,0.0
03/16/2020,2.0,0.0
03/17/2020,0.0,0.0
03/18/2020,15.0,0.0
03/19/2020,9.0,0.0
03/20/2020,0.0,0.0
03/21/2020,4.0,0.0
03/22/2020,3.0,0.0
03/23/2020,11.0,0.0
03/24/2020,18.0,0.0
03/25/2020,15.0,0.0
03/26/2020,10.0,0.0
03/27/2020,22.0,0.0
03/28/2020,21.0,0.0
03/29/2020,15.0,0.0
03/30/2020,12.0,0.0
03/31/2020,13.0,0.0
04/01/2020,18.0,1.0
04/02/2020,21.0,0.0
04/03/2020,21.0,0.0
04/04/2020,25.0,1.0
04/05/2020,21.0,0.0
04/06/2020,33.0,0.0
04/07/2020,40.0,0.0
04/08/2020,48.0,0.0
04/09/2020,38.0,1.0
04/10/2020,27.0,0.0
04/11/2020,62.0,0.0
04/12/2020,53.0,1.0
04/13/2020,128.0,0.0
04/14/2020,86.0,0.0
04/15/2020,97.0,0.0
04/16/2020,109.0,0.0
04/17/2020,50.0,2.0
04/18/2020,111.0,0.0
04/19/2020,86.0,0.0
04/20/2020,144.0,1.0
04/21/2020,98.0,1.0
04/22/2020,106.0,0.0
04/23/2020,102.0,1.0
04/24/2020,74.0,1.0
04/25/2020,115.0,0.0
04/26/2020,93.0,0.0
04/27/2020,51.0,0.0
04/28/2020,82.0,0.0
04/29/2020,143.0,0.0
04/30/2020,74.0,1.0
05/01/2020,99.0,0.0
05/02/2020,36.0,1.0
05/03/2020,85.0,0.0
05/04/2020,69.0,0.0
05/05/2020,98.0,1.0
05/06/2020,168.0,0.0
05/07/2020,55.0,2.0
05/08/2020,154.0,1.0
05/09/2020,112.0,1.0
05/10/2020,175.0,0.0
05/11/2020,174.0,0.0
05/12/2020,148.0,0.0
05/13/2020,298.0,0.0
05/14/2020,322.0,1.0
05/15/2020,284.0,2.0
05/16/2020,404.0,1.0
05/17/2020,157.0,1.0
05/18/2020,193.0,3.0
05/19/2020,292.0,2.0
05/20/2020,372.0,3.0
05/21/2020,327.0,0.0
05/22/2020,424.0,4.0
05/23/2020,463.0,2.0
05/24/2020,513.0,1.0
05/25/2020,174.0,0.0
05/26/2020,174.0,0.0
05/27/2020,255.0,2.0
05/28/2020,636.0,1.0
05/29/2020,811.0,1.0
05/30/2020,603.0,1.0
05/31/2020,1014.0,7.0
06/01/2020,786.0,1.0
06/02/2020,576.0,9.0
06/03/2020,739.0,8.0
06/04/2020,778.0,0.0
06/05/2020,770.0,5.0
06/06/2020,930.0,0.0
06/07/2020,866.0,3.0
06/08/2020,604.0,6.0
06/09/2020,712.0,2.0
06/10/2020,689.0,1.0
06/11/2020,1067.0,5.0
06/12/2020,1117.0,7.0
06/13/2020,1006.0,3.0
06/14/2020,1404.0,5.0
06/15/2020,1043.0,4.0
06/16/2020,745.0,6.0
06/17/2020,810.0,2.0
06/18/2020,739.0,3.0
06/19/2020,852.0,6.0
06/20/2020,896.0,3.0
06/21/2020,905.0,3.0
06/22/2020,1605.0,6.0
06/23/2020,1318.0,3.0
06/24/2020,1142.0,2.0
06/25/2020,1366.0,2.0
06/26/2020,1132.0,9.0
