Updated,ConfirmedChange,DeathsChange
01/21/2020,0,0
01/24/2020,0.0,0
01/25/2020,0.0,0
01/26/2020,0.0,0
01/30/2020,0.0,0
01/31/2020,0.0,0
02/01/2020,0.0,0
02/02/2020,0.0,0
02/05/2020,0.0,0
02/20/2020,0.0,0
02/26/2020,0.0,0
02/28/2020,0.0,0
02/29/2020,0.0,0
03/01/2020,0.0,0
03/02/2020,0.0,0
03/03/2020,0.0,0
03/04/2020,0.0,0
03/05/2020,0.0,0
03/06/2020,0.0,0
03/07/2020,0.0,0
03/08/2020,0.0,0
03/09/2020,0.0,0
03/10/2020,0.0,0
03/11/2020,0.0,0
03/12/2020,0.0,0
03/13/2020,3.0,0
03/14/2020,0.0,0.0
03/15/2020,2.0,0.0
03/16/2020,0.0,0.0
03/17/2020,0.0,0.0
03/18/2020,1.0,0.0
03/19/2020,0.0,0.0
03/20/2020,8.0,0.0
03/21/2020,7.0,1.0
03/22/2020,2.0,0.0
03/23/2020,8.0,1.0
03/24/2020,8.0,0.0
03/25/2020,12.0,0.0
03/26/2020,13.0,0.0
03/27/2020,15.0,1.0
03/28/2020,21.0,0.0
03/29/2020,27.0,2.0
03/30/2020,47.0,1.0
03/31/2020,65.0,2.0
04/01/2020,47.0,3.0
04/02/2020,30.0,1.0
04/03/2020,62.0,3.0
04/04/2020,74.0,3.0
04/05/2020,23.0,2.0
04/06/2020,38.0,1.0
04/07/2020,60.0,2.0
04/08/2020,47.0,1.0
04/09/2020,63.0,9.0
04/10/2020,42.0,6.0
04/11/2020,63.0,3.0
04/12/2020,109.0,2.0
04/13/2020,6.0,1.0
04/14/2020,20.0,0.0
04/15/2020,51.0,6.0
04/16/2020,69.0,5.0
04/17/2020,25.0,2.0
04/18/2020,50.0,2.0
04/19/2020,95.0,2.0
04/20/2020,39.0,1.0
04/21/2020,46.0,1.0
04/22/2020,80.0,3.0
04/23/2020,38.0,2.0
04/24/2020,2.0,8.0
04/25/2020,3.0,6.0
04/26/2020,3.0,1.0
04/27/2020,3.0,0.0
04/28/2020,3.0,2.0
04/29/2020,3.0,0.0
04/30/2020,106.0,6.0
05/01/2020,36.0,2.0
05/02/2020,182.0,1.0
05/03/2020,51.0,2.0
05/04/2020,35.0,0.0
05/05/2020,81.0,2.0
05/06/2020,44.0,0.0
05/07/2020,63.0,3.0
05/08/2020,125.0,5.0
05/09/2020,17.0,1.0
05/10/2020,25.0,3.0
05/11/2020,58.0,2.0
05/12/2020,43.0,1.0
05/13/2020,30.0,1.0
05/14/2020,98.0,2.0
05/15/2020,115.0,5.0
05/16/2020,47.0,0.0
05/17/2020,57.0,1.0
05/18/2020,64.0,1.0
05/19/2020,95.0,0.0
05/20/2020,61.0,1.0
05/21/2020,47.0,1.0
05/22/2020,117.0,0.0
05/23/2020,70.0,1.0
05/24/2020,89.0,0.0
05/25/2020,71.0,2.0
05/26/2020,64.0,0.0
05/27/2020,73.0,0.0
05/28/2020,89.0,2.0
05/29/2020,161.0,1.0
05/30/2020,96.0,2.0
05/31/2020,96.0,2.0
06/01/2020,96.0,2.0
06/02/2020,88.0,2.0
06/03/2020,485.0,0.0
06/04/2020,112.0,1.0
06/05/2020,295.0,1.0
06/06/2020,65.0,0.0
06/07/2020,66.0,0.0
06/08/2020,139.0,0.0
06/09/2020,144.0,1.0
06/10/2020,23.0,1.0
06/11/2020,184.0,2.0
06/12/2020,137.0,0.0
06/13/2020,138.0,1.0
06/14/2020,79.0,0.0
06/15/2020,61.0,0.0
06/16/2020,52.0,0.0
06/17/2020,108.0,0.0
06/18/2020,84.0,0.0
06/19/2020,268.0,0.0
06/20/2020,62.0,2.0
06/21/2020,39.0,0.0
06/22/2020,121.0,0.0
06/23/2020,46.0,0.0
06/24/2020,89.0,0.0
06/25/2020,-256.0,0.0
