Updated,ConfirmedChange,DeathsChange
02/27/2020,0,0
02/29/2020,0.0,0
03/01/2020,0.0,0.0
03/02/2020,2.0,0.0
03/03/2020,4.0,0.0
03/04/2020,1.0,0.0
03/05/2020,0.0,0.0
03/06/2020,0.0,0.0
03/07/2020,3.0,0.0
03/08/2020,1.0,0.0
03/09/2020,3.0,0.0
03/10/2020,3.0,0.0
03/11/2020,6.0,0.0
03/12/2020,238.0,0.0
03/13/2020,25.0,0.0
03/14/2020,25.0,0.0
03/15/2020,25.0,0.0
03/16/2020,102.0,0.0
03/17/2020,3.0,0.0
03/18/2020,10.0,0.0
03/19/2020,4.0,0.0
03/20/2020,4.0,0.0
03/21/2020,21.0,0.0
03/22/2020,13.0,0.0
03/23/2020,7.0,0.0
03/24/2020,25.0,0.0
03/25/2020,11.0,0.0
03/26/2020,12.0,0.0
03/27/2020,20.0,0.0
03/28/2020,21.0,1.0
03/29/2020,44.0,0.0
03/30/2020,59.0,0.0
03/31/2020,88.0,1.0
04/01/2020,54.0,0.0
04/02/2020,114.0,1.0
04/03/2020,126.0,0.0
04/04/2020,250.0,0.0
04/05/2020,279.0,1.0
04/06/2020,228.0,0.0
04/07/2020,225.0,2.0
04/08/2020,153.0,0.0
04/09/2020,166.0,0.0
04/10/2020,136.0,0.0
04/11/2020,216.0,0.0
04/12/2020,251.0,1.0
04/13/2020,252.0,0.0
04/14/2020,197.0,0.0
04/15/2020,283.0,0.0
04/16/2020,392.0,0.0
04/17/2020,560.0,0.0
04/18/2020,345.0,1.0
04/19/2020,440.0,0.0
04/20/2020,567.0,1.0
04/21/2020,518.0,0.0
04/22/2020,608.0,1.0
04/23/2020,623.0,0.0
04/24/2020,761.0,0.0
04/25/2020,833.0,0.0
04/26/2020,929.0,0.0
04/27/2020,957.0,0.0
04/28/2020,677.0,0.0
04/29/2020,643.0,0.0
04/30/2020,845.0,0.0
05/01/2020,687.0,2.0
05/02/2020,686.0,0.0
05/03/2020,769.0,0.0
05/04/2020,640.0,0.0
05/05/2020,951.0,0.0
05/06/2020,830.0,0.0
05/07/2020,918.0,0.0
05/08/2020,1311.0,0.0
05/09/2020,1130.0,1.0
05/10/2020,1189.0,1.0
05/11/2020,1103.0,0.0
05/12/2020,1526.0,0.0
05/13/2020,1390.0,0.0
05/14/2020,1733.0,0.0
05/15/2020,1153.0,0.0
05/16/2020,1547.0,1.0
05/17/2020,1632.0,0.0
05/18/2020,1365.0,0.0
05/19/2020,1637.0,0.0
05/20/2020,1491.0,1.0
05/21/2020,1554.0,1.0
05/22/2020,1830.0,2.0
05/23/2020,732.0,2.0
05/24/2020,975.0,2.0
05/25/2020,1014.0,3.0
05/26/2020,4005.0,2.0
05/27/2020,1740.0,2.0
05/28/2020,1967.0,3.0
05/29/2020,1993.0,3.0
05/30/2020,2355.0,0.0
05/31/2020,1648.0,2.0
06/01/2020,1523.0,2.0
06/02/2020,1826.0,3.0
06/03/2020,1901.0,2.0
06/04/2020,1581.0,0.0
06/05/2020,1754.0,4.0
06/06/2020,1700.0,2.0
06/07/2020,1595.0,3.0
06/08/2020,1368.0,3.0
06/09/2020,1721.0,5.0
06/10/2020,1716.0,4.0
06/11/2020,1476.0,3.0
06/12/2020,1517.0,1.0
06/13/2020,1828.0,0.0
06/14/2020,1186.0,3.0
06/15/2020,1274.0,3.0
06/16/2020,1201.0,4.0
06/17/2020,1097.0,2.0
06/18/2020,1267.0,4.0
06/19/2020,1021.0,7.0
06/20/2020,1026.0,1.0
06/21/2020,881.0,4.0
06/22/2020,1034.0,1.0
06/23/2020,1176.0,0.0
06/24/2020,1199.0,5.0
06/25/2020,1060.0,2.0
06/26/2020,946.0,3.0
