Updated,ConfirmedChange,DeathsChange
02/25/2020,0,0
02/26/2020,0.0,0
02/27/2020,0.0,0
02/28/2020,2.0,0.0
02/29/2020,0.0,0.0
03/01/2020,0.0,0.0
03/02/2020,0.0,0.0
03/03/2020,1.0,0.0
03/04/2020,2.0,0.0
03/05/2020,0.0,0.0
03/06/2020,3.0,0.0
03/07/2020,4.0,0.0
03/08/2020,2.0,0.0
03/09/2020,2.0,0.0
03/10/2020,12.0,0.0
03/11/2020,18.0,0.0
03/12/2020,12.0,0.0
03/13/2020,36.0,0.0
03/14/2020,28.0,0.0
03/15/2020,16.0,0.0
03/16/2020,29.0,0.0
03/17/2020,49.0,0.0
03/18/2020,43.0,0.0
03/19/2020,17.0,0.0
03/20/2020,31.0,0.0
03/21/2020,59.0,0.0
03/22/2020,66.0,3.0
03/23/2020,143.0,4.0
03/24/2020,186.0,5.0
03/25/2020,144.0,5.0
03/26/2020,123.0,6.0
03/27/2020,263.0,3.0
03/28/2020,160.0,3.0
03/29/2020,308.0,14.0
03/30/2020,192.0,22.0
03/31/2020,293.0,15.0
04/01/2020,215.0,5.0
04/02/2020,278.0,9.0
04/03/2020,445.0,22.0
04/04/2020,430.0,25.0
04/05/2020,251.0,7.0
04/06/2020,193.0,9.0
04/07/2020,360.0,25.0
04/08/2020,344.0,27.0
04/09/2020,441.0,20.0
04/10/2020,265.0,28.0
04/11/2020,523.0,25.0
04/12/2020,310.0,24.0
04/13/2020,333.0,12.0
04/14/2020,246.0,14.0
04/15/2020,337.0,30.0
04/16/2020,491.0,25.0
04/17/2020,360.0,13.0
04/18/2020,351.0,17.0
04/19/2020,328.0,17.0
04/20/2020,190.0,17.0
04/21/2020,306.0,31.0
04/22/2020,468.0,26.0
04/23/2020,386.0,19.0
04/24/2020,321.0,25.0
04/25/2020,218.0,23.0
04/26/2020,401.0,44.0
04/27/2020,303.0,12.0
04/28/2020,277.0,19.0
04/29/2020,362.0,25.0
04/30/2020,262.0,20.0
05/01/2020,327.0,31.0
05/02/2020,165.0,29.0
05/03/2020,431.0,25.0
05/04/2020,349.0,23.0
05/05/2020,325.0,24.0
05/06/2020,270.0,31.0
05/07/2020,392.0,18.0
05/08/2020,312.0,22.0
05/09/2020,320.0,28.0
05/10/2020,231.0,26.0
05/11/2020,226.0,20.0
05/12/2020,190.0,19.0
05/13/2020,224.0,25.0
05/14/2020,245.0,30.0
05/15/2020,190.0,10.0
05/16/2020,267.0,25.0
05/17/2020,167.0,16.0
05/18/2020,165.0,10.0
05/19/2020,155.0,19.0
05/20/2020,196.0,15.0
05/21/2020,198.0,10.0
05/22/2020,127.0,8.0
05/23/2020,145.0,11.0
05/24/2020,213.0,9.0
05/25/2020,213.0,14.0
05/26/2020,146.0,17.0
05/27/2020,165.0,9.0
05/28/2020,197.0,10.0
05/29/2020,191.0,11.0
05/30/2020,151.0,13.0
05/31/2020,124.0,6.0
06/01/2020,141.0,11.0
06/02/2020,119.0,9.0
06/03/2020,152.0,9.0
06/04/2020,238.0,11.0
06/05/2020,196.0,9.0
06/06/2020,187.0,10.0
06/07/2020,189.0,8.0
06/08/2020,125.0,8.0
06/09/2020,145.0,11.0
06/10/2020,196.0,15.0
06/11/2020,237.0,9.0
06/12/2020,222.0,11.0
06/13/2020,275.0,14.0
06/14/2020,320.0,16.0
06/15/2020,166.0,17.0
06/16/2020,250.0,10.0
06/17/2020,345.0,14.0
06/18/2020,320.0,22.0
06/19/2020,320.0,11.0
06/20/2020,330.0,16.0
06/21/2020,315.0,12.0
06/22/2020,246.0,11.0
06/23/2020,214.0,16.0
06/24/2020,321.0,16.0
06/25/2020,460.0,10.0
06/26/2020,411.0,14.0
