Updated,ConfirmedChange,DeathsChange
03/14/2020,0,0
03/15/2020,1.0,0.0
03/16/2020,3.0,0.0
03/17/2020,0.0,0.0
03/18/2020,0.0,0.0
03/22/2020,74.0,0.0
03/23/2020,11.0,0.0
03/24/2020,17.0,0.0
03/25/2020,17.0,0.0
03/26/2020,17.0,0.0
03/27/2020,39.0,0.0
03/30/2020,40.0,0.0
03/31/2020,23.0,0.0
04/01/2020,34.0,0.0
04/02/2020,27.0,0.0
04/03/2020,13.0,0.0
04/04/2020,13.0,0.0
04/05/2020,10.0,0.0
04/06/2020,7.0,0.0
04/07/2020,7.0,0.0
04/08/2020,4.0,0.0
04/09/2020,4.0,0.0
04/10/2020,4.0,0.0
04/11/2020,4.0,0.0
04/12/2020,4.0,0.0
04/13/2020,4.0,0.0
04/14/2020,5.0,0.0
04/15/2020,5.0,0.0
04/16/2020,5.0,0.0
04/17/2020,5.0,0.0
04/18/2020,5.0,0.0
04/19/2020,1.0,0.0
04/21/2020,-267.0,0.0
04/22/2020,0.0,0.0
04/23/2020,0.0,0.0
04/27/2020,0.0,0.0
04/28/2020,0.0,0.0
04/29/2020,0.0,0.0
04/30/2020,0.0,0.0
05/01/2020,0.0,0.0
