Updated,ConfirmedChange,DeathsChange
04/05/2020,0,0
04/07/2020,1.0,0.0
04/09/2020,1.0,0.0
04/10/2020,1.0,0.0
04/05/2020,0.0,0.0
04/06/2020,0.0,0.0
04/07/2020,0.0,0.0
04/08/2020,0.0,0.0
04/09/2020,0.0,0.0
04/10/2020,0.0,0.0
04/11/2020,0.0,0.0
04/13/2020,0.0,0.0
04/14/2020,0.0,0.0
04/15/2020,0.0,0.0
04/16/2020,0.0,0.0
04/18/2020,0.0,0.0
04/20/2020,0.0,0.0
04/22/2020,0.0,0.0
04/23/2020,0.0,0.0
04/24/2020,1.0,0.0
04/25/2020,0.0,0.0
04/26/2020,1.0,0.0
04/27/2020,0.0,0.0
04/28/2020,28.0,0.0
04/29/2020,0.0,0.0
04/30/2020,0.0,0.0
05/01/2020,11.0,0.0
05/02/2020,0.0,0.0
05/03/2020,1.0,0.0
05/04/2020,0.0,0.0
05/05/2020,6.0,0.0
05/06/2020,22.0,0.0
05/07/2020,23.0,0.0
05/08/2020,23.0,0.0
05/09/2020,12.0,0.0
05/10/2020,12.0,0.0
05/11/2020,12.0,0.0
05/12/2020,38.0,0.0
05/13/2020,9.0,0.0
05/14/2020,14.0,0.0
05/15/2020,14.0,1.0
05/16/2020,5.0,3.0
05/17/2020,54.0,0.0
05/18/2020,47.0,0.0
05/19/2020,48.0,0.0
05/20/2020,48.0,0.0
05/21/2020,48.0,0.0
05/22/2020,82.0,2.0
05/23/2020,90.0,0.0
05/24/2020,2.0,2.0
05/25/2020,151.0,0.0
05/26/2020,94.0,0.0
05/27/2020,94.0,2.0
05/28/2020,46.0,0.0
05/29/2020,46.0,0.0
05/30/2020,46.0,0.0
05/31/2020,46.0,0.0
06/01/2020,46.0,0.0
06/02/2020,46.0,0.0
06/03/2020,47.0,4.0
06/04/2020,57.0,0.0
06/05/2020,57.0,0.0
06/06/2020,57.0,0.0
06/07/2020,58.0,0.0
06/08/2020,58.0,5.0
06/09/2020,22.0,0.0
06/10/2020,22.0,0.0
06/11/2020,22.0,5.0
06/12/2020,11.0,0.0
06/13/2020,12.0,3.0
06/14/2020,27.0,0.0
06/15/2020,28.0,0.0
06/16/2020,28.0,3.0
06/17/2020,37.0,1.0
06/18/2020,17.0,1.0
06/19/2020,34.0,2.0
06/20/2020,18.0,0.0
06/21/2020,10.0,0.0
06/22/2020,24.0,1.0
06/23/2020,14.0,1.0
06/24/2020,12.0,0.0
06/25/2020,0.0,0.0
