Updated,ConfirmedChange,DeathsChange
03/06/2020,0,0
03/07/2020,0,0
03/08/2020,0,0
03/09/2020,1,0
03/10/2020,3,0
03/11/2020,13,0
03/12/2020,6,0
03/13/2020,11,0
03/14/2020,11,0
03/15/2020,2,0
03/16/2020,9,0
03/17/2020,15,0
03/18/2020,17,0
03/19/2020,14,0
03/20/2020,32,1
03/21/2020,36,0
03/22/2020,51,1
03/23/2020,27,1
03/24/2020,54,0
03/25/2020,81,1
03/26/2020,73,3
03/27/2020,71,1
03/28/2020,131,2
03/29/2020,82,3
03/30/2020,44,3
03/31/2020,115,7
04/01/2020,160,5
04/02/2020,111,3
04/03/2020,305,8
04/04/2020,148,5
04/05/2020,284,7
04/06/2020,292,7
04/07/2020,247,3
04/08/2020,219,4
04/09/2020,201,1
04/10/2020,238,5
04/11/2020,275,3
04/12/2020,250,6
04/13/2020,424,5
04/14/2020,411,9
04/15/2020,408,5
04/16/2020,445,4
04/17/2020,372,7
04/18/2020,304,7
04/19/2020,324,5
04/20/2020,312,3
04/21/2020,260,5
04/22/2020,224,4
04/23/2020,162,5
04/24/2020,207,5
04/25/2020,296,7
04/26/2020,263,5
04/27/2020,233,6
04/28/2020,222,6
04/29/2020,227,5
04/30/2020,285,6
05/01/2020,196,6
05/02/2020,157,4
05/03/2020,102,4
05/04/2020,93,4
05/05/2020,120,3
05/06/2020,114,3
05/07/2020,57,3
05/08/2020,95,3
05/09/2020,89,4
05/10/2020,82,2
05/11/2020,62,3
05/12/2020,67,2
05/13/2020,52,2
05/14/2020,79,2
05/15/2020,64,1
05/16/2020,58,3
05/17/2020,114,2
05/18/2020,89,1
05/19/2020,34,3
05/20/2020,100,1
05/21/2020,86,2
05/22/2020,105,0
05/23/2020,68,1
05/24/2020,67,0
05/25/2020,34,1
05/26/2020,34,0
05/27/2020,48,1
05/28/2020,25,1
05/29/2020,54,1
05/30/2020,27,0
05/31/2020,31,1
06/01/2020,18,1
06/02/2020,24,1
06/03/2020,69,0
06/04/2020,48,1
06/05/2020,96,1
06/06/2020,74,1
06/07/2020,82,1
06/08/2020,73,1
06/09/2020,69,0
06/10/2020,66,1
06/11/2020,71,1
06/12/2020,73,0
06/13/2020,76,1
06/14/2020,59,1
06/15/2020,57,1
06/16/2020,59,1
06/17/2020,96,1
06/18/2020,94,2
06/19/2020,93,0
06/20/2020,94,1
06/21/2020,91,1
06/22/2020,96,1
06/23/2020,102,1
06/24/2020,143,0
06/25/2020,137,1
06/26/2020,193,1
06/27/2020,227,2
06/28/2020,254,3
06/29/2020,242,4
06/30/2020,276,3
07/01/2020,272,4
07/02/2020,359,6
07/03/2020,309,11
07/04/2020,325,8
07/05/2020,302,5
07/06/2020,289,6
