Updated,ConfirmedChange,DeathsChange
03/16/2020,0,0
03/17/2020,0,0
03/18/2020,0,0
03/19/2020,0,0
03/20/2020,0,0
03/21/2020,0,0
03/22/2020,0,0
03/23/2020,0,0
03/24/2020,0,0
03/25/2020,0,0
03/26/2020,1,0
03/27/2020,1,0
03/28/2020,0,0
03/29/2020,0,0
03/30/2020,0,0
03/31/2020,0,0
04/01/2020,0,0
04/02/2020,0,0
04/03/2020,4,0
04/04/2020,0,0
04/05/2020,0,0
04/06/2020,0,0
04/07/2020,1,0
04/08/2020,4,1
04/09/2020,0,0
04/10/2020,9,0
04/11/2020,0,0
04/12/2020,4,0
04/13/2020,0,1
04/14/2020,35,1
04/15/2020,20,2
04/16/2020,18,0
04/17/2020,18,0
04/18/2020,9,0
04/19/2020,10,2
04/20/2020,102,0
04/21/2020,24,0
04/22/2020,25,9
04/23/2020,42,0
04/24/2020,31,0
04/25/2020,31,2
04/26/2020,46,5
04/27/2020,44,0
04/28/2020,48,5
04/29/2020,54,0
04/30/2020,19,0
05/01/2020,35,0
05/02/2020,35,3
05/03/2020,51,1
05/04/2020,34,3
05/05/2020,79,3
05/06/2020,38,1
05/07/2020,55,5
05/08/2020,34,0
05/09/2020,35,4
05/10/2020,57,3
05/11/2020,35,1
05/12/2020,81,0
05/13/2020,49,0
05/14/2020,65,1
05/15/2020,36,0
05/16/2020,37,2
05/17/2020,64,1
05/18/2020,34,1
05/19/2020,47,2
05/20/2020,71,2
05/21/2020,21,0
05/22/2020,23,0
05/23/2020,24,0
05/24/2020,24,0
05/25/2020,24,5
05/26/2020,22,1
05/27/2020,20,0
05/28/2020,97,5
05/29/2020,44,0
05/30/2020,44,1
05/31/2020,53,3
06/01/2020,54,3
06/02/2020,45,0
06/03/2020,45,0
06/04/2020,45,0
06/05/2020,46,0
06/06/2020,85,3
06/07/2020,45,1
06/08/2020,41,1
06/09/2020,41,1
06/10/2020,18,0
06/11/2020,18,0
06/12/2020,61,0
06/13/2020,66,2
06/14/2020,19,0
06/15/2020,20,0
06/16/2020,20,1
06/17/2020,20,0
06/18/2020,30,0
06/19/2020,31,0
06/20/2020,34,0
06/21/2020,35,0
06/22/2020,23,1
06/23/2020,24,1
06/24/2020,21,0
06/25/2020,22,0
06/26/2020,6,0
06/27/2020,6,0
06/28/2020,7,0
06/29/2020,7,0
06/30/2020,10,0
07/01/2020,10,0
07/02/2020,10,0
07/03/2020,10,0
07/04/2020,17,2
07/05/2020,0,0
