Updated,ConfirmedChange,DeathsChange
01/31/2020,0,0
02/01/2020,0,0
02/02/2020,0,0
02/03/2020,0,0
02/04/2020,0,0
02/05/2020,0,0
02/06/2020,0,0
02/07/2020,0,0
02/08/2020,0,0
02/09/2020,1,0
02/10/2020,0,0
02/11/2020,0,0
02/12/2020,0,0
02/13/2020,1,0
02/14/2020,0,0
02/15/2020,0,0
02/16/2020,0,0
02/17/2020,0,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,0,0
02/21/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,1,0
02/25/2020,6,0
02/26/2020,4,0
02/27/2020,12,0
02/28/2020,8,0
02/29/2020,25,0
03/01/2020,26,0
03/02/2020,36,0
03/03/2020,45,1
03/04/2020,62,0
03/05/2020,54,1
03/06/2020,119,5
03/07/2020,124,2
03/08/2020,149,7
03/09/2020,557,13
03/10/2020,464,6
03/11/2020,582,19
03/12/2020,869,31
03/13/2020,2086,47
03/14/2020,1159,63
03/15/2020,1597,98
03/16/2020,1954,48
03/17/2020,1884,191
03/18/2020,2943,105
03/19/2020,3308,195
03/20/2020,3494,260
03/21/2020,3925,288
03/22/2020,4413,432
03/23/2020,5571,529
03/24/2020,6578,652
03/25/2020,8047,656
03/26/2020,7681,718
03/27/2020,7933,770
03/28/2020,7513,844
03/29/2020,6878,821
03/30/2020,7846,913
03/31/2020,7967,748
04/01/2020,8195,923
04/02/2020,7947,961
04/03/2020,7134,850
04/04/2020,6969,749
04/05/2020,5478,694
04/06/2020,5029,700
04/07/2020,5267,704
04/08/2020,6278,747
04/09/2020,5002,655
04/10/2020,5051,634
04/11/2020,4754,525
04/12/2020,3804,603
04/13/2020,3268,547
04/14/2020,3961,499
04/15/2020,6599,557
04/16/2020,4289,318
04/17/2020,5891,348
04/18/2020,3577,565
04/19/2020,4258,410
04/20/2020,1536,399
04/21/2020,3968,430
04/22/2020,4211,435
04/23/2020,4635,440
04/24/2020,6740,367
04/25/2020,3995,378
04/26/2020,2870,288
04/27/2020,2793,331
04/28/2020,2706,301
04/29/2020,4771,453
04/30/2020,2470,268
05/01/2020,3619,281
05/02/2020,2579,276
05/03/2020,1555,164
05/04/2020,3959,349
05/05/2020,2969,244
05/06/2020,2805,213
05/07/2020,3262,229
05/08/2020,2666,179
05/09/2020,1887,143
05/10/2020,3473,123
05/11/2020,1377,176
05/12/2020,1575,184
05/13/2020,1551,217
05/14/2020,1721,138
05/15/2020,2138,104
05/16/2020,1214,87
05/17/2020,469,59
05/18/2020,615,69
05/19/2020,721,110
05/20/2020,593,52
05/21/2020,1787,688
05/22/2020,466,50
05/23/2020,482,74
05/24/2020,243,-1918
05/25/2020,244,283
05/26/2020,510,1
05/27/2020,1137,1
05/28/2020,658,2
05/29/2020,664,4
05/30/2020,201,2
05/31/2020,209,0
06/01/2020,294,0
06/02/2020,394,1
06/03/2020,334,5
06/04/2020,318,1
06/05/2020,332,1
06/06/2020,240,1
06/07/2020,167,0
06/08/2020,249,0
06/09/2020,314,0
06/10/2020,427,0
06/11/2020,502,0
06/12/2020,396,0
06/13/2020,-46757,1148
06/14/2020,181,7
06/15/2020,219,8
06/16/2020,355,7
06/17/2020,585,6
06/18/2020,307,3
06/19/2020,363,7
06/20/2020,334,1
06/21/2020,232,1
06/22/2020,248,1
06/23/2020,334,2
06/24/2020,400,3
06/25/2020,419,8
06/26/2020,564,3
06/27/2020,301,2
06/28/2020,200,3
06/29/2020,301,9
06/30/2020,388,8
07/01/2020,444,5
07/02/2020,442,17
07/03/2020,-21854,-1281
07/04/2020,0,0
07/05/2020,21854,1281
