Updated,ConfirmedChange,DeathsChange
03/13/2020,0,0
03/14/2020,0,0
03/15/2020,0,0
03/16/2020,0,0
03/17/2020,0,0
03/18/2020,1,0
03/19/2020,0,0
03/20/2020,0,0
03/21/2020,0,0
03/22/2020,0,0
03/23/2020,0,0
03/24/2020,1,0
03/25/2020,0,0
03/26/2020,0,0
03/27/2020,0,0
03/28/2020,2,0
03/29/2020,1,0
03/30/2020,0,1
03/31/2020,1,0
04/01/2020,0,0
04/02/2020,0,0
04/03/2020,3,0
04/04/2020,0,0
04/05/2020,2,0
04/06/2020,0,0
04/07/2020,0,0
04/08/2020,0,0
04/09/2020,2,0
04/10/2020,3,0
04/11/2020,2,0
04/13/2020,10,2
04/14/2020,3,1
04/15/2020,0,0
04/16/2020,0,0
04/17/2020,1,1
04/18/2020,0,0
04/19/2020,33,4
04/20/2020,26,2
04/21/2020,24,0
04/22/2020,24,1
04/23/2020,22,0
04/24/2020,12,3
04/25/2020,39,1
04/26/2020,24,4
04/27/2020,38,1
04/28/2020,43,3
04/29/2020,57,3
04/30/2020,67,3
05/01/2020,92,2
05/02/2020,58,8
05/03/2020,2543,0
05/04/2020,2543,0
05/06/2020,1,8
05/07/2020,1,3
05/08/2020,1,7
05/09/2020,1,5
05/10/2020,1,5
05/11/2020,1,5
05/12/2020,1,6
05/13/2020,1,10
05/14/2020,1,0
05/15/2020,1,1
05/16/2020,1,6
05/17/2020,1,0
05/18/2020,1,8
05/19/2020,1,6
05/20/2020,1,0
05/21/2020,1,10
05/22/2020,1,16
05/23/2020,1,0
05/24/2020,1,9
05/25/2020,1,19
05/26/2020,1,5
05/27/2020,1,14
05/28/2020,1,11
05/29/2020,1,33
05/30/2020,2,34
05/31/2020,2,18
06/01/2020,2,18
06/02/2020,2,0
06/03/2020,2,17
06/04/2020,2,18
06/05/2020,151,14
06/06/2020,216,12
06/07/2020,115,0
06/08/2020,115,15
06/09/2020,116,15
06/10/2020,77,6
06/11/2020,78,6
06/12/2020,297,32
06/13/2020,64,7
06/14/2020,64,7
06/15/2020,214,10
06/16/2020,214,11
06/17/2020,305,9
06/18/2020,280,10
06/19/2020,148,0
06/20/2020,148,19
06/21/2020,264,15
06/22/2020,118,12
06/23/2020,191,15
06/24/2020,47,0
06/25/2020,48,8
06/26/2020,273,16
06/27/2020,52,0
06/28/2020,52,0
06/29/2020,53,0
06/30/2020,53,0
07/01/2020,53,0
07/02/2020,53,30
07/03/2020,90,2
07/04/2020,52,0
07/05/2020,52,4
