Updated,ConfirmedChange,DeathsChange
01/31/2020,0,0
02/01/2020,0.0,0.0
02/02/2020,0.0,0.0
02/03/2020,0.0,0.0
02/04/2020,0.0,0.0
02/05/2020,0.0,0.0
02/06/2020,0.0,0.0
02/07/2020,0.0,0.0
02/08/2020,0.0,0.0
02/09/2020,0.0,0.0
02/10/2020,0.0,0.0
02/11/2020,0.0,0.0
02/12/2020,0.0,0.0
02/13/2020,0.0,0.0
02/14/2020,0.0,0.0
02/15/2020,0.0,0.0
02/16/2020,0.0,0.0
02/17/2020,0.0,0.0
02/18/2020,0.0,0.0
02/19/2020,0.0,0.0
02/20/2020,0.0,0.0
02/21/2020,0.0,0.0
02/22/2020,0.0,0.0
02/23/2020,0.0,0.0
02/24/2020,0.0,0.0
02/25/2020,0.0,0.0
02/26/2020,1.0,0.0
02/27/2020,1.0,0.0
02/28/2020,8.0,0.0
02/29/2020,3.0,0.0
03/01/2020,0.0,0.0
03/02/2020,5.0,0.0
03/03/2020,13.0,0.0
03/04/2020,30.0,0.0
03/05/2020,25.0,0.0
03/06/2020,59.0,0.0
03/07/2020,33.0,0.0
03/08/2020,46.0,0.0
03/09/2020,101.0,0.0
03/10/2020,98.0,0.0
03/11/2020,196.0,1.0
03/12/2020,151.0,0.0
03/13/2020,152.0,1.0
03/14/2020,71.0,1.0
03/15/2020,69.0,2.0
03/16/2020,83.0,2.0
03/17/2020,119.0,1.0
03/18/2020,145.0,6.0
03/19/2020,143.0,7.0
03/20/2020,180.0,9.0
03/21/2020,134.0,8.0
03/22/2020,117.0,12.0
03/23/2020,182.0,11.0
03/24/2020,230.0,20.0
03/25/2020,314.0,23.0
03/26/2020,286.0,31.0
03/27/2020,366.0,32.0
03/28/2020,300.0,35.0
03/29/2020,281.0,39.0
03/30/2020,415.0,43.0
03/31/2020,475.0,47.0
04/01/2020,486.0,53.0
04/02/2020,554.0,70.0
04/03/2020,601.0,78.0
04/04/2020,357.0,72.0
04/05/2020,340.0,86.0
04/06/2020,389.0,91.0
04/07/2020,738.0,83.0
04/08/2020,655.0,111.0
04/09/2020,645.0,85.0
04/10/2020,455.0,89.0
04/11/2020,394.0,99.0
04/12/2020,464.0,97.0
04/13/2020,437.0,84.0
04/14/2020,480.0,90.0
04/15/2020,604.0,109.0
04/16/2020,623.0,108.0
04/17/2020,688.0,75.0
04/18/2020,532.0,76.0
04/19/2020,389.0,77.0
04/20/2020,462.0,73.0
04/21/2020,709.0,50.0
04/22/2020,721.0,60.0
04/23/2020,747.0,112.0
04/24/2020,765.0,99.0
04/25/2020,475.0,71.0
04/26/2020,297.0,60.0
