Updated,ConfirmedChange,DeathsChange
04/10/2020,0,0
04/30/2020,15,0
05/01/2020,0,0
05/02/2020,17,0
05/03/2020,96,2
05/04/2020,102,1
05/05/2020,63,2
05/06/2020,86,3
05/07/2020,82,4
05/08/2020,61,0
05/09/2020,90,8
05/10/2020,24,0
05/11/2020,25,1
05/12/2020,123,0
05/14/2020,123,8
05/15/2020,211,4
05/16/2020,204,3
05/17/2020,202,3
05/18/2020,205,2
05/19/2020,207,0
05/20/2020,204,0
05/21/2020,210,3
05/22/2020,201,0
05/23/2020,187,0
05/24/2020,191,2
05/25/2020,171,0
05/26/2020,166,1
05/27/2020,158,0
05/28/2020,139,0
05/29/2020,123,0
05/30/2020,121,0
05/31/2020,123,0
06/01/2020,83,0
06/02/2020,87,0
06/03/2020,94,0
06/04/2020,95,1
06/05/2020,81,0
06/06/2020,83,0
06/07/2020,76,0
06/08/2020,80,0
06/09/2020,81,0
06/10/2020,73,0
06/11/2020,71,1
06/12/2020,68,0
06/13/2020,69,1
06/14/2020,42,0
06/15/2020,42,0
06/16/2020,42,0
06/17/2020,63,0
06/18/2020,61,1
06/19/2020,58,0
06/20/2020,59,0
06/21/2020,119,1
06/22/2020,56,0
06/23/2020,54,0
06/24/2020,63,0
06/25/2020,61,0
06/26/2020,56,0
06/27/2020,51,0
06/28/2020,51,0
06/29/2020,51,0
06/30/2020,27,0
07/01/2020,27,0
07/02/2020,77,0
07/03/2020,77,0
07/04/2020,51,0
07/05/2020,0,0
